link_id,queue_id,activity_id,source_type,canonical_url,fetch_url,http_status,content_type,raw_path,text_path,byte_count,text_chars,extraction_status,evidence_status,notes
LI-EXT-001,LI-LOGIN-001,7458410505825685505,academic_or_preprint,https://arxiv.org/abs/2603.05544,https://arxiv.org/pdf/2603.05544,200,application/pdf,sources/raw/LI-EXT-001_arxiv-org-abs-2603-05544.pdf,sources/text/LI-EXT-001_arxiv-org-abs-2603-05544.txt,94591,19668,text_extracted,readable,pages=4
LI-EXT-006,LI-LOGIN-004,7452612214328537088,google_drive_or_doc,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,https://drive.google.com/uc?export=download&id=1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ,200,application/octet-stream,sources/raw/LI-EXT-006_drive-google-com-file-d-1hi8tt9h3fa89hsqwktoxsbnvof7iwhnz-view.pdf,sources/text/LI-EXT-006_drive-google-com-file-d-1hi8tt9h3fa89hsqwktoxsbnvof7iwhnz-view.txt,413757,9972,text_extracted,readable,pages=8
LI-EXT-011,LI-LOGIN-008,7436682459037089793,academic_or_preprint,https://arxiv.org/abs/0811.1679,https://arxiv.org/pdf/0811.1679,200,application/pdf,sources/raw/LI-EXT-011_arxiv-org-abs-0811-1679.pdf,sources/text/LI-EXT-011_arxiv-org-abs-0811-1679.txt,644638,102123,text_extracted,readable,pages=41
LI-EXT-012,LI-LOGIN-008,7436682459037089793,software_documentation,https://cran.r-project.org/web/packages/xrf/index.html,https://cran.r-project.org/web/packages/xrf/index.html,200,text/html,sources/raw/LI-EXT-012_cran-r-project-org-web-packages-xrf-index-html.html,sources/text/LI-EXT-012_cran-r-project-org-web-packages-xrf-index-html.txt,6943,1694,html_text_extracted,readable,"title_or_text_start=CRAN: Package xrf
xrf: eXtreme RuleFit
An implementation of the RuleFit algorithm as des"
LI-EXT-013,LI-LOGIN-008,7436682459037089793,academic_or_preprint,https://arxiv.org/abs/0811.1679v1,https://arxiv.org/pdf/0811.1679v1,200,application/pdf,sources/raw/LI-EXT-013_arxiv-org-abs-0811-1679v1.pdf,sources/text/LI-EXT-013_arxiv-org-abs-0811-1679v1.txt,644638,102123,text_extracted,readable,pages=41
LI-EXT-014,LI-LOGIN-008,7436682459037089793,pdf,https://cer.business-school.ed.ac.uk/wp-content/uploads/sites/55/2017/02/Piecewise-Logistic-Regression-an-Application-in-Credit-Scoring-Raymond-Anderson.pdf,https://cer.business-school.ed.ac.uk/wp-content/uploads/sites/55/2017/02/Piecewise-Logistic-Regression-an-Application-in-Credit-Scoring-Raymond-Anderson.pdf,200,application/pdf,sources/raw/LI-EXT-014_cer-business-school-ed-ac-uk-wp-content-uploads-sites-55-2017-02-piecewi.pdf,sources/text/LI-EXT-014_cer-business-school-ed-ac-uk-wp-content-uploads-sites-55-2017-02-piecewi.txt,728907,29279,text_extracted,readable,pages=11
LI-EXT-022,LI-LOGIN-013,7429434643583725571,academic_or_preprint,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2793951,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2793951,403,text/html; charset=UTF-8,,,5575,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-023,LI-LOGIN-013,7429434643583725571,official_or_academic_pdf,https://www.bis.org/publ/bcbs_wp14.pdf,https://www.bis.org/publ/bcbs_wp14.pdf,200,application/pdf,sources/raw/LI-EXT-023_www-bis-org-publ-bcbs-wp14-pdf.pdf,sources/text/LI-EXT-023_www-bis-org-publ-bcbs-wp14-pdf.txt,503262,376246,text_extracted,readable,pages=120
LI-EXT-028,LI-LOGIN-013,7429434643583725571,web_source,https://datascience.stackexchange.com/questions/134389/is-class-imbalance-really-a-problem-in-machine-learning,https://datascience.stackexchange.com/questions/134389/is-class-imbalance-really-a-problem-in-machine-learning,403,text/html; charset=UTF-8,,,5764,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-029,LI-LOGIN-013,7429434643583725571,web_source,https://www.researchgate.net/publication/228906308_Portfolio_Risk_Management_Using_the_Lorenz_Curve,https://www.researchgate.net/publication/228906308_Portfolio_Risk_Management_Using_the_Lorenz_Curve,403,text/html; charset=UTF-8,,,21062,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-042,LI-LOGIN-032,7389209473522999296,blog_or_tutorial,https://communities.sas.com/t5/SAS-Communities-Library/WOE-IV-and-Evolution-of-AI-Driven-Credit-Scoring-Models/ta-p/949855,https://communities.sas.com/t5/SAS-Communities-Library/WOE-IV-and-Evolution-of-AI-Driven-Credit-Scoring-Models/ta-p/949855,403,text/html,,,919,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-046,LI-LOGIN-033,7387020037041119234,code_or_tool,https://github.com/perpetual-ml/perpetual,https://github.com/perpetual-ml/perpetual,200,text/html; charset=utf-8,sources/raw/LI-EXT-046_github-com-perpetual-ml-perpetual.html,sources/text/LI-EXT-046_github-com-perpetual-ml-perpetual.txt,376403,12760,html_text_extracted,readable,title_or_text_start=GitHub - perpetual-ml/perpetual: Perpetual is a high-performance gradient boosting machine
LI-EXT-051,LI-LOGIN-037,7358383766534316032,official_or_academic_pdf,https://gking.harvard.edu/files/abs/0s-abs.shtml,https://gking.harvard.edu/files/abs/0s-abs.shtml,404,text/html; charset=utf-8,,,23165,0,fetch_blocked_or_missing,blocked,Not Found
LI-EXT-064,LI-LOGIN-048,7282429540482568193,academic_or_preprint,https://arxiv.org/abs/2304.13761,https://arxiv.org/pdf/2304.13761,200,application/pdf,sources/raw/LI-EXT-064_arxiv-org-abs-2304-13761.pdf,sources/text/LI-EXT-064_arxiv-org-abs-2304-13761.txt,849951,53034,text_extracted,readable,pages=24
LI-EXT-065,LI-LOGIN-048,7282429540482568193,academic_or_preprint,https://arxiv.org/abs/2304.13761v3,https://arxiv.org/pdf/2304.13761v3,200,application/pdf,sources/raw/LI-EXT-065_arxiv-org-abs-2304-13761v3.pdf,sources/text/LI-EXT-065_arxiv-org-abs-2304-13761v3.txt,849951,53034,text_extracted,readable,pages=24
