queue_id,activity_id,post_url,capture_status,final_url,rendered_text_path,html_path,screenshot_path,body_text_chars,comment_blocks,comment_link_count,expand_clicks,error
LI-LOGIN-021,7413851823381598208,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,rendered_text\7413851823381598208.txt,rendered_html\7413851823381598208.html,,2925,3,50,0,
LI-LOGIN-022,7410227928887783424,https://www.linkedin.com/feed/update/urn:li:activity:7410227928887783424/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7410227928887783424/,rendered_text\7410227928887783424.txt,rendered_html\7410227928887783424.html,,5383,10,62,0,
LI-LOGIN-023,7407691340332834816,https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,rendered_text\7407691340332834816.txt,rendered_html\7407691340332834816.html,,1861,0,35,0,
LI-LOGIN-024,7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,rendered_text\7404429791552270336.txt,rendered_html\7404429791552270336.html,,4594,10,73,0,
LI-LOGIN-025,7401530693182427137,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,rendered_text\7401530693182427137.txt,rendered_html\7401530693182427137.html,,1679,0,38,0,
LI-LOGIN-026,7400081067224743936,https://www.linkedin.com/feed/update/urn:li:activity:7400081067224743936/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7400081067224743936/,rendered_text\7400081067224743936.txt,rendered_html\7400081067224743936.html,,3021,7,55,55,
LI-LOGIN-027,7397906690391601154,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,rendered_text\7397906690391601154.txt,rendered_html\7397906690391601154.html,,5769,18,95,3,
LI-LOGIN-028,7396457171279970304,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,rendered_text\7396457171279970304.txt,rendered_html\7396457171279970304.html,,3347,5,60,0,
LI-LOGIN-029,7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,rendered_text\7394653161082314752.txt,rendered_html\7394653161082314752.html,,2001,0,39,0,
LI-LOGIN-030,7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,rendered_text\7392833273737138176.txt,rendered_html\7392833273737138176.html,,5069,10,70,55,
LI-LOGIN-031,7391383804583645184,https://www.linkedin.com/feed/update/urn:li:activity:7391383804583645184/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7391383804583645184/,rendered_text\7391383804583645184.txt,rendered_html\7391383804583645184.html,,4186,7,57,55,
LI-LOGIN-032,7389209473522999296,https://www.linkedin.com/feed/update/urn:li:activity:7389209473522999296/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7389209473522999296/,rendered_text\7389209473522999296.txt,rendered_html\7389209473522999296.html,,5985,7,58,0,
LI-LOGIN-033,7387020037041119234,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,rendered_text\7387020037041119234.txt,rendered_html\7387020037041119234.html,,3612,4,56,0,
LI-LOGIN-034,7384120953489854464,https://www.linkedin.com/feed/update/urn:li:activity:7384120953489854464/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7384120953489854464/,rendered_text\7384120953489854464.txt,rendered_html\7384120953489854464.html,,6174,11,71,0,
LI-LOGIN-035,7363453428431224832,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,rendered_text\7363453428431224832.txt,rendered_html\7363453428431224832.html,,6039,7,55,0,
LI-LOGIN-036,7361290473417633792,https://www.linkedin.com/feed/update/urn:li:activity:7361290473417633792/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7361290473417633792/,rendered_text\7361290473417633792.txt,rendered_html\7361290473417633792.html,,1431,0,29,0,
LI-LOGIN-037,7358383766534316032,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,rendered_text\7358383766534316032.txt,rendered_html\7358383766534316032.html,,5587,7,65,100,
LI-LOGIN-038,7356587000176533504,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,rendered_text\7356587000176533504.txt,rendered_html\7356587000176533504.html,,1915,0,35,0,
LI-LOGIN-039,7353684060264632320,https://www.linkedin.com/feed/update/urn:li:activity:7353684060264632320/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7353684060264632320/,rendered_text\7353684060264632320.txt,rendered_html\7353684060264632320.html,,3720,5,46,0,
LI-LOGIN-040,7351513545626312704,https://www.linkedin.com/feed/update/urn:li:activity:7351513545626312704/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7351513545626312704/,rendered_text\7351513545626312704.txt,rendered_html\7351513545626312704.html,,4807,10,60,58,
LI-LOGIN-041,7350773655057960960,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,rendered_text\7350773655057960960.txt,rendered_html\7350773655057960960.html,,3374,2,42,0,
LI-LOGIN-042,7348984398186229761,https://www.linkedin.com/feed/update/urn:li:activity:7348984398186229761/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7348984398186229761/,rendered_text\7348984398186229761.txt,rendered_html\7348984398186229761.html,,2700,1,32,0,
LI-LOGIN-043,7346840312377421826,https://www.linkedin.com/feed/update/urn:li:activity:7346840312377421826/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7346840312377421826/,rendered_text\7346840312377421826.txt,rendered_html\7346840312377421826.html,,3458,6,56,0,
LI-LOGIN-044,7302591232625541122,https://www.linkedin.com/feed/update/urn:li:activity:7302591232625541122/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7302591232625541122/,rendered_text\7302591232625541122.txt,rendered_html\7302591232625541122.html,,3502,2,36,0,
LI-LOGIN-045,7297638535648481280,https://www.linkedin.com/feed/update/urn:li:activity:7297638535648481280/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7297638535648481280/,rendered_text\7297638535648481280.txt,rendered_html\7297638535648481280.html,,3091,3,40,0,
LI-LOGIN-046,7290400805109526529,https://www.linkedin.com/feed/update/urn:li:activity:7290400805109526529/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7290400805109526529/,rendered_text\7290400805109526529.txt,rendered_html\7290400805109526529.html,,2077,0,29,0,
LI-LOGIN-047,7287502960530518016,https://www.linkedin.com/feed/update/urn:li:activity:7287502960530518016/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7287502960530518016/,rendered_text\7287502960530518016.txt,rendered_html\7287502960530518016.html,,4671,9,60,55,
