pd_mult,lgd_mult,discount_rate,stage2_share,stage3_share,total_ecl,total_ecl_low,total_ecl_high,total_ecl_range
0.9,0.9,0.04,0.35124553489195254,0.22483918387396207,796618745.0811434,584968.5874077696,1174573509.7493608,1173988541.161953
0.9,0.9,0.05,0.35124553489195254,0.22483918387396207,789031899.8898944,584968.5874077696,1174573509.7493608,1173988541.161953
0.9,0.9,0.06,0.35124553489195254,0.22483918387396207,781588202.7211217,584968.5874077696,1174573509.7493608,1173988541.161953
0.9,1.0,0.04,0.35124553489195254,0.22483918387396207,885131938.979048,649965.0971197442,1305081677.4992895,1304431712.4021697
0.9,1.0,0.05,0.35124553489195254,0.22483918387396207,876702110.9887714,649965.0971197442,1305081677.4992895,1304431712.4021697
0.9,1.0,0.06,0.35124553489195254,0.22483918387396207,868431336.3568019,649965.0971197442,1305081677.4992895,1304431712.4021697
0.9,1.1,0.04,0.35124553489195254,0.22483918387396207,973645132.876953,714961.6068317186,1435589845.2492185,1434874883.6423867
0.9,1.1,0.05,0.35124553489195254,0.22483918387396207,964372322.0876487,714961.6068317186,1435589845.2492185,1434874883.6423867
0.9,1.1,0.06,0.35124553489195254,0.22483918387396207,955274469.9924822,714961.6068317186,1435589845.2492185,1434874883.6423867
0.9,1.2,0.04,0.35124553489195254,0.22483918387396207,1062158326.7748576,779958.1165436929,1566098012.9991474,1565318054.8826036
0.9,1.2,0.05,0.35124553489195254,0.22483918387396207,1052042533.1865258,779958.1165436929,1566098012.9991474,1565318054.8826036
0.9,1.2,0.06,0.35124553489195254,0.22483918387396207,1042117603.6281624,779958.1165436929,1566098012.9991474,1565318054.8826036
1.0,0.9,0.04,0.4378713398755368,0.22483918387396207,889109061.0645761,649965.0971197442,1305081677.4992895,1304431712.4021697
1.0,0.9,0.05,0.4378713398755368,0.22483918387396207,880641355.721104,649965.0971197442,1305081677.4992895,1304431712.4021697
1.0,0.9,0.06,0.4378713398755368,0.22483918387396207,872333418.4029803,649965.0971197442,1305081677.4992895,1304431712.4021697
1.0,1.0,0.04,0.4378713398755368,0.22483918387396207,987898956.7384179,722183.44124416,1450090752.7769885,1449368569.3357444
1.0,1.0,0.05,0.4378713398755368,0.22483918387396207,978490395.2456712,722183.44124416,1450090752.7769885,1449368569.3357444
1.0,1.0,0.06,0.4378713398755368,0.22483918387396207,969259353.7810893,722183.44124416,1450090752.7769885,1449368569.3357444
1.0,1.1,0.04,0.4378713398755368,0.22483918387396207,1086688852.4122598,794401.7853685762,1595099828.0546875,1594305426.2693188
1.0,1.1,0.05,0.4378713398755368,0.22483918387396207,1076339434.7702384,794401.7853685762,1595099828.0546875,1594305426.2693188
1.0,1.1,0.06,0.4378713398755368,0.22483918387396207,1066185289.1591983,794401.7853685762,1595099828.0546875,1594305426.2693188
1.0,1.2,0.04,0.4378713398755368,0.22483918387396207,1185478748.0861015,866620.1294929921,1740108903.332386,1739242283.202893
1.0,1.2,0.05,0.4378713398755368,0.22483918387396207,1174188474.2948053,866620.1294929921,1740108903.332386,1739242283.202893
1.0,1.2,0.06,0.4378713398755368,0.22483918387396207,1163111224.5373073,866620.1294929921,1740108903.332386,1739242283.202893
1.1,0.9,0.04,0.49408203879813195,0.22483918387396207,967999246.4784005,714961.6068317186,1343386894.2309985,1342671932.6241667
1.1,0.9,0.05,0.49408203879813195,0.22483918387396207,958780206.035749,714961.6068317186,1343386894.2309985,1342671932.6241667
1.1,0.9,0.06,0.49408203879813195,0.22483918387396207,949735109.7523928,714961.6068317186,1343386894.2309985,1342671932.6241667
1.1,1.0,0.04,0.49408203879813195,0.22483918387396207,1075554718.3093338,794401.7853685762,1492652104.7011092,1491857702.9157405
1.1,1.0,0.05,0.49408203879813195,0.22483918387396207,1065311340.0397213,794401.7853685762,1492652104.7011092,1491857702.9157405
1.1,1.0,0.06,0.49408203879813195,0.22483918387396207,1055261233.0582143,794401.7853685762,1492652104.7011092,1491857702.9157405
1.1,1.1,0.04,0.49408203879813195,0.22483918387396207,1183110190.1402674,873841.9639054339,1641917315.1712203,1641043473.207315
1.1,1.1,0.05,0.49408203879813195,0.22483918387396207,1171842474.0436933,873841.9639054339,1641917315.1712203,1641043473.207315
1.1,1.1,0.06,0.49408203879813195,0.22483918387396207,1160787356.3640358,873841.9639054339,1641917315.1712203,1641043473.207315
1.1,1.2,0.04,0.49408203879813195,0.22483918387396207,1290665661.9712005,953282.1424422914,1791182525.6413312,1790229243.498889
1.1,1.2,0.05,0.49408203879813195,0.22483918387396207,1278373608.0476654,953282.1424422914,1791182525.6413312,1790229243.498889
1.1,1.2,0.06,0.49408203879813195,0.22483918387396207,1266313479.669857,953282.1424422914,1791182525.6413312,1790229243.498889
1.2,0.9,0.04,0.5645232944099917,0.22483918387396207,1063767295.1214104,779958.1165436929,1366284332.0467386,1365504373.9301949
1.2,0.9,0.05,0.5645232944099917,0.22483918387396207,1053636178.0250161,779958.1165436929,1366284332.0467386,1365504373.9301949
1.2,0.9,0.06,0.5645232944099917,0.22483918387396207,1043696214.0813837,779958.1165436929,1366284332.0467386,1365504373.9301949
1.2,1.0,0.04,0.5645232944099917,0.22483918387396207,1181963661.2460115,866620.1294929921,1518093702.2741537,1517227082.1446607
1.2,1.0,0.05,0.5645232944099917,0.22483918387396207,1170706864.47224,866620.1294929921,1518093702.2741537,1517227082.1446607
1.2,1.0,0.06,0.5645232944099917,0.22483918387396207,1159662460.0904264,866620.1294929921,1518093702.2741537,1517227082.1446607
1.2,1.1,0.04,0.5645232944099917,0.22483918387396207,1300160027.3706126,953282.1424422914,1669903072.5015695,1668949790.3591273
1.2,1.1,0.05,0.5645232944099917,0.22483918387396207,1287777550.919464,953282.1424422914,1669903072.5015695,1668949790.3591273
1.2,1.1,0.06,0.5645232944099917,0.22483918387396207,1275628706.0994692,953282.1424422914,1669903072.5015695,1668949790.3591273
1.2,1.2,0.04,0.5645232944099917,0.22483918387396207,1418356393.495214,1039944.1553915904,1821712442.7289848,1820672498.5735931
1.2,1.2,0.05,0.5645232944099917,0.22483918387396207,1404848237.3666883,1039944.1553915904,1821712442.7289848,1820672498.5735931
1.2,1.2,0.06,0.5645232944099917,0.22483918387396207,1391594952.1085117,1039944.1553915904,1821712442.7289848,1820672498.5735931
1.3,0.9,0.04,0.5972680220609747,0.22483918387396207,1135298410.471385,844954.6262556675,1381737998.3838,1380893043.7575443
1.3,0.9,0.05,0.5972680220609747,0.22483918387396207,1124486044.657372,844954.6262556675,1381737998.3838,1380893043.7575443
