scenario,pd_mult,lgd_mult,ead_mult,discount_rate,n_loans,stage1_n,stage2_n,stage3_n,stage1_share,stage2_share,stage3_share,total_ecl,avg_ecl,total_ecl_low,total_ecl_point,total_ecl_high,total_ecl_range,pd_orig_source,dpd_source,lifetime_pd_source,temporal_source,temporal_pd_baseline_mult,temporal_point_model,temporal_interval_model,temporal_status,temporal_official_status
baseline,1.0171538398530624,1.0,1.0,0.05,276869,85960,128658,62251,0.3104717393424327,0.46468907678360527,0.22483918387396207,870347377.7154636,3143.5349487138815,402205.44469639147,432065453.90385723,1407953091.7816286,1407550886.3369324,train_vintage_grade_issue_quarter,loan_status_and_delinquency_features,grade_lifetime_pd_table_scaled_cif_corrected_0.7332,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,1.1697269158310217,1.05,1.02,0.06,276869,58059,156559,62251,0.2096984494472115,0.5654623666788264,0.22483918387396207,1034488001.4673418,3736.3807485393518,495376.33596031053,532153416.30068576,1560503500.638446,1560008124.302486,train_vintage_grade_issue_quarter,loan_status_and_delinquency_features,grade_lifetime_pd_table_scaled_cif_corrected_0.7332,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,1.3222999918089813,1.12,1.05,0.07,276869,47218,167400,62251,0.17054274765322228,0.6046180684728156,0.22483918387396207,1213618740.0953324,4383.368091390991,614891.6838518434,660529576.9582937,1743735782.1638007,1743120890.479949,train_vintage_grade_issue_quarter,loan_status_and_delinquency_features,grade_lifetime_pd_table_scaled_cif_corrected_0.7332,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,1.5765884517722468,1.2,1.1,0.08,276869,30019,184599,62251,0.10842311706980558,0.6667376990562324,0.22483918387396207,1478824125.2452378,5341.2412557752505,822912.3398488171,883381808.7891166,1996146443.074614,1995323530.7347655,train_vintage_grade_issue_quarter,loan_status_and_delinquency_features,grade_lifetime_pd_table_scaled_cif_corrected_0.7332,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
