method,method_display,mean_regret,std_regret,median_regret,q25_regret,q75_regret,min_regret,max_regret,n_observations,improvement_vs_two_stage_pct,auditability_score,wilcoxon_vs_two_stage_statistic,wilcoxon_vs_two_stage_pvalue,wilcoxon_alternative,coverage_90,coverage_95,avg_width_90,min_grade_coverage_90
cave,CaVE,0.12745252760935363,0.048676415553613954,0.12303763441741467,0.09194784797728062,0.15837044781073928,0.01752530038356781,0.34133387356996536,5000,55.90349328466617,1.0,12478094.0,0.0,two_stage > method,,,,
two_stage,Two-stage Ridge,0.2890308953295593,0.08459534166233122,0.28171494230628014,0.2279628305695951,0.3420187714509666,0.07868288829922676,0.6356117315590382,5000,0.0,1.0,,,baseline,,,,
crpto_robust,CRPTO robust,0.9105848065150461,0.19409239246457696,0.906894788146019,0.7764009147649631,1.0431442712433636,0.2977330479770899,1.717089667916298,5000,-215.04756725965296,3.0,10.0,1.0,two_stage > method,0.9293384235866059,0.9623395902033092,0.764155715329014,0.9003509420022164
