queue_id,activity_id,post_url,capture_status,final_url,rendered_text_path,html_path,screenshot_path,body_text_chars,comment_blocks,comment_link_count,expand_clicks,error
ANDRIJA-LOGIN-018,7440317398584360961,https://www.linkedin.com/feed/update/urn:li:activity:7440317398584360961/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7440317398584360961/,rendered_text\7440317398584360961.txt,rendered_html\7440317398584360961.html,screenshots\7440317398584360961.png,2548,1,43,12,
ANDRIJA-LOGIN-019,7439989093985525761,https://www.linkedin.com/feed/update/urn:li:activity:7439989093985525761/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7439989093985525761/,rendered_text\7439989093985525761.txt,rendered_html\7439989093985525761.html,screenshots\7439989093985525761.png,2456,0,41,12,
ANDRIJA-LOGIN-020,7438173655291019265,https://www.linkedin.com/feed/update/urn:li:activity:7438173655291019265/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7438173655291019265/,rendered_text\7438173655291019265.txt,rendered_html\7438173655291019265.html,screenshots\7438173655291019265.png,2794,0,31,12,
ANDRIJA-LOGIN-021,7435399194388942848,https://www.linkedin.com/feed/update/urn:li:activity:7435399194388942848/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7435399194388942848/,rendered_text\7435399194388942848.txt,rendered_html\7435399194388942848.html,screenshots\7435399194388942848.png,1620,0,34,0,
ANDRIJA-LOGIN-022,7425667173840277504,https://www.linkedin.com/feed/update/urn:li:activity:7425667173840277504/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7425667173840277504/,rendered_text\7425667173840277504.txt,rendered_html\7425667173840277504.html,screenshots\7425667173840277504.png,1718,0,31,0,
ANDRIJA-LOGIN-023,7425584455609712640,https://www.linkedin.com/feed/update/urn:li:activity:7425584455609712640/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7425584455609712640/,rendered_text\7425584455609712640.txt,rendered_html\7425584455609712640.html,screenshots\7425584455609712640.png,1832,0,31,0,
ANDRIJA-LOGIN-024,7424831663123234816,https://www.linkedin.com/feed/update/urn:li:activity:7424831663123234816/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7424831663123234816/,rendered_text\7424831663123234816.txt,rendered_html\7424831663123234816.html,screenshots\7424831663123234816.png,2052,1,33,0,
ANDRIJA-LOGIN-025,7421592655278522368,https://www.linkedin.com/feed/update/urn:li:activity:7421592655278522368/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7421592655278522368/,rendered_text\7421592655278522368.txt,rendered_html\7421592655278522368.html,screenshots\7421592655278522368.png,1735,0,37,12,
ANDRIJA-LOGIN-026,7398299296388771840,https://www.linkedin.com/feed/update/urn:li:activity:7398299296388771840/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7398299296388771840/,rendered_text\7398299296388771840.txt,rendered_html\7398299296388771840.html,screenshots\7398299296388771840.png,5722,8,68,12,
ANDRIJA-LOGIN-027,7397179611266146304,https://www.linkedin.com/feed/update/urn:li:activity:7397179611266146304/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7397179611266146304/,rendered_text\7397179611266146304.txt,rendered_html\7397179611266146304.html,screenshots\7397179611266146304.png,2892,0,39,12,
