link_id,activity_id,queue_id,source_kind,original_url,canonical_url,domain,source_type,http_status,access_status,priority,anchor_text,context_excerpt,resolve_error
LI-EXT-001,7464369310325702657,ANDRIJA-LOGIN-008,anchor,https://arxiv.org/abs/2309.13183,https://arxiv.org/abs/2309.13183,arxiv.org,academic_or_preprint,200,resolved,high,https://arxiv.org/abs/2309.13183,"Interesting paper mentioned in the post: “Statistical Hypothesis Testing for Information Value (IV)” https://arxiv.org/abs/2309.13183 One of the interesting aspects of the paper is not only the methodology itself, but the broader question it raises: Why did the industry rely on heuristic IV interpretation thresholds for so long, despite already having access to the underlying statistical foundations?",
LI-EXT-002,7464369310325702657,ANDRIJA-LOGIN-008,anchor,https://arxiv.org/abs/2309.13183v2,https://arxiv.org/abs/2309.13183v2,arxiv.org,academic_or_preprint,200,resolved,high,,"Interesting paper mentioned in the post: “Statistical Hypothesis Testing for Information Value (IV)” https://arxiv.org/abs/2309.13183 One of the interesting aspects of the paper is not only the methodology itself, but the broader question it raises: Why did the industry rely on heuristic IV interpretation thresholds for so long, despite already having access to the underlying statistical foundations? …more Statistical Hypothesis Testing for Information Value (IV) Information value (IV) is a quite popular technique for features selection before the modeling phase. There are practical criteria,",
LI-EXT-003,7464369310325702657,ANDRIJA-LOGIN-008,comment_block,https://arxiv.org/abs/2309.13183,https://arxiv.org/abs/2309.13183,arxiv.org,academic_or_preprint,200,resolved,high,https://arxiv.org/abs/2309.13183,"Interesting paper mentioned in the post: “Statistical Hypothesis Testing for Information Value (IV)” https://arxiv.org/abs/2309.13183 One of the interesting aspects of the paper is not only the methodology itself, but the broader question it raises: Why did the industry rely on heuristic IV interpretation thresholds for so long, despite already having access to the underlying statistical foundations?",
LI-EXT-004,7296422990588579840,ANDRIJA-LOGIN-011,anchor,https://github.com/andrija-djurovic/adsfcr,https://github.com/andrija-djurovic/adsfcr,github.com,code_or_tool,200,resolved,high,https://github.com/andrija-djurovic/adsfcr,More on model risk management and credit risk modeling can be found here: https://github.com/andrija-djurovic/adsfcr,
LI-EXT-005,7296422990588579840,ANDRIJA-LOGIN-011,comment_block,https://github.com/andrija-djurovic/adsfcr,https://github.com/andrija-djurovic/adsfcr,github.com,code_or_tool,200,resolved,high,https://github.com/andrija-djurovic/adsfcr,More on model risk management and credit risk modeling can be found here: https://github.com/andrija-djurovic/adsfcr,
LI-EXT-006,7458765378664427520,ANDRIJA-LOGIN-012,anchor,https://cran.r-project.org/web/packages/PDtoolkit/PDtoolkit.pdf,https://cran.r-project.org/web/packages/PDtoolkit/PDtoolkit.pdf,cran.r-project.org,software_documentation,200,resolved,high,https://cran.r-project.org/web/packages/PDtoolkit/PDtoolkit.pdf,"Charlin DJIOKO thanks for your comment. I agree that the idea of using residuals is good. However, I find that approach somewhat tricky when it is necessary to control for the expected relationship (monotonicity), at least at the splitting node level. On the other hand, I use this approach for model validation purposes, with the aim of identifying segments where the PD model over- or underestimates the default rate, as well as for the possible identification of omitted risk factors. The same idea can be further developed by considering different types of residuals, for instance. If you are int",
LI-EXT-007,7458765378664427520,ANDRIJA-LOGIN-012,comment_block,https://cran.r-project.org/web/packages/PDtoolkit/PDtoolkit.pdf,https://cran.r-project.org/web/packages/PDtoolkit/PDtoolkit.pdf,cran.r-project.org,software_documentation,200,resolved,high,https://cran.r-project.org/web/packages/PDtoolkit/PDtoolkit.pdf,"Charlin DJIOKO thanks for your comment. I agree that the idea of using residuals is good. However, I find that approach somewhat tricky when it is necessary to control for the expected relationship (monotonicity), at least at the splitting node level. On the other hand, I use this approach for model validation purposes, with the aim of identifying segments where the PD model over- or underestimates the default rate, as well as for the possible identification of omitted risk factors. The same idea can be further developed by considering different types of residuals, for instance. If you are int",
LI-EXT-008,7451153797881618432,ANDRIJA-LOGIN-014,anchor,https://lnkd.in/dm2p5UNv,https://lnkd.in/dm2p5UNv,lnkd.in,shortlink_or_link_hub,200,resolved,medium,https://lnkd.in/dm2p5UNv,"𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠 This Python package is a replica of the R package I recently published on my GitHub repository (https://lnkd.in/dm2p5UNv). The main purpose of this package is to address key challenges in IFRS9 forward-looking (FLI) modeling, particularly those arising from limited data availability. The package provides core functionality for applying a new method, the 𝐒𝐮𝐩𝐞𝐫𝐯𝐢𝐬𝐞𝐝 𝐌𝐚𝐜𝐫𝐨𝐞𝐜𝐨𝐧𝐨𝐦𝐢𝐜 𝐈𝐧𝐝𝐞𝐱 (𝐒𝐌𝐈). I developed this method based on a model-averaging approach, allowing practitioners to incorporate key business inputs while preserving a fully expl",
LI-EXT-009,7342064984069173248,ANDRIJA-LOGIN-015,anchor,https://abbey.eventsair.com/cscc-conference-2025,https://abbey.eventsair.com/cscc-conference-2025,abbey.eventsair.com,web_source,not_resolved,unresolved,low,https://abbey.eventsair.com/cscc-conference-2025?utm_source=organic%20social&utm_medium=Linkedin&utm_campaign=CRC%20conference%20LinkedIn&utm_content=Instagram%20bio%20link,Conference programme: https://abbey.eventsair.com/cscc-conference-2025?utm_source=organic%20social&utm_medium=Linkedin&utm_campaign=CRC%20conference%20LinkedIn&utm_content=Instagram%20bio%20link Presentation: https://github.com/andrija-djurovic/adsfcr/blob/main/mrm%2Fms_mrm.pdf,
LI-EXT-010,7342064984069173248,ANDRIJA-LOGIN-015,anchor,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm%2Fms_mrm.pdf,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm%2Fms_mrm.pdf,github.com,code_or_tool,200,resolved,high,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm%2Fms_mrm.pdf,Conference programme: https://abbey.eventsair.com/cscc-conference-2025?utm_source=organic%20social&utm_medium=Linkedin&utm_campaign=CRC%20conference%20LinkedIn&utm_content=Instagram%20bio%20link Presentation: https://github.com/andrija-djurovic/adsfcr/blob/main/mrm%2Fms_mrm.pdf,
