cvar_policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u
paper4_v4_cvar_rt0p1700_cap120000_floor89024,baseline_mid,1.0,0.45,35064.93506493505,0.0
paper4_v4_cvar_rt0p1700_cap120000_floor89024,baseline_high,1.12,0.48,41890.909090909074,0.0
paper4_v4_cvar_rt0p1700_cap120000_floor89024,adverse_mid,1.4,0.55,59999.999999999985,0.0
paper4_v4_cvar_rt0p1700_cap120000_floor89024,adverse_high,1.65,0.58,74571.42857142855,0.0
paper4_v4_cvar_rt0p1700_cap120000_floor89024,severe_mid,1.9,0.65,96233.7662337662,0.0
paper4_v4_cvar_rt0p1700_cap120000_floor89024,severe_high,2.2,0.7,119999.99999999997,0.0
paper4_v4_cvar_rt0p1700_cap160000_floor89024,baseline_mid,1.0,0.45,46753.24675324676,0.0
paper4_v4_cvar_rt0p1700_cap160000_floor89024,baseline_high,1.12,0.48,55854.54545454546,0.0
paper4_v4_cvar_rt0p1700_cap160000_floor89024,adverse_mid,1.4,0.55,79999.99999999999,0.0
paper4_v4_cvar_rt0p1700_cap160000_floor89024,adverse_high,1.65,0.58,99428.57142857145,0.0
paper4_v4_cvar_rt0p1700_cap160000_floor89024,severe_mid,1.9,0.65,128311.68831168831,0.0
paper4_v4_cvar_rt0p1700_cap160000_floor89024,severe_high,2.2,0.7,159999.99999999997,0.0
paper4_v4_cvar_rt0p1700_cap210000_floor89024,baseline_mid,1.0,0.45,63059.41001340972,0.0
paper4_v4_cvar_rt0p1700_cap210000_floor89024,baseline_high,1.12,0.48,75334.9751626868,0.0
paper4_v4_cvar_rt0p1700_cap210000_floor89024,adverse_mid,1.4,0.55,107878.96744278654,0.0
paper4_v4_cvar_rt0p1700_cap210000_floor89024,adverse_high,1.65,0.58,133287.7883028699,0.0
paper4_v4_cvar_rt0p1700_cap210000_floor89024,severe_mid,1.9,0.65,170155.2272727272,0.0
paper4_v4_cvar_rt0p1700_cap210000_floor89024,severe_high,2.2,0.7,209999.99999999994,0.0
paper4_v4_cvar_rt0p1750_cap120000_floor89024,baseline_mid,1.0,0.45,35064.93506493505,0.0
paper4_v4_cvar_rt0p1750_cap120000_floor89024,baseline_high,1.12,0.48,41890.909090909074,0.0
paper4_v4_cvar_rt0p1750_cap120000_floor89024,adverse_mid,1.4,0.55,59999.999999999985,0.0
paper4_v4_cvar_rt0p1750_cap120000_floor89024,adverse_high,1.65,0.58,74571.42857142855,0.0
paper4_v4_cvar_rt0p1750_cap120000_floor89024,severe_mid,1.9,0.65,96233.7662337662,0.0
paper4_v4_cvar_rt0p1750_cap120000_floor89024,severe_high,2.2,0.7,119999.99999999997,0.0
paper4_v4_cvar_rt0p1750_cap160000_floor89024,baseline_mid,1.0,0.45,46753.24675324676,0.0
paper4_v4_cvar_rt0p1750_cap160000_floor89024,baseline_high,1.12,0.48,55854.54545454546,0.0
paper4_v4_cvar_rt0p1750_cap160000_floor89024,adverse_mid,1.4,0.55,79999.99999999999,0.0
paper4_v4_cvar_rt0p1750_cap160000_floor89024,adverse_high,1.65,0.58,99428.57142857145,0.0
paper4_v4_cvar_rt0p1750_cap160000_floor89024,severe_mid,1.9,0.65,128311.68831168831,0.0
paper4_v4_cvar_rt0p1750_cap160000_floor89024,severe_high,2.2,0.7,159999.99999999997,0.0
paper4_v4_cvar_rt0p1750_cap210000_floor89024,baseline_mid,1.0,0.45,63059.41001340972,0.0
paper4_v4_cvar_rt0p1750_cap210000_floor89024,baseline_high,1.12,0.48,75334.9751626868,0.0
paper4_v4_cvar_rt0p1750_cap210000_floor89024,adverse_mid,1.4,0.55,107878.96744278654,0.0
paper4_v4_cvar_rt0p1750_cap210000_floor89024,adverse_high,1.65,0.58,133287.7883028699,0.0
paper4_v4_cvar_rt0p1750_cap210000_floor89024,severe_mid,1.9,0.65,170155.2272727272,0.0
paper4_v4_cvar_rt0p1750_cap210000_floor89024,severe_high,2.2,0.7,209999.99999999994,0.0
paper4_v4_cvar_rt0p1775_cap120000_floor89024,baseline_mid,1.0,0.45,35064.93506493505,0.0
paper4_v4_cvar_rt0p1775_cap120000_floor89024,baseline_high,1.12,0.48,41890.909090909074,0.0
paper4_v4_cvar_rt0p1775_cap120000_floor89024,adverse_mid,1.4,0.55,59999.999999999985,0.0
paper4_v4_cvar_rt0p1775_cap120000_floor89024,adverse_high,1.65,0.58,74571.42857142855,0.0
paper4_v4_cvar_rt0p1775_cap120000_floor89024,severe_mid,1.9,0.65,96233.7662337662,0.0
paper4_v4_cvar_rt0p1775_cap120000_floor89024,severe_high,2.2,0.7,119999.99999999997,0.0
paper4_v4_cvar_rt0p1775_cap160000_floor89024,baseline_mid,1.0,0.45,46753.24675324676,0.0
paper4_v4_cvar_rt0p1775_cap160000_floor89024,baseline_high,1.12,0.48,55854.54545454546,0.0
paper4_v4_cvar_rt0p1775_cap160000_floor89024,adverse_mid,1.4,0.55,79999.99999999999,0.0
paper4_v4_cvar_rt0p1775_cap160000_floor89024,adverse_high,1.65,0.58,99428.57142857145,0.0
paper4_v4_cvar_rt0p1775_cap160000_floor89024,severe_mid,1.9,0.65,128311.68831168831,0.0
paper4_v4_cvar_rt0p1775_cap160000_floor89024,severe_high,2.2,0.7,159999.99999999997,0.0
paper4_v4_cvar_rt0p1775_cap210000_floor89024,baseline_mid,1.0,0.45,63059.41001340972,0.0
paper4_v4_cvar_rt0p1775_cap210000_floor89024,baseline_high,1.12,0.48,75334.9751626868,0.0
paper4_v4_cvar_rt0p1775_cap210000_floor89024,adverse_mid,1.4,0.55,107878.96744278654,0.0
paper4_v4_cvar_rt0p1775_cap210000_floor89024,adverse_high,1.65,0.58,133287.7883028699,0.0
paper4_v4_cvar_rt0p1775_cap210000_floor89024,severe_mid,1.9,0.65,170155.2272727272,0.0
paper4_v4_cvar_rt0p1775_cap210000_floor89024,severe_high,2.2,0.7,209999.99999999994,0.0
