strategy,policy_id,months,final_cash_budget,final_outstanding_exposure,cumulative_interest,cumulative_losses,cumulative_ecl_at_decision,net_cash_result,total_deployed
dynamic_return,paper4_v4_dynamic_return,12,87559.5745082958,1306379.5617599727,118898.99094606227,0.0,154250.9865732285,393939.1362682686,1306379.5617599727
dynamic_online_guarded,paper4_v4_dynamic_online_guarded,12,86661.20420551719,1302985.7628593184,114822.30672343247,0.0,139937.77142361068,389646.9670648356,1302985.7628593184
dynamic_ifrs9,paper4_v4_dynamic_ifrs9,12,72421.96310987882,1250307.6255377622,42376.900223226556,0.0,39264.628717769876,322729.588647641,1250307.6255377622
