policy_id,months,funded_count_total,funded_exposure_total,realized_return_proxy_lgd45,ecl_total,net_return_after_ecl_total,min_monthly_coverage_alpha01,mean_stage2_or_3_share
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,33,344,985225.0,159937.31,95045.66260959872,64891.64739040128,0.7142857142857143,1.0
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,33,343,973625.0,156561.93,94225.01283093481,62336.91716906519,0.7142857142857143,1.0
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,33,343,975800.0,158332.48,97169.48759137848,61162.99240862152,0.7142857142857143,1.0
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,33,343,966250.0,156238.1825,95271.9974552172,60966.18504478278,0.7142857142857143,1.0
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,340,944425.0,151529.88,91428.58804603512,60101.29195396489,0.7777777777777778,1.0
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,33,344,958125.0,149511.6425,90435.91862513978,59075.72387486022,0.7142857142857143,1.0
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,341,961150.0,152421.4875,94367.66375100092,58053.823748999086,0.7777777777777778,1.0
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,340,918825.0,150680.58,93200.30989708958,57480.270102910414,0.7777777777777778,1.0
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,33,343,922350.0,151054.22,93607.91904858642,57446.300951413585,0.7142857142857143,1.0
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,339,962200.0,147811.4875,90704.1903394631,57107.2971605369,0.7777777777777778,1.0
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,33,344,947850.0,153720.41,96742.36512705144,56978.04487294856,0.7142857142857143,1.0
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,33,342,948025.0,146560.43,89860.42680306212,56700.00319693788,0.7142857142857143,1.0
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,33,341,911725.0,148784.2,93684.57468824773,55099.62531175227,0.7142857142857143,1.0
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,33,345,929700.0,155639.47,100938.42121270776,54701.04878729224,0.7142857142857143,1.0
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,33,338,914475.0,148277.06,94276.9783196853,54000.08168031472,0.75,1.0
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,33,342,921125.0,151328.01,97331.621583814,53996.388416186,0.7142857142857143,1.0
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,33,340,911150.0,149076.425,95587.40429795219,53489.020702047805,0.7142857142857143,1.0
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,33,343,917475.0,151285.9975,98250.51508055994,53035.48241944005,0.7142857142857143,1.0
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,32,338,886300.0,149235.025,96336.73848482248,52898.286515177526,0.7142857142857143,1.0
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,33,342,913825.0,147740.63,94962.94452437863,52777.68547562137,0.7142857142857143,1.0
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,32,337,888675.0,152725.515,100404.24944349844,52321.26555650156,0.7142857142857143,1.0
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,337,890500.0,143335.095,92109.30195148636,51225.79304851365,0.75,1.0
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,31,337,883925.0,147292.485,96066.80321551676,51225.68178448324,0.7142857142857143,1.0
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,340,896375.0,144231.38999999998,93166.2904827567,51065.0995172433,0.75,1.0
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,33,339,894425.0,144367.94,93537.88304754958,50830.05695245042,0.75,1.0
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,341,896700.0,146443.9825,96070.26065570448,50373.72184429552,0.7777777777777778,1.0
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,33,338,889025.0,143785.81,93649.94063980007,50135.86936019993,0.7777777777777778,1.0
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,32,335,881300.0,147887.26499999998,97799.92729427028,50087.33770572972,0.7142857142857143,1.0
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,31,337,883875.0,150149.415,100184.0167767377,49965.3982232623,0.7777777777777778,1.0
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,33,338,903800.0,154135.67,104382.39478512328,49753.27521487672,0.7142857142857143,1.0
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,32,336,886600.0,145917.92,96497.19319760494,49420.72680239506,0.75,1.0
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,32,335,879825.0,152414.13,103536.14202207912,48877.98797792088,0.7142857142857143,1.0
paper1_economic_champion,32,335,1000000.0,173329.66341584513,124762.62393578478,48567.03948006034,0.6666666666666667,1.0
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,32,344,912700.0,150157.2875,101619.37856684695,48537.90893315305,0.7142857142857143,1.0
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,33,337,892675.0,144257.125,95860.73705765443,48396.387942345566,0.75,1.0
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,32,337,896325.0,147749.39,99563.74267394398,48185.647326056016,0.7777777777777778,1.0
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,33,338,892675.0,145317.6875,97324.31974792496,47993.36775207503,0.7777777777777778,1.0
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,31,339,878700.0,142080.2425,94706.27533654001,47373.96716345999,0.7777777777777778,1.0
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,32,336,862900.0,146033.605,99242.65067249245,46790.954327507556,0.7777777777777778,1.0
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,31,331,849100.0,141304.6025,95632.2879148747,45672.3145851253,0.75,1.0
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,32,336,881000.0,148917.685,103966.59755764912,44951.08744235089,0.7777777777777778,1.0
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,32,335,877925.0,146043.5875,101101.41874690696,44942.16875309304,0.75,1.0
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,31,338,874550.0,148147.16,106853.21589522788,41293.94410477212,0.75,1.0
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,30,332,842325.0,139165.3225,98703.66605278896,40461.65644721104,0.7333333333333334,1.0
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,31,336,845575.0,141146.4475,102677.97313207958,38468.47436792042,0.7058823529411764,1.0
