policy_id,n_paths,mean_loss,p05_loss,p50_loss,p95_loss,mean_default_count,funded_exposure,mean_default_multiplier
v13_fvi_return_recovery,300,5070.206047229573,0.0,0.0,28726.36860791799,6.196666666666666,998375.0,0.40162073338600063
v13_fvi_capital_guarded,300,4422.709344608261,0.0,0.0,30809.730648527107,6.0,999425.0,0.4010624608770986
v13_fvi_bellman_rollout,300,4424.212474718427,0.0,0.0,32656.716102358398,5.816666666666666,998650.0,0.4011628277232266
v13_spo_regret_balanced,300,12760.348229741609,0.0,2359.7543237978316,62111.56444307157,8.423333333333334,982650.0,0.4
v13_spo_regret_audit_guarded,300,14871.766839001933,0.0,3484.380012439238,68360.39919416085,9.796666666666667,980625.0,0.39999999999999997
v13_spo_regret_return_recovery,300,16913.313509004794,0.0,3260.4411897938544,82490.50699561651,10.936666666666667,980650.0,0.4
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,300,20567.47378023383,0.0,7971.95472844225,85258.33475636876,17.173333333333332,1000000.0,0.40787139568449887
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,300,22203.628754822385,0.0,9162.421368925448,95003.92224516354,18.56,1000000.0,0.40787139568449887
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,300,32453.55094273457,427.50000000000045,16945.112855268097,118352.61726924947,26.64666666666667,1000000.0,0.4104852163798578
v13_mdcp_empirical_tight,300,41450.334298277776,0.0,32749.44504265656,118692.4083409883,31.266666666666666,850000.0,0.41396170570389595
v13_mdcp_empirical_base,300,41574.742739148656,0.0,32772.93154466785,130085.27289901672,28.703333333333333,1000000.0,0.4127779112971875
v13_mdcp_empirical_return_recovery,300,36076.800001210526,0.0,24704.999999807387,130309.86763055863,23.57,1000000.0,0.4100598688284287
v13_static_reference,300,316470.9992138471,24084.614167928656,267943.3616699774,692791.23743659,17.726666666666667,976825.0,0.4876014377432284
