policy_id,regime_v357,seed_pair_rank_v357,seed_added_loan_id_v357,seed_dropped_loan_id_v357,second_added_loan_id_v357,second_dropped_loan_id_v357,action_signature_v357,seed_return_delta_v357,return_delta_v357,objective_return_after_two_swap_v357,exposure_after_two_swap_v357,loss_mean_after_two_swap_v357,cvar90_after_two_swap_v357,source_min_slack_after_two_swap_v357,max_source_share_after_two_swap_v357,source_cap_violations_after_two_swap_v357,first_source_block_family_v357,first_source_block_id_v357,cvar_two_swap_feasible_v357,two_add_two_drop_entering_column_v357,claim_boundary_v357
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,147190807,139234645,add=147190807|161455148;drop=139234645|159706782,2.2203513257361465,1.688849386510256,4428.826961908149,843775.0,60225.150975628116,96501.06506643303,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,4,161494495,159706782,161983601,148128009,add=161494495|161983601;drop=148128009|159706782,0.6418503361315686,1.644278349003308,4428.782390870642,843775.0,60293.05207729609,96596.3680711332,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,163545352,127648167,add=145977956|163545352;drop=127648167|164875488,1.8757778281410395,1.6073972102824712,4428.745509731922,843775.0,60138.828683425876,96455.61984208791,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,158764455,164875488,add=158764455|161455148;drop=159706782|164875488,2.2203513257361465,1.590785075210789,4428.72889759685,843775.0,60301.84224185,96621.42324886846,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,151083962,127648167,add=151083962|161455148;drop=127648167|159706782,2.2203513257361465,1.5337150793193075,4428.671827600959,843775.0,60251.781634529485,96540.34378426954,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,6,144038628,159706782,161983601,148128009,add=144038628|161983601;drop=148128009|159706782,0.4592545995868704,1.4616826124586098,4428.599795134098,843775.0,60247.20451067797,96600.67002280995,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,140423185,127648167,add=140423185|145977956;drop=127648167|164875488,1.8757778281410395,1.4570972022806146,4428.59520972392,843775.0,60123.39222350967,96428.63314309221,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,144622469,129082051,add=144622469|145977956;drop=129082051|164875488,1.8757778281410395,1.3776584451107752,4428.51577096675,843775.0,60138.58056745038,96447.07301140939,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,147190807,139234645,add=145977956|147190807;drop=139234645|164875488,1.8757778281410395,1.3442758889151492,4428.482388410554,843775.0,60100.62854924756,96396.53829616446,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,4,161494495,159706782,147190807,148128009,add=147190807|161494495;drop=148128009|159706782,0.6418503361315686,1.2477241140371902,4428.385836635676,843775.0,60277.247262636796,96569.4171093503,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,163545352,148017643,add=161455148|163545352;drop=148017643|159706782,2.2203513257361465,1.2221425790600335,4428.3602551007,843775.0,60261.08042865191,96544.93140676564,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,151083962,127648167,add=145977956|151083962;drop=127648167|164875488,1.8757778281410395,1.1891415817242006,4428.327254103364,843775.0,60127.25920814894,96435.81701400098,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,145955296,127648167,add=145955296|161455148;drop=127648167|159706782,2.2203513257361465,1.1861003124752791,4428.324212834114,843775.0,60252.123243820846,96542.31395690094,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,7,161455148,162228701,161983601,148128009,add=161455148|161983601;drop=148128009|162228701,0.1133632438953213,1.1157912567670607,4428.253903778406,843775.0,60246.76246203213,96538.28201806391,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
