scenario,ifrs9_stage_v3,loans,exposure,expected_default_prob,expected_prepay_prob,expected_survival_end
adverse,Stage 2 lifetime cashflow,368,43134475.030413345,0.5717239188774046,0.11624158324893971,0.312034497873655
adverse,Stage 3 observed,22,1865524.9695866562,1.0,0.0,0.0
baseline,Stage 2 lifetime cashflow,368,43134475.030413345,0.4700976408668625,0.194202529182992,0.33569982995014563
baseline,Stage 3 observed,22,1865524.9695866562,1.0,0.0,0.0
severe,Stage 2 lifetime cashflow,368,43134475.030413345,0.6882567366305254,0.06124064081203085,0.25050262255744443
severe,Stage 3 observed,22,1865524.9695866562,1.0,0.0,0.0
