policy_id,solver_status,elapsed_seconds,n_funded,funded_exposure,objective_return,scenario_loss_cvar90,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,feasible_v12,column_round_v12,pool_n_v12,universe_n_v12,pool_expansion_vs_v11,solver_lane_v12,pool_design_v12,full_universe_attempted_v12,full_universe_feasible_v12,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,qhat_cap_v12,realized_return_proxy_lgd45,share_grade_dplus,cap_grade_dplus_limit_v12,share_dti_high,cap_dti_high_limit_v12,share_score_low,cap_score_low_limit_v12,share_income_q5,cap_income_q5_limit_v12,share_period_2018h1,cap_period_2018h1_limit_v12,share_state_top20,cap_state_top20_limit_v12,auditability_score_v12,caps_json_v12,cap_relaxation_v12,non_dominated_v12
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,TerminationCondition.optimal,3.030680702999234,334,1000000.0,126298.70435513796,250000.0,0.19000000000019002,0.7622091188220578,0.402783672563597,True,3,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp_committee_relaxed,score_returnpd_lowtail_audit_anchor_column_generation,False,False,0.19,0.055,0.055,250000.0,80000.0,0.9,139314.0642920435,0.3148369558693177,0.6859999999999999,0.035961367192535065,0.6859999999999999,0.9013494113232173,1.0,0.3407869558693177,0.7974285714285714,0.31582441132321737,0.81,1.0,1.0,0.4712588189650133,"{""cap_dti_high"": 0.6859999999999999, ""cap_grade_dplus"": 0.6859999999999999, ""cap_income_q5"": 0.7974285714285714, ""cap_period_2018h1"": 0.81, ""cap_score_low"": 1.0, ""cap_state_top20"": 1.0}",committee_relaxed_after_strict_infeasible,True
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,TerminationCondition.optimal,3.0178589659917634,350,1000000.0,135633.49524334644,300000.0,0.19000000000019002,0.8193594549063339,0.4693625,True,3,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp_committee_relaxed,score_returnpd_lowtail_audit_anchor_column_generation,False,False,0.19,0.055,0.055,300000.0,105000.0,0.9,146554.56327069912,0.3624163938596344,0.6859999999999999,0.06015,0.6859999999999999,0.9620336061403656,1.0,0.47565,0.7974285714285714,0.17205,0.81,1.0,1.0,0.4108446122726732,"{""cap_dti_high"": 0.6859999999999999, ""cap_grade_dplus"": 0.6859999999999999, ""cap_income_q5"": 0.7974285714285714, ""cap_period_2018h1"": 0.81, ""cap_score_low"": 1.0, ""cap_state_top20"": 1.0}",committee_relaxed_after_strict_infeasible,True
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,TerminationCondition.optimal,3.4737537110049743,350,1000000.0,135633.49524334644,307395.4792324826,0.19000000000019002,0.8193594549063339,0.4693625,True,3,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp_committee_relaxed,score_returnpd_lowtail_audit_anchor_column_generation,False,False,0.19,0.055,0.055,360000.0,125000.0,0.9,146554.56327069912,0.3624163938596344,0.6859999999999999,0.06015,0.6859999999999999,0.9620336061403656,1.0,0.47565,0.7974285714285714,0.17205,0.81,1.0,1.0,0.4092011724432326,"{""cap_dti_high"": 0.6859999999999999, ""cap_grade_dplus"": 0.6859999999999999, ""cap_income_q5"": 0.7974285714285714, ""cap_period_2018h1"": 0.81, ""cap_score_low"": 1.0, ""cap_state_top20"": 1.0}",committee_relaxed_after_strict_infeasible,False
v12_cvar_mdcp_colgen_r1_k24000_floor80000_cap90000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.571257053001318,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r1_k24000_floor80000_cap105000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",2.6995033550047083,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r1_k24000_floor95000_cap125000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.4145032460073708,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r1_k24000_floor110000_cap150000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",2.688030181991053,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r1_k24000_floor125000_cap175000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",2.97261386399623,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r1_k24000_floor145000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.1619323839986464,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r1_k24000_floor160000_cap250000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",2.6685021680023056,0,0.0,,,,,,False,1,24000,276869,1.3333333333333333,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r2_k28000_floor95000_cap125000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.5217724120011553,0,0.0,,,,,,False,2,28000,276869,1.5555555555555556,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r2_k28000_floor110000_cap150000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.6988752630131785,0,0.0,,,,,,False,2,28000,276869,1.5555555555555556,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r2_k28000_floor125000_cap175000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",4.052375963001396,0,0.0,,,,,,False,2,28000,276869,1.5555555555555556,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r2_k28000_floor145000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.3848021809972124,0,0.0,,,,,,False,2,28000,276869,1.5555555555555556,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
v12_cvar_mdcp_colgen_r2_k28000_floor160000_cap250000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.75581040099496,0,0.0,,,,,,False,2,28000,276869,1.5555555555555556,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False
