policy_id,source,full_candidate_score_prior,paired_robustness_gate,decision_scope_v32,spo_candidate_status_v32
v13_spo_regret_balanced,paper4_v30_candidate_registry,0.7733333333333333,False,compare_against_oracle_regret_only,serious_comparator
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,paper4_v30_candidate_registry,0.7502857142857143,False,compare_against_oracle_regret_only,non_spo_reference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,paper4_v30_candidate_registry,0.7502857142857143,False,compare_against_oracle_regret_only,non_spo_reference
v13_spo_regret_return_recovery,paper4_v30_candidate_registry,0.7327619047619048,False,compare_against_oracle_regret_only,serious_comparator
v13_spo_regret_audit_guarded,paper4_v30_candidate_registry,0.7255238095238096,False,compare_against_oracle_regret_only,serious_comparator
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,paper4_v30_candidate_registry,0.7199999999999999,False,compare_against_oracle_regret_only,non_spo_reference
v13_fvi_return_recovery,paper4_v30_candidate_registry,0.6820952380952381,False,compare_against_oracle_regret_only,non_spo_reference
v13_mdcp_empirical_base,paper4_v30_candidate_registry,0.6767619047619049,False,compare_against_oracle_regret_only,non_spo_reference
v13_fvi_bellman_rollout,paper4_v30_candidate_registry,0.6742857142857143,False,compare_against_oracle_regret_only,non_spo_reference
v13_mdcp_empirical_return_recovery,paper4_v30_candidate_registry,0.6740952380952382,False,compare_against_oracle_regret_only,non_spo_reference
v13_fvi_capital_guarded,paper4_v30_candidate_registry,0.6550476190476191,False,compare_against_oracle_regret_only,non_spo_reference
paper1_economic_champion,paper4_v30_candidate_registry,0.6527619047619048,False,compare_against_oracle_regret_only,non_spo_reference
