strategy,scenario,horizon_months,ending_budget,total_net_return_after_provision,unique_policies_used,policy_path,status
static_champion,baseline,3,993930.700668872,-6069.299331127996,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion,sample_path_search_not_deployment_policy
greedy_net_return,baseline,3,994275.7211948128,-5724.278805187225,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
coverage_gate,baseline,3,994275.7211948128,-5724.278805187225,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
ecl_penalty,baseline,3,994275.7211948128,-5724.278805187225,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
static_champion,adverse,3,990976.3462094822,-9023.653790517837,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion,sample_path_search_not_deployment_policy
greedy_net_return,adverse,3,991364.6108685159,-8635.389131484033,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
coverage_gate,adverse,3,991364.6108685159,-8635.389131484033,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
ecl_penalty,adverse,3,991364.6108685159,-8635.389131484033,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
static_champion,severe,3,986840.2499663364,-13159.750033663611,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion,sample_path_search_not_deployment_policy
greedy_net_return,severe,3,987289.0564117004,-12710.94358829956,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
coverage_gate,severe,3,987289.0564117004,-12710.94358829956,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
ecl_penalty,severe,3,987289.0564117004,-12710.94358829956,3,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion,sample_path_search_not_deployment_policy
static_champion,baseline,6,984839.7966643495,-15160.203335650445,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion,sample_path_search_not_deployment_policy
greedy_net_return,baseline,6,986210.2697216914,-13789.730278308693,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
coverage_gate,baseline,6,986210.2697216914,-13789.730278308693,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
ecl_penalty,baseline,6,986110.9329192388,-13889.067080761197,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
static_champion,adverse,6,977726.221203829,-22273.7787961709,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion,sample_path_search_not_deployment_policy
greedy_net_return,adverse,6,979321.101527114,-20678.89847288587,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
coverage_gate,adverse,6,979321.101527114,-20678.89847288587,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
ecl_penalty,adverse,6,979272.1305240483,-20727.8694759515,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
static_champion,severe,6,967767.2155591006,-32232.784440899522,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion,sample_path_search_not_deployment_policy
greedy_net_return,severe,6,969697.8071707821,-30302.19282921792,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
coverage_gate,severe,6,969697.8071707821,-30302.19282921792,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
ecl_penalty,severe,6,969697.8071707821,-30302.19282921792,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,sample_path_search_not_deployment_policy
static_champion,baseline,12,960214.6357631701,-39785.3642368298,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion ...,sample_path_search_not_deployment_policy
greedy_net_return,baseline,12,965993.4730235194,-34006.526976480614,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
coverage_gate,baseline,12,965993.4730235194,-34006.526976480614,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
ecl_penalty,baseline,12,965894.1362210668,-34105.86377893312,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
