policy_id,regime_v352,two_swap_seed_rank_v352,seed_action_signature_v352,first_added_loan_id_v352,second_added_loan_id_v352,third_added_loan_id_v352,first_dropped_loan_id_v352,second_dropped_loan_id_v352,third_dropped_loan_id_v352,action_signature_v352,seed_return_delta_v352,return_delta_v352,objective_return_after_three_swap_v352,exposure_after_three_swap_v352,loss_mean_after_three_swap_v352,cvar90_after_three_swap_v352,source_min_slack_after_three_swap_v352,max_source_share_after_three_swap_v352,source_cap_violations_after_three_swap_v352,first_source_block_family_v352,first_source_block_id_v352,cvar_three_swap_feasible_v352,three_add_three_drop_entering_column_v352,claim_boundary_v352
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,95,add=148145784|161455148;drop=127648167|159706782,161455148,148145784,161983601,159706782,127648167,148128009,add=148145784|161455148|161983601;drop=127648167|148128009|159706782,3.5291317048410136,4.531559717712753,4431.286487123301,843775.0,60300.44556113363,96644.2971591144,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,117,add=161455148|161983601;drop=148128009|159706782,161455148,161983601,148145784,159706782,148128009,127648167,add=148145784|161455148|161983601;drop=127648167|148128009|159706782,3.222779338607886,4.531559717712753,4431.286487123301,843775.0,60300.44556113363,96644.2971591144,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,92,add=139234645|161455148;drop=147190807|159706782,161455148,139234645,148145784,159706782,147190807,140423185,add=139234645|148145784|161455148;drop=140423185|147190807|159706782,2.751853264962037,4.479314269927331,4431.234241675516,843775.0,60279.94586200183,96584.7822922995,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,82,add=148145784|161455148;drop=140423185|159706782,161455148,148145784,139234645,159706782,140423185,147190807,add=139234645|148145784|161455148;drop=140423185|147190807|159706782,3.94781233070144,4.479314269927329,4431.234241675516,843775.0,60279.94586200183,96584.7822922995,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,98,add=161455148|161983601;drop=147190807|159706782,161455148,161983601,148145784,159706782,147190807,140423185,add=148145784|161455148|161983601;drop=140423185|147190807|159706782,2.616905560702264,4.344366565667558,4431.099293971257,843775.0,60272.899629256244,96589.10559247804,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,82,add=148145784|161455148;drop=140423185|159706782,161455148,148145784,161983601,159706782,140423185,147190807,add=148145784|161455148|161983601;drop=140423185|147190807|159706782,3.94781233070144,4.344366565667556,4431.099293971257,843775.0,60272.899629256244,96589.10559247804,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,92,add=139234645|161455148;drop=147190807|159706782,161455148,139234645,148145784,159706782,147190807,127648167,add=139234645|148145784|161455148;drop=127648167|147190807|159706782,2.751853264962037,4.060633644066904,4430.815561049656,843775.0,60279.858488859056,96594.24947762293,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,95,add=148145784|161455148;drop=127648167|159706782,161455148,148145784,139234645,159706782,127648167,147190807,add=139234645|148145784|161455148;drop=127648167|147190807|159706782,3.5291317048410136,4.060633644066904,4430.815561049656,843775.0,60279.858488859056,96594.24947762293,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,69,add=148145784|161455148;drop=148017643|159706782,161455148,148145784,139234645,159706782,148017643,148128009,add=139234645|148145784|161455148;drop=148017643|148128009|159706782,2.799303576023469,3.936679293154981,4430.691606698744,843775.0,60305.221112724685,96624.75865334507,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,114,add=139234645|161455148;drop=148128009|159706782,161455148,139234645,148145784,159706782,148128009,148017643,add=139234645|148145784|161455148;drop=148017643|148128009|159706782,3.3577270428676584,3.936679293154981,4430.691606698744,843775.0,60305.221112724685,96624.75865334507,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,95,add=148145784|161455148;drop=127648167|159706782,161455148,148145784,161983601,159706782,127648167,147190807,add=148145784|161455148|161983601;drop=127648167|147190807|159706782,3.5291317048410136,3.9256859398071313,4430.6806133453965,843775.0,60272.81225611349,96598.57277780146,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,98,add=161455148|161983601;drop=147190807|159706782,161455148,161983601,148145784,159706782,147190807,127648167,add=148145784|161455148|161983601;drop=127648167|147190807|159706782,2.616905560702264,3.9256859398071313,4430.6806133453965,843775.0,60272.81225611349,96598.57277780146,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,69,add=148145784|161455148;drop=148017643|159706782,161455148,148145784,161983601,159706782,148017643,148128009,add=148145784|161455148|161983601;drop=148017643|148128009|159706782,2.799303576023469,3.8017315888952083,4430.556658994485,843775.0,60298.17487997911,96629.0819535236,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,117,add=161455148|161983601;drop=148128009|159706782,161455148,161983601,148145784,159706782,148128009,148017643,add=148145784|161455148|161983601;drop=148017643|148128009|159706782,3.222779338607886,3.8017315888952083,4430.556658994485,843775.0,60298.17487997911,96629.0819535236,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,92,add=139234645|161455148;drop=147190807|159706782,161455148,139234645,161983601,159706782,147190807,148128009,add=139234645|161455148|161983601;drop=147190807|148128009|159706782,2.751853264962037,3.754281277833776,4430.509208683423,843775.0,60316.07237425923,96643.51305117135,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,98,add=161455148|161983601;drop=147190807|159706782,161455148,161983601,139234645,159706782,147190807,148128009,add=139234645|161455148|161983601;drop=147190807|148128009|159706782,2.616905560702264,3.754281277833776,4430.509208683423,843775.0,60316.07237425923,96643.51305117135,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,114,add=139234645|161455148;drop=148128009|159706782,161455148,139234645,161983601,159706782,148128009,147190807,add=139234645|161455148|161983601;drop=147190807|148128009|159706782,3.3577270428676584,3.754281277833776,4430.509208683423,843775.0,60316.07237425923,96643.51305117135,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,117,add=161455148|161983601;drop=148128009|159706782,161455148,161983601,139234645,159706782,148128009,147190807,add=139234645|161455148|161983601;drop=147190807|148128009|159706782,3.222779338607886,3.754281277833776,4430.509208683423,843775.0,60316.07237425923,96643.51305117135,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,95,add=148145784|161455148;drop=127648167|159706782,161455148,148145784,163545352,159706782,127648167,140423185,add=148145784|161455148|163545352;drop=127648167|140423185|159706782,3.5291317048410136,3.679431712842872,4430.434359118432,843775.0,60272.44390137042,96598.60851501426,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,109,add=161455148|163545352;drop=127648167|159706782,161455148,163545352,148145784,159706782,127648167,140423185,add=148145784|161455148|163545352;drop=127648167|140423185|159706782,1.951970707877578,3.679431712842872,4430.434359118432,843775.0,60272.44390137042,96598.60851501426,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,82,add=148145784|161455148;drop=140423185|159706782,161455148,148145784,163545352,159706782,140423185,127648167,add=148145784|161455148|163545352;drop=127648167|140423185|159706782,3.94781233070144,3.67943171284287,4430.4343591184315,843775.0,60272.44390137042,96598.60851501426,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,100,add=161455148|163545352;drop=140423185|159706782,161455148,163545352,148145784,159706782,140423185,127648167,add=148145784|161455148|163545352;drop=127648167|140423185|159706782,2.370651333738005,3.67943171284287,4430.4343591184315,843775.0,60272.44390137042,96598.60851501426,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,114,add=139234645|161455148;drop=148128009|159706782,161455148,139234645,163545352,159706782,148128009,140423185,add=139234645|161455148|163545352;drop=140423185|148128009|159706782,3.3577270428676584,3.508027050869517,4430.262954456459,843775.0,60315.70401951617,96643.54878838414,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,100,add=161455148|163545352;drop=140423185|159706782,161455148,163545352,139234645,159706782,140423185,148128009,add=139234645|161455148|163545352;drop=140423185|148128009|159706782,2.370651333738005,3.508027050869515,4430.262954456459,843775.0,60315.70401951617,96643.54878838414,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,115,add=139234645|161494495;drop=148128009|159706782,161494495,139234645,148145784,159706782,148128009,140423185,add=139234645|148145784|161494495;drop=140423185|148128009|159706782,1.7792260532630806,3.5066870582283745,4430.261614463818,843775.0,60309.19110160566,96630.50667361243,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
v352_v347_expanded_branch_price_loop,post_v347_seeded_three_add_three_drop,83,add=148145784|161494495;drop=140423185|159706782,161494495,148145784,139234645,159706782,140423185,148128009,add=139234645|148145784|161494495;drop=140423185|148128009|159706782,2.3693113410968625,3.5066870582283727,4430.261614463818,843775.0,60309.19110160566,96630.50667361243,4.597308456477656e-06,0.8998844478682113,0,,,False,False,expanded bounded third-order branch-price row; no dual-bound certificate
