policy_id,max_proxy_gap,mean_proxy_gap,proxy_sources_pass_30
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,0.3266993954225378,0.10924004000209153,0.8571428571428571
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.32678540065165573,0.10919068944219877,0.8571428571428571
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.32820905201904305,0.10899970343448322,0.8571428571428571
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.3287063852837786,0.10945051700769874,0.8571428571428571
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,0.3291575626832616,0.10902501684153691,0.8571428571428571
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.32920081864609596,0.10953893172553383,0.8571428571428571
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.3296579753041946,0.10933501935188418,0.8571428571428571
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.3296923773958418,0.10941767304272765,0.8571428571428571
paper1_economic_champion,0.3311328494541549,0.10935093136968436,0.8571428571428571
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,0.3316303618919658,0.10902095513922218,0.8571428571428571
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.3316303618919658,0.10865217076210902,0.8571428571428571
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.3321162705411398,0.10935971777719093,0.8571428571428571
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.3321162705411398,0.10903509103558494,0.8571428571428571
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.33212492173370667,0.10907548213151048,0.8571428571428571
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.33259935414002784,0.11013502910117182,0.8571428571428571
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.3326165551858514,0.10947559786418669,0.8571428571428571
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.3326165551858514,0.10869589630060586,0.8571428571428571
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.3330796372542846,0.11006810516154487,0.8571428571428571
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.3335911462056913,0.10891426630475502,0.8571428571428571
