run_name,run_tag,role,method,method_display,mean_regret,std_regret,median_regret,improvement_vs_two_stage_pct,n_observations,mode,cost_target,cost_definition,n_items,budget,n_train_instances,n_test_instances,epochs,seeds,lr,cave_max_iter,runtime_seconds,artifact_dir,scope
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,cave,CaVE,0.128108615,0.0488088824,0.1229889914,55.6764976957,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528,full
cave_maxiter1_full,paper4_pyepo137_wls_cave_maxiter1_full_20260528,cave_sensitivity,cave,CaVE,0.1274525276,0.0486764156,0.1230376344,55.9034932847,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,1,1379.9712555408478,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter1_full_20260528,full
cave_maxiter5_medium,paper4_pyepo137_wls_cave_maxiter5_medium_20260528,cave_sensitivity,cave,CaVE,0.1553712353,0.0586540647,0.1504060486,47.3089614854,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.001,5,312.39118814468384,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter5_medium_20260528,medium
