action_v338,loan_id,loan_amnt,mean_return_v338,observed_v47_proxy_v338,claim_boundary_v338
add_v337_best_feasible,127648167,1000.0,15.897397129938303,False,applied v337 best feasible add leg
drop_v337_best_feasible,136360475,1000.0,14.024583409971672,True,applied v337 best feasible drop leg
