policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded_declared,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status,scenario,n_funded_reconstructed,funded_exposure,realized_return_proxy_lgd45,ecl,provision,mean_pd_scenario,weighted_pd_scenario,stage2_or_3_share,observed_default_rate,net_return_after_ecl_full,status,satisficing_pass_rate,min_satisficing_margin,mean_loss_rate,cvar_95_loss_rate_full,max_loan_loss_amount,score_return,score_net_ecl,score_ecl,score_tail,score_satisficing,score_auditability,diagnostic_selector_score,hard_gate_pass,diagnostic_selector_rank,diagnostic_decision
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,163947.7110439952,-9.766431050953388,0.042975,0.144086,0.0,0.042975,0.227043,0.082957,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,343,966250.0,156238.1825,95271.9974552172,95271.9974552172,0.255851573662867,0.21911053029804156,1.0,0.05539358600583091,60966.18504478279,diagnostic_selector_no_promotion,0.8,-2322.1112752748886,0.01554333764553687,0.44999999999999996,1361.25,0.31304448869151735,0.8514386465895407,0.8449504301526779,1.0,0.8,0.5456350727889343,0.7027512664439028,True,11,keep
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,342,1000000.0,167067.29591823329,-11.206245171857809,0.042975,0.155394,0.0,0.042975,0.240467,0.085073,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,342,913825.0,147740.63,94962.94452437863,94962.94452437863,0.2710686879560263,0.23092907899185325,1.0,0.06140350877192982,52777.68547562137,diagnostic_selector_no_promotion,1.0,-0.0,0.018897217738626106,0.4499999999999999,1361.25,0.6418877150236545,0.5415402266611454,0.8538052575339838,1.0,1.0,0.44099918863977156,0.7024144413716328,True,12,keep
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,165504.23210778716,-7.666254491475385,0.040975,0.146459,0.0,0.040975,0.230907,0.084447,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,344,947850.0,153720.41,96742.36512705145,96742.36512705145,0.26046593402968915,0.2268112397696575,1.0,0.061046511627906974,56978.04487294855,diagnostic_selector_no_promotion,0.8,-765.5902114829223,0.017506725747744898,0.4499999999999999,1361.25,0.4771212582316607,0.7005052152245367,0.8028222034899587,1.0,0.8,0.578800835422484,0.6975941830165204,True,13,keep
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,335,1000000.0,169389.5810115051,-10.484017592046209,0.03545,0.177578,0.0,0.03545,0.267668,0.09009,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,335,879825.0,152414.13,103536.14202207912,103536.14202207912,0.3122311331343674,0.2615069083108803,1.0,0.056716417910447764,48877.987977920886,diagnostic_selector_no_promotion,1.0,-0.0,0.01655869064870855,0.44999999999999996,1361.25,0.8866855818299053,0.39395395856296433,0.6081703634011255,1.0,1.0,0.4431279494325591,0.694987414309734,True,14,keep
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,341,1000000.0,166244.65010111933,-9.304754025010658,0.042975,0.150881,0.0,0.042975,0.23544,0.08456,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,341,911725.0,148784.2,93684.57468824773,93684.57468824773,0.26625488694765237,0.22834510817588816,1.0,0.05865102639296188,55099.62531175229,diagnostic_selector_no_promotion,0.8,-25.17221815075027,0.0177068194905262,0.4499999999999999,1361.25,0.5551705665779145,0.629415359377243,0.8904324598636724,1.0,0.8,0.48275915902933403,0.6949364113469522,True,15,keep
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.45,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,340,1000000.0,166621.64409318674,-11.236008305378432,0.041775,0.157534,0.0,0.041775,0.241643,0.08411,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,340,896375.0,144231.39,93166.2904827567,93166.2904827567,0.278084190096725,0.23097052134741894,1.0,0.058823529411764705,51065.09951724332,diagnostic_selector_no_promotion,1.0,-0.0,0.01913959001533956,0.4499999999999999,1800.0,0.5949104440478477,0.4767264377599796,0.9052820753053636,1.0,1.0,0.4542714601368071,0.6777008958841728,True,16,keep
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,338,1000000.0,168128.1097153701,-8.98427284549303,0.03545,0.171845,0.0,0.03545,0.260922,0.089078,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,338,903800.0,154135.67,104382.39478512328,104382.39478512328,0.3000240655026097,0.256650671940998,1.0,0.05621301775147929,49753.27521487673,diagnostic_selector_no_promotion,1.0,-0.0,0.017115235671608765,0.44999999999999996,1361.25,0.7537107445776486,0.42707970149365443,0.5839239596625265,1.0,1.0,0.49617689918734786,0.6745616824774959,True,17,keep
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,338,1000000.0,166559.14303245154,-10.811744546113133,0.04545,0.162785,0.0,0.04545,0.249532,0.086747,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,338,886300.0,149235.025,96336.73848482248,96336.73848482248,0.29471226831400915,0.24154534703529645,1.0,0.05621301775147929,52898.28651517752,diagnostic_selector_no_promotion,1.0,-0.0,0.016691582985445107,0.44999999999999996,1361.25,0.5883220512680666,0.5461044415437993,0.8144440117298956,1.0,1.0,0.30439268674135317,0.6727955151272813,True,18,keep
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,337,1000000.0,168244.12224854622,-10.553240027711439,0.04545,0.171708,0.0,0.04545,0.259439,0.087732,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,337,883875.0,150149.415,100184.0167767377,100184.0167767377,0.30613575833358103,0.25188080711950267,1.0,0.05934718100890208,49965.39822326231,diagnostic_selector_no_promotion,1.0,-0.0,0.016635553669919388,0.4499999999999999,1361.25,0.7659399152021258,0.43510761730093095,0.7042137509447315,1.0,1.0,0.22182583192503053,0.664621222277787,True,19,keep
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,338,1000000.0,165517.85855195278,-9.309136114636303,0.042975,0.152083,0.0,0.042975,0.236042,0.083958,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,338,914475.0,148277.06,94276.97831968528,94276.97831968528,0.26274000737842124,0.22909800296997435,1.0,0.05621301775147929,54000.08168031472,diagnostic_selector_no_promotion,0.8,-751.9637673172983,0.017161486098581154,0.44999999999999996,1361.25,0.4785576557151409,0.5878025057467545,0.8734592123290023,1.0,0.8,0.47163673837605363,0.6604897607233171,True,20,keep
