policy_id,lane,solver_ok,lane_gate_pass,online_source_month_min_v9,online_policy_month_min_v9,online_width_v9,online_gate_pass_v10,ifrs9_readiness_v10,auditability_score_v10,selector_decision_v10,primary_blocker_v10,paper1_artifacts_modified,final_promotion_json_created
v10_mdcp_empirical_strict,mdcp_empirical_solver,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5559883297502806,review,ifrs9_contractual_data_blocker,False,False
v10_mdcp_empirical_committee,mdcp_empirical_solver,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5558705779228567,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p205_w0p03_s0p16_e0p25,dfl_decision_loss,True,False,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5531875858217767,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p190_w0p06_s0p12_e0p25,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5496657415921099,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p205_w0p06_s0p12_e0p25,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5487169596035935,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p175_w0p06_s0p08_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5399254312256758,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p190_w0p06_s0p08_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5399254312256758,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p205_w0p06_s0p08_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5399254312256758,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p190_w0p10_s0p04_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5269208696822864,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p175_w0p10_s0p04_e0p25,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5212760378346317,review,ifrs9_contractual_data_blocker,False,False
v10_mdcp_empirical_relaxed,mdcp_empirical_solver,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5210765154847037,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p175_w0p06_s0p08_e0p25,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5206298090708397,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p190_w0p06_s0p08_e0p25,dfl_decision_loss,True,False,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5176687915901449,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p190_w0p10_s0p04_e0p25,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.516704468181289,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p205_w0p06_s0p08_e0p25,dfl_decision_loss,True,False,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.516623683328749,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p205_w0p10_s0p04_e0p25,dfl_decision_loss,True,False,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5125058436478466,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p175_w0p06_s0p04_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5089563164878784,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p190_w0p06_s0p04_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5089563164878784,review,ifrs9_contractual_data_blocker,False,False
v10_dfl_constrained_p0p205_w0p06_s0p04_e0p50,dfl_decision_loss,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5089563164878784,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r1_i4_cap106875,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.5034156187041523,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r1_i3_cap123750,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.4901533970912363,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r2_i4_cap142500,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.4819052546811337,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor110000_r1_i4_cap174375,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.47402554525002144,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r1_i2_cap157500,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.47374564273789954,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r2_i3_cap165000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.4695812484524917,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r2_i2_cap210000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.4579459910884047,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor110000_r2_i2_cap210000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.4579459910884047,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r3_i3_cap206250,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.45754167429747805,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor110000_r3_i3_cap206250,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.45754167429747805,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r1_i1_cap225000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.45456879590973565,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor110000_r1_i1_cap225000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.45456879590973565,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r2_i1_cap300000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.44494289181197644,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r3_i1_cap375000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.44494289181197644,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor80000_r3_i2_cap262500,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.44494289181197644,review,ifrs9_contractual_data_blocker,False,False
v10_cvar_decomp_floor110000_r2_i1_cap300000,cvar_expanded,True,True,0.8,0.9,0.9342434494753106,True,0.5833333333333334,0.44494289181197644,review,ifrs9_contractual_data_blocker,False,False
