period,grade,n_loans,default_rate,coverage_90,coverage_95,avg_width_90
2018H1,A,26596,0.08756955933223041,0.9122800421115957,0.9666491201684464,0.22041881518980724
2018H1,B,31406,0.19747818888110552,0.9295994395975291,0.9565051264089665,0.925067884923029
2018H1,C,29579,0.305723655295987,0.9294769938131783,0.9493221542310423,0.9576765414883943
2018H1,D,17441,0.3911472965999656,0.9220801559543604,0.9537297173327217,0.9648783171833596
2018H1,E,4678,0.4523300555793074,0.9221889696451475,0.9546814878153057,0.9729202250642653
2018H1,F,949,0.5247629083245522,0.9441517386722866,0.9778714436248683,0.9854458167616932
2018H1,G,190,0.5421052631578948,0.9842105263157894,0.9842105263157894,0.9923611229722282
2018H2,A,22996,0.09549486867281266,0.9035049573838928,0.9742563924160723,0.24851245695608007
2018H2,B,22332,0.18905606304854022,0.942101020956475,0.9658785599140247,0.9331028871074105
2018H2,C,21614,0.28555565836957525,0.9421208475987786,0.9596557786619784,0.9601340253279632
2018H2,D,13515,0.36470588235294116,0.9228264890862005,0.9529411764705882,0.9598248319280261
2018H2,E,4907,0.4244956185041777,0.8856735276136132,0.9262278377827593,0.9479639299769221
2018H2,F,766,0.5195822454308094,0.9086161879895561,0.943864229765013,0.972288663751917
2018H2,G,209,0.5454545454545454,0.9186602870813397,0.9186602870813397,0.9740789450670067
2019H1,A,14376,0.09286310517529216,0.9051196438508625,0.9755147468002225,0.26536189919923486
2019H1,B,13295,0.17044001504324935,0.9559232794283565,0.9742760436254231,0.9408229777238586
2019H1,C,12486,0.26293448662502,0.9437770302739068,0.9629184686849271,0.9609879424539108
2019H1,D,8822,0.34810700521423715,0.9138517343006121,0.9466107458626162,0.956460314245252
2019H1,E,1243,0.3805309734513274,0.8761061946902655,0.912308930008045,0.9399986853818247
2019H1,F,16,0.375,0.8125,0.8125,0.826810654886934
2019H1,G,7,0.0,1.0,1.0,0.843216554072157
2019H2,A,6917,0.0571056816538962,0.9410148908486338,0.9791817261818707,0.2567525842578966
2019H2,B,7124,0.10401459854014598,0.9692588433464346,0.9803481190342505,0.9307436759420545
2019H2,C,5983,0.16262744442587332,0.9625605883336119,0.9732575630954371,0.9563431207299828
2019H2,D,5136,0.19898753894080998,0.951518691588785,0.9705996884735203,0.9465612005666394
2020,A,1503,0.008649367930805056,0.9886892880904857,0.9986693280106453,0.2638923890813409
2020,B,1154,0.018197573656845753,0.9922010398613518,0.9930675909878682,0.9367620395510768
2020,C,906,0.012141280353200883,0.9966887417218543,0.9966887417218543,0.9444775770600928
2020,D,723,0.017980636237897647,0.995850622406639,1.0,0.9371447167807754
