macro_regime_v15,macro_event_label_v23,n_paths,n_months,default_factor_mean,default_factor_p95,lgd_factor_mean,prepay_factor_mean,observed_default_anchor_v23,observed_lgd_anchor_v23,path_claim_boundary,version_v23
baseline_internal,crisis:Pandemia COVID-19,32,1,1.0544185299822029,1.3862628834445894,1.0024240733266352,1.0032281689977474,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
baseline_internal,market:Expansión fintech y competencia en lending,32,1,1.0495397970651665,1.4190489765337126,1.0235208747682794,0.9877625259065386,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
baseline_internal,none,32,66,1.024869218998083,1.297362486049623,1.0102522312445315,0.9962676563196263,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
baseline_internal,regulation:IFRS 9 entra en vigor globalmente,32,1,1.02090650189543,1.1542649085549683,1.0108794150623082,0.9925736829844924,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
macro_stress_internal,crisis:Pandemia COVID-19,32,1,1.5597249523471466,1.952825216992948,1.2389861169305108,0.7939137906956009,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
macro_stress_internal,market:Expansión fintech y competencia en lending,32,1,1.52276380562099,1.864154773060145,1.2512694023513955,0.7878889475532632,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
macro_stress_internal,none,32,66,1.5440570869293795,1.951922591201757,1.2609419494222176,0.7833425700450565,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
macro_stress_internal,regulation:IFRS 9 entra en vigor globalmente,32,1,1.487004260825841,1.6479683491454056,1.2364669226782021,0.7922972801790683,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
mild_stress_internal,crisis:Pandemia COVID-19,32,1,1.1590942418948629,1.4454298743988838,1.0564183753388963,0.9418254522595646,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
mild_stress_internal,market:Expansión fintech y competencia en lending,32,1,1.1190528663482273,1.3555822781309905,1.0614333712308464,0.9371530537957046,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
mild_stress_internal,none,32,66,1.1350304727237956,1.452633171431833,1.0688575838849954,0.9328500545038346,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
mild_stress_internal,regulation:IFRS 9 entra en vigor globalmente,32,1,1.1354113719968704,1.2477583419499785,1.0718554006474872,0.9263761639058027,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
vintage_stress_internal,crisis:Pandemia COVID-19,32,1,1.3374081903547368,1.627642369652759,1.164137428341433,0.8574904220112358,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
vintage_stress_internal,market:Expansión fintech y competencia en lending,32,1,1.2893177893788828,1.693656099171695,1.1670280961210695,0.8556303140045611,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
vintage_stress_internal,none,32,66,1.300659652217462,1.6828662259059588,1.1734595359223408,0.8521007095122819,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
vintage_stress_internal,regulation:IFRS 9 entra en vigor globalmente,32,1,1.2540668041915706,1.3990769510253305,1.1511074016255287,0.860633721424239,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v3_diagnostics
