policy_id,month_idx,calendar_month,cash_end,principal_in,interest_in,realized_loss,recovery_in,expected_loss,capital_used,outstanding_items,outstanding_balance_proxy,macro_state_v7,state_value_proxy,decision_scope
v7_dla_capital_coverage_state,1,2018-01-01,681975.0,0.0,0.0,0.0,0.0,0.0,0.0,160,318025.0,0.0960351919683451,1000000.0,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,2,2018-02-01,445869.02840277774,34136.1111111111,2682.9172916666657,0.0,0.0,721.5810558431436,61828.40732605546,272,556813.8888888889,-0.7494953524477008,995778.4955032179,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,3,2018-03-01,307766.3128530092,40892.3611111111,4756.923339120368,1530.0,153.0,1403.804564299552,116451.82613623471,356,694896.5277777778,-0.6886783268415956,989613.853452864,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,4,2018-04-01,216820.62520833325,37888.888888888876,5863.173466435184,2747.5,274.75,1761.7311067873206,146968.83665020388,425,783127.0833333333,-0.674741624366052,983489.0937698588,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,5,2018-05-01,173462.78578125,55736.80555555561,6616.605017361107,1512.5000000000002,151.25000000000003,3075.2065698449132,166190.05310047593,479,828379.1666666666,-0.22613192839517995,982147.7405680241,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,6,2018-06-01,137496.18459490745,42777.77777777785,7041.871035879623,3762.4999999999995,376.25,3542.0538417720327,176914.50282024575,518,859640.2777777778,-0.14746665885219987,975902.9582488886,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,7,2018-07-01,131072.8991377317,70305.55555555575,7326.283987268512,5311.25,531.125,4120.246693051743,184353.49031020037,538,856806.9444444444,-0.035321440669170645,965324.2478581043,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,8,2018-08-01,115857.6198263893,49840.27777777795,7432.692910879636,5542.5,554.25,4043.882376579271,184113.60481544424,562,862149.9999999999,-0.048630997396714754,955552.3769682656,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,9,2018-09-01,106903.6807778691,59013.194444444634,7404.357945601851,11682.1875,1085.6960614332886,5374.361229963291,185194.7188809286,567,841951.3888888888,0.23546585650650118,924961.2365487018,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,10,2018-10-01,99359.7118130924,55275.000000000284,7259.481001157406,10920.0,966.5500340655938,6004.538585849669,180490.91966014326,575,822534.7222222221,0.3829364039511788,897840.8034834504,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,11,2018-11-01,98513.6927332315,53209.02777777797,7348.078142361112,5031.249999999999,503.12499999999994,2678.4309082049344,176241.61085162524,590,815020.1388888888,-0.39742999260145184,893231.2396287527,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,12,2018-12-01,111740.32869388006,76503.47222222263,7395.288738425927,3941.249999999999,394.12499999999994,3574.2156707166628,175053.54052416337,594,796883.3333333333,-0.10399566210678099,887544.0923040803,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,13,2019-01-01,116338.32213716744,69548.61111111146,7310.757332175923,5123.75,512.375,3284.692198555007,171532.4210330383,595,783598.611111111,-0.1667220273240576,879498.9989464197,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,14,2019-02-01,112145.23858971405,59496.527777778094,7227.013674768524,4796.25,479.625,3049.4625066467065,168887.10581559315,603,780043.7499999999,-0.22223129958054746,872250.8155015078,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,15,2019-03-01,111155.51404110319,60315.97222222249,7258.678229166671,3293.749999999999,329.37499999999994,3502.0432441395537,168519.11764830357,616,778008.3333333331,-0.08394407970268455,868809.8923654665,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,16,2019-04-01,116129.0461649461,69536.80555555588,7258.726568287034,4080.000000000001,408.0000000000001,3570.775141199298,168853.4707308682,616,767554.861111111,-0.07250710660834361,863227.785061771,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,17,2019-05-01,109889.09220082601,54158.3333333336,7308.7127025463005,980.0000000000005,98.00000000000006,1384.9441082827057,167150.1563270185,638,778043.7499999999,-1.0136965112719465,869832.8824598414,loan_level_endogenous_capital_ecl_coverage_state
v7_dla_capital_coverage_state,18,2019-06-01,116298.44497281703,70611.1111111114,7351.86666087963,2976.249999999999,297.62499999999994,1624.391233712102,168706.82428172976,639,769693.7499999999,-0.8514927997380258,867497.1213109317,loan_level_endogenous_capital_ecl_coverage_state
