tier_id_v343,solver_success_v343,milp_status_v343,milp_message_v343,milp_fun_v343,milp_gap_v343,milp_dual_bound_v343,milp_node_count_v343,constraint_rows_v343,variable_count_v343,return_floor_v343,cvar_cap_v343,selected_rows_v343,portfolio_exposure_v343,objective_return_v343,delta_return_vs_v338_v343,delta_return_vs_v316_v343,scenario_loss_mean_v343,scenario_loss_cvar90_v343,delta_cvar90_vs_v338_v343,delta_cvar90_vs_v316_v343,observed_proxy_rows_v343,missing_proxy_rows_v343,observed_proxy_delta_vs_v338_v343,missing_proxy_delta_vs_v338_v343,period_distribution_v343,claim_boundary_v343
strict_v338_return_v338_cvar,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,-1,186,1851,4425.910563779387,96385.97652556212,,,,,,,,,,,,,,{},expanded-pool proxy-gap repair tier; not full-universe or promotion evidence
relaxed_v316_return_v338_cvar,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,-1,186,1851,4419.757991584778,96385.97652556212,,,,,,,,,,,,,,{},expanded-pool proxy-gap repair tier; not full-universe or promotion evidence
