regime_v59,solver_success_v59,solver_status_v59,solver_message_v59,restricted_master_columns_v59,scenario_count_v59,cvar_cap_v59,return_floor_v59,cap_multiplier_v59,min_deployment_v59,source_cap_count_v59,exact_full_universe_claim_v59,claim_boundary_v59,objective_return_v59,allocated_exposure_v59,n_allocated_loans_v59,scenario_loss_mean_v59,scenario_loss_p95_v59,scenario_loss_cvar90_v59,scenario_return_p05_v59,budget_slack_v59,return_norm_v59,tail_norm_v59,deploy_norm_v59,frontier_score_v59,committee_feasible_v59,non_dominated_restricted_v59
strict_low_deploy,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),36000,128,85000.0,20000.0,1.35,0.72,47,False,adaptive feasible frontier over expanded restricted master; not exact full-universe optimality,22650.146812753595,850000.0,113,26862.866024865743,41954.55960095503,43875.05758239633,9104.73336638951,150000.0,0.0,0.0,0.5,0.11,True,True
committee_low_deploy,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),36000,128,105000.0,35000.0,1.55,0.8,47,False,adaptive feasible frontier over expanded restricted master; not exact full-universe optimality,,,0,,,,,,0.0,0.0,0.5,0.11,False,False
committee_balanced,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),36000,128,125000.0,50000.0,1.8,0.85,47,False,adaptive feasible frontier over expanded restricted master; not exact full-universe optimality,,,0,,,,,,0.0,0.0,0.5,0.11,False,False
relaxed_balanced,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),36000,128,160000.0,70000.0,2.15,0.9,47,False,adaptive feasible frontier over expanded restricted master; not exact full-universe optimality,,,0,,,,,,0.0,0.0,0.5,0.11,False,False
wealth_first,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),36000,128,220000.0,95000.0,2.5,0.9,47,False,adaptive feasible frontier over expanded restricted master; not exact full-universe optimality,,,0,,,,,,0.0,0.0,0.5,0.11,False,False
tail_first_low_budget,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),36000,128,75000.0,5000.0,2.2,0.55,47,False,adaptive feasible frontier over expanded restricted master; not exact full-universe optimality,23342.94786759945,850000.0,96,26272.962959017532,40925.63901189504,42745.455721701495,10228.923228140371,150000.0,1.0,1.0,0.5,0.89,True,True
