strategy,policy_id,months,final_cash_budget,final_outstanding_exposure,cumulative_interest,cumulative_losses,net_cash_result,total_deployed
static_champion_monthly,paper1_economic_champion,33,133775.9306543547,2312688.881527498,435835.9314928683,65412.27781549925,1446464.8121818528,2458049.4988952745
ifrs9_best_monthly,crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,33,131356.42687757232,2293051.9995882246,415661.4661864927,63679.15327050134,1424408.4264657968,2434561.2290782277
selector_v3_best_monthly,crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,33,131356.42687757232,2293051.9995882246,415661.4661864927,63679.15327050134,1424408.4264657968,2434561.2290782277
