policy_id,n_paths,wealth_mean,wealth_p05,loss_p95,wealth_ci95_width,prob_beats_reference,no_temporal_leakage_rate
paper1_economic_champion,32,1164773.3676732418,1099389.8533051885,146398.36691799,25421.121121311076,0.0,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,32,1164147.8390726612,1099533.2443246273,125218.55956963125,20644.84101531717,0.53125,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,32,1164147.839072661,1099533.2443246273,125218.55956963125,20644.841015317175,0.53125,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,32,1145890.695413678,1104573.3397773483,101776.67100441686,17153.044613221755,0.25,1.0
v13_fvi_bellman_rollout,32,1090949.9875432248,1076662.240585169,46273.480847706654,7639.578023525186,0.0,1.0
v13_fvi_capital_guarded,32,1089154.501454725,1075901.8787279355,45535.847921395085,7246.334997997543,0.0,1.0
v13_fvi_return_recovery,32,1096732.7981345914,1082317.8701980603,47365.6903349744,8162.442542739164,0.0,1.0
v13_mdcp_empirical_base,32,1099961.0488982755,1076131.454312499,74872.17393593045,12345.216830568957,0.0,1.0
v13_mdcp_empirical_return_recovery,32,1125233.1097016414,1094668.1746442057,87191.62457822444,13252.206274915105,0.0625,1.0
v13_mdcp_empirical_tight,32,1062992.1128385733,1038719.6857878506,69436.51006628409,12395.72247113182,0.0,1.0
v13_spo_regret_audit_guarded,32,1117887.0646674791,1077342.8305610954,95457.07307259103,16662.03115929229,0.03125,1.0
v13_spo_regret_balanced,32,1127140.3524697286,1089613.1488012355,92485.2844831973,16919.181514295095,0.0625,1.0
v13_spo_regret_return_recovery,32,1128227.0800901228,1082096.5592706183,102233.89744436783,17708.454878250228,0.0625,1.0
v13_static_reference,32,1045709.3332700415,957990.5199333043,345235.6604588987,42101.25011263799,0.0,1.0
paper1_economic_champion,64,1168155.984240238,1100250.473538011,140519.44798438528,18528.13459376367,0.0,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,64,1167535.0777344923,1102925.2225983075,122197.58234791333,14122.28570558942,0.5,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,64,1167535.0777344923,1102925.2225983075,122197.58234791333,14122.285705589418,0.5,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,64,1146957.1661994387,1105806.703858995,100028.64956400628,12162.67171244089,0.203125,1.0
v13_fvi_bellman_rollout,64,1091587.2322958107,1073986.7293969982,48418.22387962803,5494.431669158155,0.0,1.0
v13_fvi_capital_guarded,64,1089795.5556003796,1072407.6030946304,48197.4943139418,5429.0027590066575,0.0,1.0
v13_fvi_return_recovery,64,1098047.4744423572,1079797.858318161,50553.787667297336,5842.5202640393645,0.0,1.0
v13_mdcp_empirical_base,64,1100650.450508425,1072673.181472443,79233.41395582666,8922.813613096589,0.0,1.0
v13_mdcp_empirical_return_recovery,64,1125900.787284228,1091114.7329652554,90691.55736509737,10156.700673211335,0.046875,1.0
v13_mdcp_empirical_tight,64,1064704.5922953212,1042156.3772725444,65354.18002072233,8308.310684532815,0.0,1.0
v13_spo_regret_audit_guarded,64,1119646.771076392,1071534.7621342167,98679.1756664222,11404.116353224095,0.015625,1.0
v13_spo_regret_balanced,64,1128711.2170499628,1084864.7357874266,96836.15462431958,11586.461665981056,0.0625,1.0
v13_spo_regret_return_recovery,64,1129815.688501514,1080765.9405276892,104634.06911090728,12241.627024214493,0.0625,1.0
v13_static_reference,64,1050816.9449080084,937807.2610672733,350358.3484652955,34754.51348439735,0.03125,1.0
paper1_economic_champion,128,1170569.1892400202,1101128.3791916259,140410.55435149773,12666.137089775342,0.0,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,128,1170273.4955465365,1114651.2876789847,111806.64317826423,9789.165596840896,0.5,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,128,1170273.4955465365,1114651.2876789847,111806.64317826423,9789.165596840896,0.5,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,128,1148018.0921288268,1105101.4895671362,99960.38057079572,8940.473528734212,0.15625,1.0
v13_fvi_bellman_rollout,128,1091609.9566779889,1073628.2777604174,48544.768441267224,3629.5565759633705,0.0,1.0
v13_fvi_capital_guarded,128,1089808.5820246264,1071353.0444136446,48998.18538927638,3631.8705481202082,0.0,1.0
v13_fvi_return_recovery,128,1098242.462584665,1078406.4815683523,52023.44353001024,3826.2381212560144,0.0,1.0
v13_mdcp_empirical_base,128,1099794.2194613586,1069484.3854517748,80492.71962943752,6678.977493440456,0.0,1.0
v13_mdcp_empirical_return_recovery,128,1126985.638462636,1088800.0189508274,87848.4334089355,7864.011186131757,0.0234375,1.0
v13_mdcp_empirical_tight,128,1063734.4711272153,1034625.7683223785,67379.08919928402,5813.979340864318,0.0,1.0
v13_spo_regret_audit_guarded,128,1120845.3158714664,1076676.2364918531,95770.90740824075,7650.771007398808,0.0234375,1.0
v13_spo_regret_balanced,128,1129788.8295962424,1085836.0042242862,96626.23260980642,7797.006745089885,0.0546875,1.0
v13_spo_regret_return_recovery,128,1131388.9490357896,1089419.8060568438,97777.1263354624,8010.1615627200745,0.046875,1.0
v13_static_reference,128,1051812.2251359273,921199.4653959379,350089.6060895317,26030.2657545585,0.0234375,1.0
