rule_code_v433,diagnostic_count_v433,fixable_count_v433,file_count_v433,top_surface_v433,repair_priority_v433,claim_boundary_v433
B023,7,0,4,scripts,1,post-v433 frontier only
I001,5,5,5,scripts,2,post-v433 frontier only
F401,4,4,4,scripts,3,post-v433 frontier only
UP022,3,3,3,scripts,4,post-v433 frontier only
SIM108,2,2,2,scripts,5,post-v433 frontier only
C405,1,1,1,scripts,6,post-v433 frontier only
SIM223,1,1,1,scripts,7,post-v433 frontier only
