rank_v372,added_loan_id_v372,dropped_loan_id_v372,added_grade_v372,dropped_grade_v372,added_loan_amount_v372,dropped_loan_amount_v372,return_delta_v372,exposure_after_swap_v372,claim_boundary_v372
1,129916061,127648167,B,A,1000.0,1000.0,-176.82970150903287,843775.0,grade-A relief candidate ranking only; no apply or promotion
2,129916061,148017643,B,A,1000.0,1000.0,-177.55952963785043,843775.0,grade-A relief candidate ranking only; no apply or promotion
3,129916061,148145784,B,A,1000.0,1000.0,-178.13848188813773,843775.0,grade-A relief candidate ranking only; no apply or promotion
4,129916061,146052690,B,A,1000.0,1000.0,-178.3241917388896,843775.0,grade-A relief candidate ranking only; no apply or promotion
5,129916061,157878957,B,A,1000.0,1000.0,-179.43844850850775,843775.0,grade-A relief candidate ranking only; no apply or promotion
6,129916061,147094966,B,A,1000.0,1000.0,-179.51270880248134,843775.0,grade-A relief candidate ranking only; no apply or promotion
7,129916061,139555921,B,A,1000.0,1000.0,-180.99399375383678,843775.0,grade-A relief candidate ranking only; no apply or promotion
8,129916061,141085456,B,A,1000.0,1000.0,-182.58488040516738,843775.0,grade-A relief candidate ranking only; no apply or promotion
9,129916061,141674389,B,A,1000.0,1000.0,-182.58488040516738,843775.0,grade-A relief candidate ranking only; no apply or promotion
10,129916061,138767991,B,A,1000.0,1100.0,-183.89889253358027,843675.0,grade-A relief candidate ranking only; no apply or promotion
