source_family,source_id,cap_share_v336,source_exposure_v336,source_share_v336,source_slack_v336,source_cap_violated_v336,claim_boundary_v336
grade,A,0.8531348749298603,719850.0,0.8531302776214038,4.597308456477656e-06,False,v336 post-v334 applied-swap source diagnostic only
grade,B,0.8531348749298603,21725.0,0.025747385262658885,0.8273874896672014,False,v336 post-v334 applied-swap source diagnostic only
grade,C,0.8531348749298603,40600.0,0.048117092826879204,0.8050177821029811,False,v336 post-v334 applied-swap source diagnostic only
grade,D,0.8531348749298603,47050.0,0.055761310775977006,0.7973735641538833,False,v336 post-v334 applied-swap source diagnostic only
grade,E,0.8531348749298603,13550.0,0.016058783443453527,0.8370760914864067,False,v336 post-v334 applied-swap source diagnostic only
grade,F,0.8531348749298603,1000.0,0.0011851500696275666,0.8519497248602327,False,v336 post-v334 applied-swap source diagnostic only
grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v336 post-v334 applied-swap source diagnostic only
score_decile,0,0.9,759300.0,0.8998844478682113,0.00011555213178870982,False,v336 post-v334 applied-swap source diagnostic only
score_decile,1,0.9,64000.0,0.07584960445616426,0.8241503955438357,False,v336 post-v334 applied-swap source diagnostic only
score_decile,2,0.9,20475.0,0.024265947675624427,0.8757340523243756,False,v336 post-v334 applied-swap source diagnostic only
score_decile,3,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
score_decile,4,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
score_decile,5,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
score_decile,6,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
score_decile,7,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
score_decile,8,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
score_decile,9,0.9,0.0,0.0,0.9,False,v336 post-v334 applied-swap source diagnostic only
income_band,0,0.85,5500.0,0.006518325382951616,0.8434816746170484,False,v336 post-v334 applied-swap source diagnostic only
income_band,1,0.85,26925.0,0.03191016562472223,0.8180898343752777,False,v336 post-v334 applied-swap source diagnostic only
income_band,2,0.85,52150.0,0.0618055761310776,0.7881944238689224,False,v336 post-v334 applied-swap source diagnostic only
income_band,3,0.85,103475.0,0.12263340345471245,0.7273665965452876,False,v336 post-v334 applied-swap source diagnostic only
income_band,4,0.85,655725.0,0.7771325294065361,0.07286747059346388,False,v336 post-v334 applied-swap source diagnostic only
dti_band,0,0.85,618100.0,0.7325412580367989,0.11745874196320105,False,v336 post-v334 applied-swap source diagnostic only
dti_band,1,0.85,167050.0,0.197979319131285,0.652020680868715,False,v336 post-v334 applied-swap source diagnostic only
dti_band,2,0.85,38200.0,0.045272732659773045,0.8047272673402269,False,v336 post-v334 applied-swap source diagnostic only
dti_band,3,0.85,17425.0,0.02065123996326035,0.8293487600367396,False,v336 post-v334 applied-swap source diagnostic only
dti_band,4,0.85,3000.0,0.0035554502088826997,0.8464445497911173,False,v336 post-v334 applied-swap source diagnostic only
period,2018,0.82,514725.0,0.6100263695890492,0.20997363041095074,False,v336 post-v334 applied-swap source diagnostic only
period,2019,0.82,290125.0,0.34384166395069776,0.4761583360493022,False,v336 post-v334 applied-swap source diagnostic only
period,2020,0.82,38925.0,0.04613196646025303,0.773868033539747,False,v336 post-v334 applied-swap source diagnostic only
state_top20,AZ,0.35,12000.0,0.014221800835530799,0.33577819916446916,False,v336 post-v334 applied-swap source diagnostic only
state_top20,CA,0.35,115800.0,0.1372403780628722,0.21275962193712777,False,v336 post-v334 applied-swap source diagnostic only
state_top20,CO,0.35,15875.0,0.01881425735533762,0.3311857426446624,False,v336 post-v334 applied-swap source diagnostic only
state_top20,FL,0.35,51075.0,0.06053153980622796,0.28946846019377204,False,v336 post-v334 applied-swap source diagnostic only
state_top20,GA,0.35,32400.0,0.038398862255933155,0.31160113774406684,False,v336 post-v334 applied-swap source diagnostic only
state_top20,IL,0.35,91825.0,0.1088264051435513,0.24117359485644868,False,v336 post-v334 applied-swap source diagnostic only
state_top20,IN,0.35,8050.0,0.00954045806050191,0.34045954193949807,False,v336 post-v334 applied-swap source diagnostic only
state_top20,MA,0.35,29200.0,0.034606382033124945,0.31539361796687504,False,v336 post-v334 applied-swap source diagnostic only
state_top20,MD,0.35,8475.0,0.010044146840093627,0.33995585315990634,False,v336 post-v334 applied-swap source diagnostic only
state_top20,MI,0.35,2400.0,0.00284436016710616,0.3471556398328938,False,v336 post-v334 applied-swap source diagnostic only
state_top20,MN,0.35,9100.0,0.010784865633610856,0.3392151343663891,False,v336 post-v334 applied-swap source diagnostic only
state_top20,NC,0.35,23350.0,0.02767325412580368,0.3223267458741963,False,v336 post-v334 applied-swap source diagnostic only
state_top20,NJ,0.35,10600.0,0.012562590738052206,0.33743740926194776,False,v336 post-v334 applied-swap source diagnostic only
state_top20,NV,0.35,9700.0,0.011495955675387396,0.33850404432461256,False,v336 post-v334 applied-swap source diagnostic only
state_top20,NY,0.35,88375.0,0.10473763740333619,0.24526236259666379,False,v336 post-v334 applied-swap source diagnostic only
state_top20,OH,0.35,23000.0,0.02725845160143403,0.32274154839856595,False,v336 post-v334 applied-swap source diagnostic only
state_top20,PA,0.35,25850.0,0.030636129299872597,0.3193638707001274,False,v336 post-v334 applied-swap source diagnostic only
state_top20,TX,0.35,31450.0,0.03727296968978697,0.312727030310213,False,v336 post-v334 applied-swap source diagnostic only
state_top20,VA,0.35,14950.0,0.01771799354093212,0.33228200645906786,False,v336 post-v334 applied-swap source diagnostic only
state_top20,WA,0.35,57475.0,0.06811650025184439,0.2818834997481556,False,v336 post-v334 applied-swap source diagnostic only
state_top20,other,0.35,182825.0,0.21667506147965987,0.1333249385203401,False,v336 post-v334 applied-swap source diagnostic only
