policy_id,scenario,mean_diff_vs_reference_v6,p05_diff_vs_reference_v6,p50_diff_vs_reference_v6,p95_diff_vs_reference_v6,prob_beats_reference_v6,cvar90_simulated_loss_v6,n_paths,reference_policy_v6
paper4_v4_local_rt0p1700_g0p425_u0p025,adverse,0.0,0.0,0.0,0.0,0.0,259543.2107829623,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p025,baseline,0.0,0.0,0.0,0.0,0.0,187868.0149725278,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p025,cycle_stress,0.0,0.0,0.0,0.0,0.0,291976.13277323014,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p050,adverse,-229.8982884386796,-51982.71214923075,-1793.7021122649821,51955.491557012654,0.495,267675.96870321606,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p050,baseline,-1336.829665919664,-58010.09066482242,-1648.7024016189243,58397.72256017283,0.47,180886.25285998528,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p050,cycle_stress,-318.2293961601019,-52394.02577496796,509.2228376297062,45756.795284643595,0.505,297023.56465933996,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p050,adverse,5596.466611721167,-40276.32770450407,4996.329852342864,58262.50994684483,0.555,259747.36770870868,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p050,baseline,766.8525804187233,-59005.16162870063,-1660.9262212674398,63173.48028337862,0.475,178184.0346327383,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p050,cycle_stress,-1411.3904465642872,-61908.20291317288,407.48981319547966,50455.59713297431,0.51,295246.1661185055,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p075,adverse,5757.439177793434,-48411.49073277071,2428.445555060031,66893.31527389755,0.525,258547.63411840535,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p075,baseline,-103.45861206554426,-56591.44177726155,-1641.0784075655665,57076.05382028535,0.475,180026.5505724763,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p075,cycle_stress,872.3499041501543,-56714.92285535674,-48.93445475434419,58448.061154142095,0.5,294904.72706012067,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p100,adverse,2900.9034276503453,-47724.39950661379,1095.8264468625584,57328.358989215005,0.515,264852.376648623,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p100,baseline,1696.2772667508657,-57094.579563914645,-715.3777841804001,69643.07359240294,0.495,181012.03292425614,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p100,cycle_stress,4362.077590511681,-46383.72758190807,5251.746690633634,53965.28662324227,0.56,289743.21090001304,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p025,adverse,1201.9639954668844,-53309.03748647215,-628.7380721902009,66716.35048565854,0.495,260223.15298185303,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p025,baseline,-1076.8536467540164,-50665.74438381895,-2947.624118923716,51099.46060445329,0.48,180662.31080101006,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p025,cycle_stress,-300.50248050213963,-54244.62396842347,1995.7985314197576,49340.97960969623,0.525,298171.7970410538,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p050,adverse,2529.9356793178194,-46390.01579726638,2913.308860883757,51639.27577186685,0.58,263851.0999150169,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p050,baseline,-995.4370450836594,-53263.24825628191,-1738.1295185263716,59177.48165314384,0.495,181562.85534177258,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p050,cycle_stress,1817.3012525871402,-48582.33205470243,1415.2735036103913,52240.968300263536,0.52,292541.2754079034,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p000,adverse,2830.3645098784605,-53875.265736572546,-1036.7582466282474,62706.85188269354,0.49,262202.63315365254,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p000,baseline,262.96555500845903,-56033.99402909053,2014.3919803353747,59708.82375834945,0.53,180583.26029193582,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p000,cycle_stress,2133.6130679228354,-57883.05411085735,4165.667101281506,56033.67696129223,0.57,287226.1212306543,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p025,adverse,4571.455561105345,-52439.56647021955,5554.813144602002,63452.97780073288,0.56,256409.1071783055,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p025,baseline,-299.34063223837614,-44110.91297407549,-1772.711046471095,47180.2972025156,0.485,177679.81951740212,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p025,cycle_stress,982.5265098679802,-49405.25744133681,-818.0018031848158,53209.206522222885,0.49,293598.74971514626,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p050,adverse,7432.667501856195,-47341.007229932584,8221.000772646705,64462.371958986085,0.595,252240.24181218242,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p050,baseline,-2683.578154312311,-58770.83261980958,-950.1202121386641,46965.83230952083,0.48,178598.0196061195,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p050,cycle_stress,1372.6058252318153,-57986.04075883418,3701.3471602045393,54561.08765292255,0.545,294623.4323735161,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p075,adverse,1703.8920344782277,-42573.700186728885,1297.5872224543127,47504.6261077899,0.515,258015.33534164634,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p075,baseline,415.8733751236457,-57414.56455299472,-982.6663844568029,65308.020444876136,0.49,182626.73314169928,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p075,cycle_stress,1159.8577571506382,-53419.60273363301,1047.1193632501163,61980.392468906175,0.515,287314.45183826407,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p100,adverse,3402.1733685021254,-52236.70860312184,1811.044677907019,61060.075685991884,0.51,256392.11204429445,200,paper4_v4_local_rt0p1700_g0p425_u0p025
