policy_id,candidate_family,wealth_score_v48,tail_score_v48,regret_score_v48,auditability_score_v48,claim_safety_v48,evidence_source_v48,wealth_score_norm_v48,tail_score_norm_v48,regret_score_norm_v48,auditability_score_norm_v48,full_governance_score_v48,decision_v48,paper1_promotion_allowed_v48,paper4_working_champion_allowed_v48,claim_boundary_v48
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cvar_slack_frontier,126298.70435513796,-250000.0,0.5,0.75,True,v45_cvar_solver_frontier,0.9311763597077513,0.18671482307080933,0.4999999999999997,0.7679558011049726,0.6546227739010222,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cvar_slack_frontier,135633.49524334646,-300000.0,0.5,0.75,True,v45_cvar_solver_frontier,1.0,0.024058438310510244,0.4999999999999997,0.7679558011049726,0.634605769798622,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,focused_dynamic_common_path,0.4765625,0.99609375,0.55,0.7,True,v46_focused_dynamic_ci,3.513604800532322e-06,0.99999998729247,1.0,0.6519337016574587,0.6303877912360494,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v13_spo_regret_balanced,focused_dynamic_common_path,0.064453125,0.998046875,0.55,0.7,True,v46_focused_dynamic_ci,4.7520064925232227e-07,0.9999999936462349,1.0,0.6519337016574587,0.6303868813032453,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v13_spo_regret_audit_guarded,focused_dynamic_common_path,0.033203125,0.998046875,0.55,0.7,True,v46_focused_dynamic_ci,2.448003344633175e-07,0.9999999936462349,1.0,0.6519337016574587,0.6303868121831508,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v13_fvi_return_recovery,focused_dynamic_common_path,0.0078125,1.0,0.55,0.7,True,v46_focused_dynamic_ci,5.760007869725118e-08,1.0,1.0,0.6519337016574587,0.6303867576115154,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cvar_slack_frontier,135633.49524334646,-307395.4792324827,0.5,0.75,True,v45_cvar_solver_frontier,1.0,0.0,0.4999999999999997,0.7679558011049726,0.6285911602209945,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_fvi_capital_guarded,prior_registry,0.0078125,1.0,0.5,0.8499999999999999,True,v44_registry,5.760007869725118e-08,1.0,0.4999999999999997,1.0,0.6250000172800235,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_fvi_bellman_rollout,prior_registry,0.0078125,1.0,0.5,0.8333333333333333,True,v44_registry,5.760007869725118e-08,1.0,0.4999999999999997,0.9613259668508288,0.6172652106501894,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_fvi_return_recovery,prior_registry,0.0078125,1.0,0.5,0.8166666666666667,True,v44_registry,5.760007869725118e-08,1.0,0.4999999999999997,0.9226519337016578,0.6095304040203552,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_mdcp_empirical_tight,prior_registry,0.0,1.0,0.5,0.8,True,v44_registry,0.0,1.0,0.4999999999999997,0.8839779005524866,0.6017955801104973,review_or_park,False,False,Paper 4 working registry only; no final promotion
