policy_id,horizon_months,n_paths,wealth_mean,wealth_p05,loss_mean,loss_p95,defaults_mean,realized_return_mean,no_temporal_leakage_rate
paper1_economic_champion,12,64,965121.9565803083,931044.5731856016,5716.285245353303,11040.556068315153,5.375,19078.10920982725,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,12,64,973607.3685661957,938395.0043441916,6067.535625510554,11595.63123219583,5.015625,24950.875052317093,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,12,64,973607.3685661957,938395.0043441916,6067.535625510554,11595.63123219583,5.015625,24950.875052317097,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,12,64,984929.1201609403,964792.4330804914,5459.984473074395,13444.034696585095,5.078125,26795.09256144228,1.0
v13_fvi_bellman_rollout,12,64,975364.2052596635,942345.6786742024,7832.402376371709,12312.86370269978,11.703125,33000.874999457534,1.0
v13_fvi_capital_guarded,12,64,975063.6606411561,942214.1614650183,8032.073869201189,13177.521831737618,12.046875,32812.644484772914,1.0
v13_fvi_return_recovery,12,64,974337.9128788131,939901.3070567024,7760.595385221665,13108.66626898149,11.359375,33992.38587049699,1.0
v13_mdcp_empirical_base,12,64,991760.6828386851,974865.9414939226,7584.122852124422,16585.68914181223,5.09375,35589.42076874185,1.0
v13_mdcp_empirical_return_recovery,12,64,989203.5384928149,970795.2160847613,5761.658726203576,15071.275420320413,4.40625,29774.63542335297,1.0
v13_mdcp_empirical_tight,12,64,982879.1433740484,965097.8963032824,5279.223366536611,13238.586397273322,3.546875,25999.597356522725,1.0
v13_spo_regret_audit_guarded,12,64,973265.9630322186,942520.0086289552,8527.398374040717,13910.404407349932,8.109375,26335.828585250278,1.0
v13_spo_regret_balanced,12,64,972202.96681209,941495.0158016954,6368.4852006687015,11283.626076450797,6.03125,24200.52769368493,1.0
v13_spo_regret_return_recovery,12,64,969884.9775992188,938675.1925770307,5963.508408072454,11248.846366649823,5.53125,21287.615164026345,1.0
v13_static_reference,12,64,708409.6156433172,597726.5324309756,73664.46624670246,119399.7896066992,5.3125,117184.64210684321,1.0
paper1_economic_champion,24,64,972738.0906173054,896474.7856282311,34768.02035799106,59964.82725525814,30.15625,113457.78792126951,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,24,64,1015111.1726054013,944473.7430658747,30219.257292937342,54906.91977899117,26.890625,113858.70957645407,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,24,64,1015111.1726054011,944473.7430658747,30219.257292937342,54906.91977899117,26.890625,113858.70957645407,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,24,64,1006622.5187121226,960592.9380619703,26842.27225477647,49455.022672378225,27.328125,102295.77889796974,1.0
v13_fvi_bellman_rollout,24,64,1041156.7651510102,1014035.9848167925,22275.582741289738,33535.261521198605,40.78125,90934.27670021282,1.0
v13_fvi_capital_guarded,24,64,1039907.8991459962,1012995.2757569151,22534.881196476108,34522.51862943266,41.4375,89880.63948070316,1.0
v13_fvi_return_recovery,24,64,1044428.5059555094,1015671.4728783373,22889.032020483155,37344.35893269319,40.484375,96048.87120569227,1.0
v13_mdcp_empirical_base,24,64,1008199.0184811464,969602.2431157975,25197.7308471125,38923.97063599518,23.234375,93353.00041593204,1.0
v13_mdcp_empirical_return_recovery,24,64,1006046.2101887927,962972.1619612918,24726.530800382923,40104.093011128556,22.546875,96730.41415049924,1.0
v13_mdcp_empirical_tight,24,64,1004572.3250404325,976056.7381744819,23366.533582143456,39265.1594118699,20.671875,72634.42516308183,1.0
v13_spo_regret_audit_guarded,24,64,1007436.1960407185,952432.7961204324,29689.225766873307,51362.48612580878,28.828125,94383.27056197556,1.0
v13_spo_regret_balanced,24,64,1008488.9601090134,946680.477242927,28764.628709363,48148.6950782447,26.875,98768.41303213622,1.0
