policy_id,scenario,n_loan_months,n_loans,total_ead_start_proxy,total_ead_end_proxy,total_interest_cash_proxy,total_recovery_cash_proxy,total_loss_cash_proxy,total_ecl_proxy,default_event_share_proxy,prepayment_event_share_proxy,recovery_timing_share_proxy,contractual_ifrs9_claim_allowed,claim_boundary_v43
paper1_economic_champion,baseline,36180,335,57601575.0,53101462.85206051,947959.6707982837,31537.91666666667,29904.375,9003598.336975545,0.0015754560530679934,0.026202321724709786,0.0015754560530679934,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,37800,350,57432000.0,52930362.739766054,808492.7326269835,8392.581300000002,44101.9405,6305526.59432477,0.0013492063492063493,0.02642857142857143,0.0013492063492063493,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,37800,350,57432000.0,52930362.739766054,808492.7326269835,8392.581300000002,44101.9405,6305526.59432477,0.0013492063492063493,0.02642857142857143,0.0013492063492063493,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,36180,335,57432000.0,53066262.65910384,745180.0948507013,7353.388350000001,28758.230783333333,6329163.399298771,0.0011608623548922056,0.02645107794361526,0.0011608623548922056,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_fvi_bellman_rollout,baseline,74412,689,55425075.0,50911043.75,413134.1953125,19616.666666666668,19252.5,2976010.589884301,0.0008063215610385422,0.026971456216739235,0.0008063215610385422,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_fvi_capital_guarded,baseline,75168,696,55468087.5,50961937.5,408093.5234375,21092.5,20808.75,2979446.206105185,0.0008780332056194125,0.026899744572158366,0.0008780332056194125,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_fvi_return_recovery,baseline,73008,676,55409812.5,50915320.833333336,439165.3025,19250.0,18727.5,3083234.0755405906,0.0007807363576594346,0.026997041420118342,0.0007807363576594346,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_mdcp_empirical_base,baseline,28836,267,55794000.0,51623925.45302659,568051.6882045403,8748.725183333334,32465.622966666666,5694960.032434116,0.0013524760715771952,0.02517686225551394,0.0013524760715771952,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_mdcp_empirical_return_recovery,baseline,31644,293,56529000.0,52229629.18342084,660697.1522137808,7416.556628424456,26596.485738045605,5868724.17713465,0.0011376564277588168,0.026071293136139553,0.0011376564277588168,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_mdcp_empirical_tight,baseline,21168,196,47175000.0,43891077.09354109,412609.17368943914,4919.2961000000005,22505.876366666667,4821590.434810493,0.001417233560090703,0.021683673469387755,0.001417233560090703,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_spo_regret_audit_guarded,baseline,42768,396,54424687.5,50024279.166666664,610441.1815625,23403.645833333336,23261.25,5289715.38494485,0.0013327721661054994,0.02644500561167228,0.0013327721661054994,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_spo_regret_balanced,baseline,41580,385,54537075.0,50088962.5,641744.835,27825.416666666668,26930.625,5350915.553779272,0.001443001443001443,0.026334776334776336,0.001443001443001443,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_spo_regret_return_recovery,baseline,42660,395,54426075.0,50019031.25,661245.8584375,36060.520833333336,34908.75,5662760.495122231,0.0016174402250351617,0.026160337552742614,0.0016174402250351617,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
v13_static_reference,baseline,3456,32,65809462.5,61610925.833333336,1531140.5734375,170069.1666666667,154402.5,31338183.517026216,0.005208333333333333,0.022569444444444444,0.005208333333333333,False,IFRS9-inspired monthly proxy panel; not contractual IFRS9
