scenario_id,macro_mean,macro_sd,rho,lgd_cycle,default_cycle,version_v13
baseline_macro_calibrated,0.0,0.25,0.45,0.24,0.34,v13_macro_vintage_common_paths
adverse_macro_calibrated,0.45,0.34,0.58,0.36,0.52,v13_macro_vintage_common_paths
severe_macro_calibrated,0.9,0.42,0.7,0.5,0.7,v13_macro_vintage_common_paths
