policy_id,source_id,loans,exposure,avg_pd,avg_width,source_family,support_gate_pass_v25,pooling_decision_v25,source_cap_proxy_v25,no_fair_lending_legal_claim
paper1_economic_champion,A,1,3500.0,0.0756138548647283,0.55,original_grade,False,pool_to_parent_family,0.35,True
paper1_economic_champion,B,22,92538.90656453557,0.11428240343360961,0.55,original_grade,False,pool_to_parent_family,0.35,True
paper1_economic_champion,C,114,325600.0,0.1714367127407882,0.55,original_grade,True,standalone_cell,0.35,True
paper1_economic_champion,D,147,457186.0934354644,0.32568120323584987,0.55,original_grade,True,standalone_cell,0.35,True
paper1_economic_champion,E,34,99175.0,0.4061312883492023,0.55,original_grade,True,standalone_cell,0.35,True
paper1_economic_champion,F,13,18000.0,0.6486084292910163,0.55,original_grade,False,pool_to_parent_family,0.35,True
paper1_economic_champion,G,4,4000.0,0.7288304444685298,0.55,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,A,8,23850.0,0.052158675928951445,0.6202875854214123,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,B,67,218808.60614036562,0.10353410379433199,0.7554569433728734,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,C,139,394925.0,0.1769171303204378,0.7841782889698413,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,D,101,288666.39385963435,0.28306825357976123,0.9302346409105274,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,E,21,54750.0,0.26871796701224626,0.8149655402169612,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,F,11,16000.0,0.6330274204350809,0.8185153237667447,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,G,3,3000.0,0.7256416313897859,0.7930607783121993,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,A,8,23850.0,0.052158675928951445,0.6202875854214123,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,B,67,218808.60614036562,0.10353410379433199,0.7554569433728734,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,C,139,394925.0,0.1769171303204378,0.7841782889698413,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,D,101,288666.39385963435,0.28306825357976123,0.9302346409105274,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,E,21,54750.0,0.26871796701224626,0.8149655402169612,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,F,11,16000.0,0.6330274204350809,0.8185153237667447,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,G,3,3000.0,0.7256416313897859,0.7930607783121993,original_grade,False,pool_to_parent_family,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,A,43,226938.04413068242,0.04048305490707439,0.6026044279031039,original_grade,True,standalone_cell,0.35,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,B,60,199450.0,0.09905663585083704,0.7453729131660612,original_grade,True,standalone_cell,0.35,True
