policy_id,loan_id,issue_d,issue_month,period,original_grade,sub_grade,term,loan_amnt,int_rate,int_rate_decimal,y_true,allocation_fraction,funded_exposure,portfolio_weight,pd_point,pd_high_alpha01,effective_pd_alpha01,miscovered_alpha01,funded_flag,reconstruction_method,is_champion_exact,also_in_champion_funded_set,realized_return_proxy_lgd45,ecl_baseline_lgd45,champion_selected_v47,candidate_selected_v47,selection_relation_v47,conformal_width_v47,tail_loss_proxy_v47,economic_case_label_v47
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,144136832,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.001034928848641656,0.07884275618374559,0.1763215520383397,0.12758215411104265,False,True,policy_implied_greedy_proxy,False,False,150.2,79.34469841725287,False,True,candidate_only,0.09747879585459412,176.82349427184698,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,132554731,2018-05-01,2018-05-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.001034928848641656,0.08220889555222388,0.1826212820799739,0.1324150888160989,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,130264577,2018-03-01,2018-03-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.001034928848641656,0.08220889555222388,0.1826212820799739,0.1324150888160989,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,137390337,2018-07-01,2018-07-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.001034928848641656,0.08291049320073066,0.1839309243202601,0.1334207087604954,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,143384974,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.001034928848641656,0.08291049320073066,0.1839309243202601,0.1334207087604954,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,144136832,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010248001639680262,0.07884275618374559,0.1763215520383397,0.12758215411104265,False,True,policy_implied_greedy_proxy,False,False,150.2,79.34469841725287,False,True,candidate_only,0.09747879585459412,176.82349427184698,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,132554731,2018-05-01,2018-05-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010248001639680262,0.08220889555222388,0.1826212820799739,0.1324150888160989,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,130264577,2018-03-01,2018-03-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010248001639680262,0.08220889555222388,0.1826212820799739,0.1324150888160989,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,137390337,2018-07-01,2018-07-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010248001639680262,0.08291049320073066,0.1839309243202601,0.1334207087604954,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,143384974,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010248001639680262,0.08291049320073066,0.1839309243202601,0.1334207087604954,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,144136832,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010588453291685417,0.07884275618374559,0.1763215520383397,0.13245609390377236,False,True,policy_implied_greedy_proxy,False,False,150.2,79.34469841725287,False,True,candidate_only,0.09747879585459412,176.82349427184698,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,132554731,2018-05-01,2018-05-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010588453291685417,0.08220889555222388,0.1826212820799739,0.1374357081424864,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,130264577,2018-03-01,2018-03-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010588453291685417,0.08220889555222388,0.1826212820799739,0.1374357081424864,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,143384974,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010588453291685417,0.08291049320073066,0.1839309243202601,0.13847173031647186,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,137390337,2018-07-01,2018-07-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010588453291685417,0.08291049320073066,0.1839309243202601,0.13847173031647186,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,144136832,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010270894851713956,0.07884275618374559,0.1763215520383397,0.13245609390377236,False,True,policy_implied_greedy_proxy,False,False,150.2,79.34469841725287,False,True,candidate_only,0.09747879585459412,176.82349427184698,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,130264577,2018-03-01,2018-03-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010270894851713956,0.08220889555222388,0.1826212820799739,0.1374357081424864,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,132554731,2018-05-01,2018-05-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010270894851713956,0.08220889555222388,0.1826212820799739,0.1374357081424864,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,137390337,2018-07-01,2018-07-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010270894851713956,0.08291049320073066,0.1839309243202601,0.13847173031647186,False,True,policy_implied_greedy_proxy,False,False,150.2,82.76891594411704,False,True,candidate_only,0.10102043111952944,183.78934706364646,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,133103525,2018-05-01,2018-05-01,2018H1,C,C4,36,1000.0,15.49,0.1549,0.0,1.0,1000.0,0.0010270894851713956,0.0855479247536578,0.1888440017299619,0.14236076709062506,False,True,policy_implied_greedy_proxy,False,False,154.9,84.97980077848285,False,True,candidate_only,0.10329607697630411,188.27587775478696,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,144136832,2018-11-01,2018-11-01,2018H2,C,C3,36,1000.0,15.02,0.1502,0.0,1.0,1000.0,0.0010149965743865615,0.07884275618374559,0.1763215520383397,0.13245609390377236,False,True,policy_implied_greedy_proxy,False,False,150.2,79.34469841725287,False,True,candidate_only,0.09747879585459412,176.82349427184698,candidate_adds_lower_tail_proxy_loan
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,130264577,2018-03-01,2018-03-01,2018H1,C,C4,36,1000.0,15.04,0.15039999999999998,0.0,1.0,1000.0,0.0010149965743865615,0.08220889555222388,0.1826212820799739,0.1374357081424864,False,True,policy_implied_greedy_proxy,False,False,150.39999999999998,82.17957693598827,False,True,candidate_only,0.10041238652775003,182.5919634637383,candidate_adds_lower_tail_proxy_loan
