comparison_policy_id,selection_bucket,loans,exposure,avg_pd,avg_width,avg_lgd,default_rate,avg_return_proxy,top_grade,interpretation
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,selected_by_champion_only,90,292075.0,0.3842204637307648,0.5499999999999998,0.4500000000000002,0.07777777777777778,84.19053533872389,D,loan-level economic decomposition under static selected books
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,selected_by_challenger_only,105,292075.0,0.1403250536064353,0.7493625731122294,0.038416958507936506,0.047619047619047616,276.2331010075671,B,loan-level economic decomposition under static selected books
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,selected_by_both,245,1415850.0,0.24728409096034817,0.7001968445964649,0.24408470108087685,0.04897959183673469,351.51546310817565,D,loan-level economic decomposition under static selected books
v13_spo_regret_audit_guarded,selected_by_champion_only,240,744586.0934354644,0.3353903688821413,0.5499999999999999,0.4500000000000001,0.06666666666666667,215.62929746045413,D,loan-level economic decomposition under static selected books
v13_spo_regret_audit_guarded,selected_by_challenger_only,301,723775.0,0.17485692156324323,0.799325811618923,0.4500000000000002,0.053156146179401995,228.29923943910018,B,loan-level economic decomposition under static selected books
v13_spo_regret_audit_guarded,selected_by_both,95,512263.9065645356,0.1544290051509496,0.6714763984855838,0.4500000000000001,0.031578947368421054,278.3146657491757,C,loan-level economic decomposition under static selected books
v13_fvi_return_recovery,selected_by_champion_only,277,910900.0,0.30623829422438126,0.5499999999999998,0.4500000000000001,0.061371841155234655,226.5173113750606,D,loan-level economic decomposition under static selected books
v13_fvi_return_recovery,selected_by_challenger_only,618,909275.0,0.09609488511950998,0.8430891078460921,0.45,0.02750809061488673,101.5849082777799,A,loan-level economic decomposition under static selected books
v13_fvi_return_recovery,selected_by_both,58,178200.0,0.17821442277414717,0.7011855615698926,0.45000000000000023,0.034482758620689655,211.88005804169802,D,loan-level economic decomposition under static selected books
v13_mdcp_empirical_return_recovery,selected_by_champion_only,179,598738.9065645356,0.2764044323299008,0.5499999999999998,0.4500000000000001,0.0670391061452514,222.31251605610828,D,loan-level economic decomposition under static selected books
v13_mdcp_empirical_return_recovery,selected_by_challenger_only,137,599782.6174367734,0.14731261650872524,0.6887122761877515,0.02746651441084463,0.0364963503649635,342.12946387246984,A,loan-level economic decomposition under static selected books
v13_mdcp_empirical_return_recovery,selected_by_both,156,801478.475998691,0.29287211944873004,0.6959079614346708,0.24195164186847107,0.04487179487179487,327.1871945327717,D,loan-level economic decomposition under static selected books
