policy_id,worst_source_coverage,mean_source_coverage,n_sources,source_id,online_method_rank_reference,mdcp_search_pass_80
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8461538461538461,0.9262628130226813,5,grade,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.8974358974358975,0.9414126624860151,5,grade,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8461538461538461,0.9337602811396634,5,grade,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.8461538461538461,0.9337776325723292,5,grade,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.8461538461538461,0.9386199345154569,5,grade,rolling_score_decile,True
paper1_economic_champion,0.8461538461538461,0.9364019439207409,5,grade,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8936170212765957,0.9459975065668302,5,period,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.8958333333333334,0.9480570768344441,5,period,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8913043478260869,0.9490273579787646,5,period,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.8913043478260869,0.9491516797729987,5,period,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.8913043478260869,0.9490676370551532,5,period,rolling_score_decile,True
paper1_economic_champion,0.8863636363636364,0.9458911483253589,5,period,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8235294117647058,0.9627586493003806,17,grade_period,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.8235294117647058,0.9626261638737775,17,grade_period,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8571428571428571,0.9669362365229506,17,grade_period,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.8571428571428571,0.9670686390943776,17,grade_period,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.8571428571428571,0.9707152946511783,16,grade_period,rolling_score_decile,True
paper1_economic_champion,0.8571428571428571,0.9689686352417805,16,grade_period,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9410029498525073,0.9410029498525073,1,term,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.943952802359882,0.943952802359882,1,term,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9469026548672567,0.9469026548672567,1,term,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.9467455621301775,0.9467455621301775,1,term,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.9473684210526315,0.9473684210526315,1,term,rolling_score_decile,True
paper1_economic_champion,0.9425981873111783,0.9425981873111783,1,term,rolling_score_decile,True
