policy_id,criterion,observed,threshold,margin,pass,fragility_score,status
paper1_economic_champion,return_beats_theorem_tight,170464.5429284627,166269.82231927008,4194.72060919262,True,4194.72060919262,diagnostic_threshold_screen
paper1_economic_champion,V_below_sqrt_alpha01,0.03645,0.1,0.06355,True,0.06355,diagnostic_threshold_screen
paper1_economic_champion,gamma_cp_below_020,0.18591,0.2,0.01409000000000002,True,0.01409000000000002,diagnostic_threshold_screen
paper1_economic_champion,zero_violation,0.0,0.0,-0.0,True,-0.0,diagnostic_threshold_screen
paper1_economic_champion,robust_region_pass,1.0,1.0,0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,return_beats_theorem_tight,169389.5810115051,166269.82231927008,3119.7586922350165,True,3119.7586922350165,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,V_below_sqrt_alpha01,0.03545,0.1,0.06455,True,0.06455,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,gamma_cp_below_020,0.177578,0.2,0.022421999999999997,True,0.022421999999999997,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,zero_violation,0.0,0.0,-0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,robust_region_pass,1.0,1.0,0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,return_beats_theorem_tight,169337.1631898248,166269.82231927008,3067.3408705547045,True,3067.3408705547045,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,V_below_sqrt_alpha01,0.03545,0.1,0.06455,True,0.06455,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,gamma_cp_below_020,0.179102,0.2,0.020898,True,0.020898,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,zero_violation,0.0,0.0,-0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,robust_region_pass,1.0,1.0,0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,return_beats_theorem_tight,169262.37545367464,166269.82231927008,2992.5531344045594,True,2992.5531344045594,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,V_below_sqrt_alpha01,0.04425,0.1,0.05575000000000001,True,0.05575000000000001,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,gamma_cp_below_020,0.180169,0.2,0.019831000000000015,True,0.019831000000000015,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,zero_violation,0.0,0.0,-0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,robust_region_pass,1.0,1.0,0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,return_beats_theorem_tight,168801.31532762162,166269.82231927008,2531.4930083515355,True,2531.4930083515355,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,V_below_sqrt_alpha01,0.038067,0.1,0.06193300000000001,True,0.06193300000000001,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,gamma_cp_below_020,0.172713,0.2,0.027287000000000006,True,0.027287000000000006,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,zero_violation,0.0,0.0,-0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,robust_region_pass,1.0,1.0,0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,return_beats_theorem_tight,168669.5041537059,166269.82231927008,2399.681834435818,True,2399.681834435818,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,V_below_sqrt_alpha01,0.042149,0.1,0.05785100000000001,True,0.05785100000000001,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,gamma_cp_below_020,0.173656,0.2,0.026344000000000006,True,0.026344000000000006,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,zero_violation,0.0,0.0,-0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,robust_region_pass,1.0,1.0,0.0,True,-0.0,diagnostic_threshold_screen
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,return_beats_theorem_tight,168365.23091736945,166269.82231927008,2095.4085980993696,True,2095.4085980993696,diagnostic_threshold_screen
