policy_id,regime_v73,constraint_index_v73,lhs_v73,rhs_v73,slack_v73,marginal_v73,binding_v73,claim_boundary_v73,constraint_type_v73,source_family,source_id,cap_share_v73,cap_mode_v73,path_id,post_iteration_reprice_v73
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,27,-106442.40000000001,0.0,106442.40000000001,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,CA,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,28,-193174.95,0.0,193174.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,CO,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,29,-152799.95,0.0,152799.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,FL,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,30,-208924.95,0.0,208924.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,GA,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,31,-136524.95,0.0,136524.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,IL,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,32,-206924.95,0.0,206924.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,IN,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,33,-184524.95,0.0,184524.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,MA,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,34,-191749.95,0.0,191749.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,MD,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,35,-203024.95,0.0,203024.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,MI,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,36,-195824.95,0.0,195824.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,MN,0.26,target_source_cap_probe_lp,,1
