scenario_id,macro_mean,macro_sd,lgd_cycle_weight,default_cycle_weight
baseline_calibrated,0.0,0.28,0.22,0.32
adverse_calibrated,0.45,0.35,0.32,0.48
severe_calibrated,0.85,0.42,0.42,0.62
