policy_id,macro_regime_v15,n_paths,final_wealth_mean,final_wealth_p05,cumulative_losses_mean,cumulative_losses_p95,defaults_mean,claim_scope
paper1_economic_champion,baseline_internal,128,1199347.5086670693,1153730.1342138806,69558.16736305902,101864.65138533746,95.7578125,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,macro_stress_internal,128,1144054.5811171667,1093011.9042521007,115985.86820665398,157580.3939105547,132.8359375,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,mild_stress_internal,128,1177390.156681551,1134393.2417322656,86779.10104414486,119878.23981439025,110.171875,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,vintage_stress_internal,128,1165999.7439416342,1115623.619713915,96835.08018997745,132878.6853923454,117.46875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline_internal,128,1189872.2288253906,1152724.3800105513,49110.59938728161,77251.64274897541,76.234375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,macro_stress_internal,128,1150925.5869213399,1100616.9963504705,83325.6390771803,121966.20694835362,107.7265625,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,mild_stress_internal,128,1173891.2435736961,1134673.748042158,61919.430042222426,91657.15296624489,88.359375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,vintage_stress_internal,128,1169337.5534646756,1132522.1573977785,67145.72653513541,95391.56735333419,93.7734375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline_internal,128,1189872.2288253906,1152724.3800105513,49110.59938728161,77251.64274897541,76.234375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,macro_stress_internal,128,1150925.5869213399,1100616.9963504705,83325.6390771803,121966.20694835362,107.7265625,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,mild_stress_internal,128,1173891.2435736961,1134673.748042158,61919.430042222426,91657.15296624489,88.359375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,vintage_stress_internal,128,1169337.5534646756,1132522.1573977785,67145.72653513541,95391.56735333419,93.7734375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline_internal,128,1167789.1622468121,1132097.5853468515,48932.54570625032,71330.48484677004,78.9921875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,macro_stress_internal,128,1131909.0604856303,1089095.3223016511,80213.60114998397,109948.7027321067,108.796875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,mild_stress_internal,128,1151554.4013647966,1119548.964387275,61603.85881157698,85780.03845628088,91.671875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,vintage_stress_internal,128,1146495.8803499255,1112794.9313870878,67183.69914395877,91807.58499545802,97.34375,path_family_sensitivity_internal_not_forecast
v13_fvi_bellman_rollout,baseline_internal,128,1100693.062332064,1091034.7312025432,22492.541034185997,31727.182012931673,70.0859375,path_family_sensitivity_internal_not_forecast
v13_fvi_bellman_rollout,macro_stress_internal,128,1082367.0182603404,1060119.7511087207,40494.15540656518,61132.85728567185,102.3671875,path_family_sensitivity_internal_not_forecast
v13_fvi_bellman_rollout,mild_stress_internal,128,1094756.5432524865,1082882.6699017219,28458.665321328423,39688.57538974482,81.90625,path_family_sensitivity_internal_not_forecast
v13_fvi_bellman_rollout,vintage_stress_internal,128,1090920.8667037517,1077440.3859181204,32537.053068884135,45156.56124068976,88.3359375,path_family_sensitivity_internal_not_forecast
v13_fvi_capital_guarded,baseline_internal,128,1099141.4166889656,1089808.967454539,22460.02988890931,31797.237196964972,70.59375,path_family_sensitivity_internal_not_forecast
v13_fvi_capital_guarded,macro_stress_internal,128,1080573.526447022,1058710.3585755923,40755.078375663936,60881.04747736614,103.4296875,path_family_sensitivity_internal_not_forecast
v13_fvi_capital_guarded,mild_stress_internal,128,1093376.7645421342,1081298.6682855308,28315.65390147266,39450.02255743607,82.4140625,path_family_sensitivity_internal_not_forecast
v13_fvi_capital_guarded,vintage_stress_internal,128,1089271.479561985,1076930.213407274,32634.60324649482,44339.838278348594,89.140625,path_family_sensitivity_internal_not_forecast
