policy_id,n_paths,final_wealth_mean,final_wealth_p05,final_wealth_p95,final_cash_mean,outstanding_principal_mean,cumulative_funded_exposure_mean,cumulative_losses_mean,cumulative_losses_p95,cumulative_defaults_mean,cumulative_recoveries_mean,cumulative_realized_return_mean,ECL_final_mean,stage2_share_proxy_final_mean,source_exposure_weak_share_final_mean,no_temporal_leakage_rate,dynamic_value_score_v15,dynamic_governance_gate_pass_v15,paper4_champion_score_v15,online_gate_pass_v15,paper4_working_only,registry_decision_v15,version_v20
paper1_economic_champion,64,1168155.984240238,1100250.473538011,1225665.7328080938,1159720.9403965387,9647.330729166673,1000000.0,94816.29645871843,140519.44798438528,114.125,88311.56442588667,264184.5675844187,1212.2868854671638,0.49237738430444933,0.33,1.0,0.4861111111111111,True,0.4861111111111111,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,64,1167535.0777344923,1102925.2225983075,1205939.7324085573,1159889.0882617452,8440.104166666675,1000000.0,68175.37914686197,122197.58234791333,92.515625,60091.2896004685,236504.57157527105,794.1146939194612,0.4193485991706666,0.5970246497926666,1.0,0.4791666666666667,True,0.4791666666666667,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,64,1167535.0777344923,1102925.2225983075,1205939.7324085573,1159889.0882617452,8440.104166666675,1000000.0,68175.37914686197,122197.58234791333,92.515625,60091.2896004685,236504.57157527105,794.1146939194612,0.4193485991706666,0.5970246497926666,1.0,0.4791666666666667,True,0.4791666666666667,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,64,1146957.1661994387,1105806.703858995,1180525.855947045,1139311.1767266914,8440.104166666675,1000000.0,66421.00939049265,100028.64956400628,94.84375,58769.668132772946,214172.29028384632,794.1146939194612,0.4193485991706666,0.5970246497926666,1.0,0.45555555555555555,True,0.45555555555555555,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_fvi_bellman_rollout,64,1091587.232295811,1073986.7293969982,1105300.368783341,1091587.232295811,0.0,998650.0,31741.10791578069,48418.22387962803,87.734375,29496.94546963594,123328.34021158738,0.0,0.0,0.0,1.0,0.5416666666666666,True,0.5416666666666666,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_fvi_capital_guarded,64,1089795.5556003798,1072407.6030946304,1103778.896280733,1089795.5556003798,0.0,999425.0,31944.763100253174,48197.4943139418,88.5625,29705.64922613568,121740.31870062806,0.0,0.0,0.0,1.0,0.5777777777777777,True,0.5777777777777777,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_fvi_return_recovery,64,1098047.474442357,1079797.858318161,1112932.0486126733,1098047.474442357,0.0,998375.0,32915.070254005455,50553.787667297336,87.71875,30642.557784188957,130962.54469636013,0.0,0.0,0.0,1.0,0.5166666666666667,True,0.5166666666666667,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_mdcp_empirical_base,64,1100650.450508425,1072673.181472443,1128750.5762256242,1100650.450508425,0.0,1000000.0,56192.49302283684,79233.41395582666,77.828125,49912.58401015813,156842.94353125835,0.0,0.0,0.0,1.0,0.5222222222222221,True,0.5222222222222221,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_mdcp_empirical_return_recovery,64,1125900.7872842278,1091114.7329652554,1155720.60055218,1122358.1748793258,4010.416666666672,1000000.0000000001,60422.87678678906,90691.55736509737,78.90625,54879.059035549864,186791.4683327747,467.80426176442046,0.6875,0.5156249999999999,1.0,0.46944444444444444,True,0.46944444444444444,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
v13_mdcp_empirical_tight,64,1064704.5922953212,1042156.3772725444,1090266.450981086,1064704.5922953212,0.0,850000.0,46690.11264955452,65354.18002072233,69.734375,39942.756050878714,111394.70494487787,0.0,0.0,0.0,1.0,0.6361111111111111,False,-1.0,True,True,paper4_dynamic_challenger,dla_cvar_spo_dynamic_comparison
