rule_code_v431,diagnostic_count_v431,fixable_count_v431,file_count_v431,top_surface_v431,repair_priority_v431,claim_boundary_v431
F841,7,7,6,scripts,1,post-v431 frontier only
B023,7,0,4,scripts,2,post-v431 frontier only
I001,5,5,5,scripts,3,post-v431 frontier only
F401,4,4,4,scripts,4,post-v431 frontier only
UP022,3,3,3,scripts,5,post-v431 frontier only
SIM108,2,2,2,scripts,6,post-v431 frontier only
C405,1,1,1,scripts,7,post-v431 frontier only
SIM223,1,1,1,scripts,8,post-v431 frontier only
