policy_id,n_paths,mean_loss,p05_loss,p50_loss,p95_loss,mean_default_count,funded_exposure,mean_default_multiplier
v11_cvar_topk18000_floor80000_cap95000,180,2462.0629466240994,0.0,0.0,14284.68075011031,1.9166666666666667,952149.7391692644,0.4510346003786592
v11_cvar_topk18000_floor80000_cap135000,180,10357.718491388223,0.0,4056.0382395997153,42483.878798587386,8.561111111111112,850000.0,0.4547519072273077
v11_cvar_topk18000_floor80000_cap115000,180,7470.826473969531,0.0,1525.927853983485,43274.529858604845,6.2444444444444445,850000.0,0.45352341814236075
v11_cvar_topk18000_floor105000_cap165000,180,11023.377726801145,0.0,3256.9265625801736,43561.46961642978,8.261111111111111,993884.3990948987,0.4541160886546397
v11_cvar_topk18000_floor105000_cap159750,180,9713.581906747406,0.0,1684.7391951803966,44637.49325621417,7.305555555555555,1000000.0,0.4533101221623637
v11_spo_ridge_balanced,180,9966.418435025851,0.0,906.3926755820864,59928.43340191059,7.2,982600.0,0.4501328895368512
v11_cvar_topk18000_floor105000_cap178124,180,15912.908224486733,0.0,7709.558241153785,61600.540542788636,13.116666666666667,943414.1467926592,0.4545129271521674
v11_cvar_topk18000_floor80000_cap159750,180,15724.15602465778,0.0,7508.1036390561085,63504.390181302515,12.9,850000.0,0.4550438597583047
v11_spo_ridge_audit_guarded,180,11879.799363574808,0.0,1520.882074010537,69685.83308501514,7.294444444444444,981450.0,0.45003290879450153
v11_spo_ridge_return_recovery,180,16227.738608713295,0.0,5466.969516020326,70257.83897399787,11.483333333333333,989400.0,0.4507943405566256
v11_cvar_topk18000_floor80000_cap178124,180,20461.570332734394,1027.8936080047001,9772.608011772634,70293.20168201358,15.622222222222222,850000.0,0.4549659623102999
v10_mdcp_empirical_relaxed,180,21980.191003962296,906.1208032870103,11086.660006157694,71558.51333428286,18.06111111111111,1000000.0,0.45552073351301786
v11_cvar_topk18000_floor80000_cap165000,180,20531.99894660565,0.0,9827.335884824926,72286.61725489338,15.266666666666667,850000.0,0.4550637174738885
v11_cvar_topk18000_floor80000_cap210000,180,23010.95688294864,521.1746958277406,12059.770593483638,83356.76715534189,14.266666666666667,903504.4483622079,0.4547108464030671
v11_spo_ridge_ecl_guarded,180,17573.561139405723,0.0,1774.3483172983638,89427.9751412911,12.15,980550.0,0.4501640256693932
v10_mdcp_empirical_strict,180,32610.851507519797,1118.2317558573404,24953.270552628048,95490.93488901258,20.322222222222223,850000.0,0.4580138118843671
v10_mdcp_empirical_committee,180,28791.264223305996,888.7500000000002,18309.172503308087,97827.6666403723,19.883333333333333,850000.0,0.4569060098188673
v11_cvar_topk18000_floor105000_cap210000,180,27050.416696501463,673.88775775338,15172.364501023014,108747.33317867231,16.82777777777778,903504.4483622079,0.4547108464030671
