variant,source_family,source_value,n,defended_cell,coverage,avg_width
mondrian_grade_temporal_replay,score_decile,3,8659,True,0.889248181083266,0.7382619712948705
mondrian_grade_temporal_replay,score_decile,4,8507,True,0.8958504760785235,0.8720990451936412
mondrian_grade_temporal_replay,score_decile,5,8125,True,0.8712615384615384,0.9368271951626018
mondrian_grade_temporal_replay,score_decile,6,9012,True,0.8789391921881935,0.972622503580189
mondrian_grade_temporal_replay,score_decile,7,8408,True,0.9316127497621313,0.9915221845923805
mondrian_grade_temporal_replay,score_decile,8,7641,True,0.9971207957073681,0.9983490647359914
mondrian_grade_temporal_replay,score_decile,9,6761,True,0.9982251146280136,0.9996987759206856
mondrian_grade_temporal_replay,income_band,inc_q1,13754,True,0.9155881925258107,0.8236082159809254
mondrian_grade_temporal_replay,income_band,inc_q2,14302,True,0.9303593902950636,0.7969607840376207
mondrian_grade_temporal_replay,income_band,inc_q3,16556,True,0.9278207296448417,0.7859503375358501
mondrian_grade_temporal_replay,income_band,inc_q4,16457,True,0.9298170991067631,0.7657642183825732
mondrian_grade_temporal_replay,income_band,inc_q5,18622,True,0.91837611427344,0.731543629870985
mondrian_grade_temporal_replay,dti_band,dti_q1,15054,True,0.9096585625083035,0.6998414159981421
mondrian_grade_temporal_replay,dti_band,dti_q2,15799,True,0.9273371732388126,0.7373719002387826
mondrian_grade_temporal_replay,dti_band,dti_q3,16014,True,0.9307480954165106,0.7766893743556506
mondrian_grade_temporal_replay,dti_band,dti_q4,16180,True,0.9302224969097651,0.8106750247788164
mondrian_grade_temporal_replay,dti_band,dti_q5,16436,True,0.9233390119250426,0.8547719995326352
mondrian_grade_temporal_replay,dti_band,nan,208,True,0.8990384615384616,0.8385196492843169
mondrian_grade_temporal_replay,state_top20,AZ,2260,True,0.9376106194690266,0.7809920085784302
mondrian_grade_temporal_replay,state_top20,CA,11409,True,0.9218161100885266,0.7765549602541842
mondrian_grade_temporal_replay,state_top20,CO,1754,True,0.9555302166476625,0.7186381179846173
mondrian_grade_temporal_replay,state_top20,FL,6078,True,0.916255347153669,0.7892812454743418
mondrian_grade_temporal_replay,state_top20,GA,2636,True,0.9218512898330804,0.7915258240433217
mondrian_grade_temporal_replay,state_top20,IL,2675,True,0.9117757009345795,0.7750383157954394
mondrian_grade_temporal_replay,state_top20,IN,1328,True,0.920933734939759,0.7705756603788431
mondrian_grade_temporal_replay,state_top20,MA,1856,True,0.9213362068965517,0.7596934752465323
mondrian_grade_temporal_replay,state_top20,MD,1817,True,0.9218492019812878,0.7975710915485448
