run,run_tag,mode,runtime_seconds,pyepo_version,gurobipy_version,standard_oracle_backend,cave_oracle_backend,smoke_gate_passed,nonnegative_regret_tolerance,min_regret,best_method,best_mean_regret,spo_plus_improvement_vs_two_stage_pct,artifact_dir
paper_estrella_paired,paper_estrella_pyepo137_wls_topk_paired_20260528,paired,143.92372059822083,1.3.7,13.0.2,exact_topk_numpy_lexicographic,gurobi_binary_optDatasetConstrs,True,True,0.04743790999054909,spo_plus,0.1843661805008014,48.51149804244712,reports/paper_material/paper_estrella/pyepo/paper_estrella_pyepo137_wls_topk_paired_20260528
paper4_full,paper4_pyepo137_wls_topk_full_20260528,paper4_full,4906.13067483902,1.3.7,13.0.2,exact_topk_numpy_lexicographic,gurobi_binary_optDatasetConstrs,True,True,0.009624835103750229,spo_plus,0.1223785577521161,57.6590045195108,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_temporal,paper4_pyepo137_wls_topk_temporal_20260528,temporal,2377.626832485199,1.3.7,13.0.2,exact_topk_numpy_lexicographic,gurobi_binary_optDatasetConstrs,True,True,0.0,spo_plus,0.0618354020273836,61.071811924299126,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
