training_id,epoch,split,months,mean_decision_regret,total_decision_regret,mean_true_value,mean_pred_value_under_true_score,claim_scope_v12,version_v13
v12_spo_style_temporal_regret_surrogate,1,train,19,494.44061769442425,8899.931118499637,-687.6834671840293,-1113.6746642670232,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,1,validation,6,21.001112734377493,105.00556367188747,-527.6894715831088,-268.03345896004396,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,1,test,8,55.815329742733574,167.44598922820072,-143.45293580855585,-188.77331304137,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,2,train,19,481.46465713407827,8666.363828413409,-687.6834671840293,-1118.222281244458,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,2,validation,6,13.750035821526662,68.75017910763331,-527.6894715831088,-300.1056249206558,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,2,test,8,0.0,0.0,-143.45293580855585,-122.32966087341576,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,3,train,19,506.56621644402315,9118.191895992417,-687.6834671840293,-1136.6436345252246,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,3,validation,6,13.750035821526662,68.75017910763331,-527.6894715831088,-307.47952259199803,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,3,test,8,0.0,0.0,-143.45293580855585,-126.81410070899938,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,4,train,19,472.07171479303753,8497.290866274676,-687.6834671840293,-1117.6247271631007,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,4,validation,6,13.750035821526662,68.75017910763331,-527.6894715831088,-315.51756887449767,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,4,test,8,0.0,0.0,-143.45293580855585,-128.63039913630553,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,5,train,19,491.56404500850175,8848.152810153031,-687.6834671840293,-1120.565847234118,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,5,validation,6,13.750035821526662,68.75017910763331,-527.6894715831088,-320.8164815177045,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,5,test,8,0.0,0.0,-143.45293580855585,-126.81410070899938,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,6,train,19,482.196420944047,8679.535576992846,-687.6834671840293,-1128.306411782323,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,6,validation,6,29.250810536786425,146.25405268393212,-527.6894715831088,-334.98126214530464,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,6,test,8,0.0,0.0,-143.45293580855585,-139.12535164622497,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,7,train,19,508.8749778578442,9159.749601441195,-687.6834671840293,-1147.9096399783546,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,7,validation,6,13.750035821526662,68.75017910763331,-527.6894715831088,-342.21457256022546,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,7,test,8,0.0,0.0,-143.45293580855585,-139.12535164622497,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
v12_spo_style_temporal_regret_surrogate,8,train,19,532.1473823273975,9578.652881893155,-687.6834671840293,-1162.3393010669358,structured_temporal_regret_training_not_differentiable_spo_plus_theorem,v13_longer_temporal_regret_training
