policy_id,macro_regime_v15,n_paths,final_wealth_mean,final_wealth_p05,cumulative_losses_mean,cumulative_losses_p95,defaults_mean,claim_scope
paper1_economic_champion,baseline_internal,64,1199247.2353347987,1159662.107855563,69887.5470000678,103209.76527722456,97.703125,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,macro_stress_internal,64,1138532.4919927875,1087253.9444854527,119859.41610602237,159473.39328405925,134.234375,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,mild_stress_internal,64,1175014.2900191497,1134038.165964131,88235.32901602675,117699.68221356344,111.046875,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,vintage_stress_internal,64,1166482.6740755655,1115917.4534020259,96190.09710689167,133154.8702914621,115.65625,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline_internal,64,1188711.237886344,1154154.8535922607,50068.235799345704,75930.80602462529,78.234375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,macro_stress_internal,64,1146299.0599509375,1099177.402627827,86838.53405538165,125934.65305472883,109.359375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,mild_stress_internal,64,1172104.5994852076,1134588.061125021,62926.86842421082,91674.13412685695,89.453125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,vintage_stress_internal,64,1170453.8236637947,1134799.663108681,65776.13404625408,93696.57306149822,91.6875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline_internal,64,1188711.237886344,1154154.8535922607,50068.235799345704,75930.80602462529,78.234375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,macro_stress_internal,64,1146299.0599509375,1099177.402627827,86838.53405538165,125934.65305472883,109.359375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,mild_stress_internal,64,1172104.5994852076,1134588.061125021,62926.86842421082,91674.13412685695,89.453125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,vintage_stress_internal,64,1170453.8236637947,1134799.663108681,65776.13404625408,93696.57306149822,91.6875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline_internal,64,1165250.0410149833,1131640.2116588245,50771.905260773885,75125.7185250634,81.53125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,macro_stress_internal,64,1127260.9302465091,1088890.1289912586,83717.19685129005,111562.38080708882,110.21875,path_family_sensitivity_internal_not_forecast
