policy_id,scenario,n_funded,funded_exposure,cashflow_ecl_v3,realized_return_proxy_lgd45,stage1_share,stage2_share,stage3_share,expected_default_prob_mean,expected_prepay_prob_mean,expected_life_months,net_return_after_cashflow_ecl_v3
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,340,1000000.0,186034.43432392462,161501.33216824324,0.0,0.9441176470588235,0.05588235294117647,0.595632450001185,0.1095472808259875,13.831910510719396,-24533.10215568138
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,340,1000000.0,126522.58883635416,161501.33216824324,0.0,0.9441176470588235,0.05588235294117647,0.5004976238764757,0.18303706285815394,14.057013135770777,34978.74333188908
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,340,1000000.0,278655.4008161269,161501.33216824324,0.0,0.9441176470588235,0.05588235294117647,0.7040421937769327,0.057667880006030924,12.623696800908059,-117154.06864788366
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,adverse,339,1000000.0,186402.81907625767,160927.05411445044,0.0,0.9410029498525073,0.058997050147492625,0.5954485652847895,0.1096023343300245,13.834036372024164,-25475.764961807232
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,baseline,339,1000000.0,126835.22515137005,160927.05411445044,0.0,0.9410029498525073,0.058997050147492625,0.5001399813613557,0.18302554846867916,14.045957617625948,34091.82896308039
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,severe,339,1000000.0,279026.4948632292,160927.05411445044,0.0,0.9410029498525073,0.058997050147492625,0.704570061105241,0.057753092228824056,12.654152466383703,-118099.44074877878
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,342,1000000.0,186203.56116792766,161139.9777815046,0.0,0.9415204678362573,0.05847953216374269,0.5963581947650846,0.10956447089981401,13.838434165284344,-25063.583386423066
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,342,1000000.0,126657.64156263245,161139.9777815046,0.0,0.9415204678362573,0.05847953216374269,0.5005702836124905,0.18302507068662432,14.050314674443294,34482.33621887215
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,342,1000000.0,278729.62918388227,161139.9777815046,0.0,0.9415204678362573,0.05847953216374269,0.7063116380193677,0.05772472151429136,12.672563806908778,-117589.65140237767
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,341,1000000.0,178978.6659780846,158133.33171330846,0.0,0.9442815249266863,0.05571847507331378,0.5820992040820531,0.11197934065901954,14.028208995256215,-20845.334264776146
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,341,1000000.0,121580.98593878525,158133.33171330846,0.0,0.9442815249266863,0.05571847507331378,0.48689149341541965,0.18631094269149076,14.201798046158574,36552.345774523215
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,341,1000000.0,267882.91119542974,158133.33171330846,0.0,0.9442815249266863,0.05571847507331378,0.6922574008808111,0.05940831503215376,12.920319501554216,-109749.57948212128
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,adverse,343,1000000.0,179026.408614392,157596.30251013962,0.0,0.9416909620991254,0.05830903790087463,0.5843124638072564,0.11176743900862703,14.02301956586972,-21430.106104252394
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,baseline,343,1000000.0,121648.80582844725,157596.30251013962,0.0,0.9416909620991254,0.05830903790087463,0.48844954855994954,0.18599244877739302,14.186292213673733,35947.49668169237
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,severe,343,1000000.0,267656.9704766,157596.30251013962,0.0,0.9416909620991254,0.05830903790087463,0.6954542728893993,0.05928560517791817,12.937172663639275,-110060.66796646037
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,adverse,343,1000000.0,179023.74474692118,157771.10324584515,0.0,0.9416909620991254,0.05830903790087463,0.5839716498514242,0.11202069858986985,14.058528261196319,-21252.641501076025
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,baseline,343,1000000.0,121612.11029351075,157771.10324584515,0.0,0.9416909620991254,0.05830903790087463,0.48748420064185344,0.1863759289953011,14.211257792909914,36158.9929523344
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,severe,343,1000000.0,267599.3676503795,157771.10324584515,0.0,0.9416909620991254,0.05830903790087463,0.6961477437463721,0.0594593739325195,12.996770764847541,-109828.26440453433
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,339,1000000.0,172864.48013480596,154950.1965783751,0.0,0.943952802359882,0.05604719764011799,0.5699160707726282,0.11432660643937044,14.233327192942673,-17914.283556430863
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,339,1000000.0,117321.65964443402,154950.1965783751,0.0,0.943952802359882,0.05604719764011799,0.4742261857404288,0.189485853601519,14.350540298065779,37628.53693394107
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,339,1000000.0,258789.01121419834,154950.1965783751,0.0,0.943952802359882,0.05604719764011799,0.6820327180424813,0.06107293989853058,13.223441962826344,-103838.81463582325
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,adverse,342,1000000.0,172714.8389277706,156688.45547937287,0.0,0.9444444444444444,0.05555555555555555,0.5699453875299215,0.11465187110773807,14.287378962086608,-16026.383448397712
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,baseline,342,1000000.0,117027.09767789401,156688.45547937287,0.0,0.9444444444444444,0.05555555555555555,0.47324458004405723,0.19000823561758062,14.390029698417491,39661.357801478865
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,severe,342,1000000.0,259002.22899840644,156688.45547937287,0.0,0.9444444444444444,0.05555555555555555,0.6834831333438581,0.06123108077533252,13.291261289425565,-102313.77351903357
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,adverse,344,1000000.0,172601.36453631186,157596.01363794136,0.0,0.9476744186046512,0.05232558139534884,0.5721412704673943,0.11450336224502063,14.29703002090127,-15005.350898370496
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,baseline,344,1000000.0,116850.82167546159,157596.01363794136,0.0,0.9476744186046512,0.05232558139534884,0.47470882644109275,0.18995991659677586,14.408494150322054,40745.191962479774
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,severe,344,1000000.0,259053.67731441202,157596.01363794136,0.0,0.9476744186046512,0.05232558139534884,0.6863511846835003,0.061046520609311816,13.285683010181634,-101457.66367647066
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,339,1000000.0,191637.72276019093,159234.2935114857,0.0,0.9410029498525073,0.058997050147492625,0.6034787531361778,0.10793005662482104,13.681757459452808,-32403.429248705215
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,339,1000000.0,130897.76475461989,159234.2935114857,0.0,0.9410029498525073,0.058997050147492625,0.5088803903362037,0.18071530637698735,13.937057765699343,28336.528756865824
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,339,1000000.0,285585.69859053555,159234.2935114857,0.0,0.9410029498525073,0.058997050147492625,0.7107555391943429,0.056637728723588056,12.442612279545418,-126351.40507904984
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,adverse,338,1000000.0,190413.34369327585,160661.3170293993,0.0,0.9408284023668639,0.05917159763313609,0.6056527723499814,0.10779408802830798,13.688224937995747,-29752.026663876546
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,baseline,338,1000000.0,129822.7634427217,160661.3170293993,0.0,0.9408284023668639,0.05917159763313609,0.510253392954602,0.1806006982372541,13.938116521146231,30838.553586677604
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,severe,338,1000000.0,284351.85050353175,160661.3170293993,0.0,0.9408284023668639,0.05917159763313609,0.7138482521063994,0.05648476109651566,12.448221513199169,-123690.53347413245
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,338,1000000.0,189883.25360192495,161122.88786385013,0.0,0.9437869822485208,0.05621301775147929,0.6016936173290623,0.10871490141391157,13.78237527926872,-28760.36573807482
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,338,1000000.0,129412.0241115248,161122.88786385013,0.0,0.9437869822485208,0.05621301775147929,0.5055868524373818,0.18196055042092804,14.019680368087428,31710.863752325327
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,338,1000000.0,283503.0695707938,161122.88786385013,0.0,0.9437869822485208,0.05621301775147929,0.7115932242622948,0.05709869223470672,12.583303184383503,-122380.1817069437
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,337,1000000.0,183589.00275949627,160371.7703367272,0.0,0.9436201780415431,0.05637982195845697,0.5887140168363495,0.11083694031976234,13.938429684639111,-23217.23242276907
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,337,1000000.0,124811.75343307576,160371.7703367272,0.0,0.9436201780415431,0.05637982195845697,0.4933560671905231,0.18476712888902347,14.133273456099161,35560.01690365144
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,337,1000000.0,274981.973809354,160371.7703367272,0.0,0.9436201780415431,0.05637982195845697,0.6985176923770198,0.05858889254992929,12.791060987499403,-114610.2034726268
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,adverse,338,1000000.0,183674.02300156775,159739.1079976787,0.0,0.9408284023668639,0.05917159763313609,0.5883512784910183,0.11092723766351492,13.945178823226971,-23934.915003889066
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,baseline,338,1000000.0,124921.33089158671,159739.1079976787,0.0,0.9408284023668639,0.05917159763313609,0.4928489771197358,0.1848125452968026,14.126772615371554,34817.77710609198
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,severe,338,1000000.0,274903.590984168,159739.1079976787,0.0,0.9408284023668639,0.05917159763313609,0.6986257342961425,0.05870213350023312,12.824335137336446,-115164.48298648931
