policy_id,original_grade,funded_n,funded_exposure,ecl_baseline_lgd45,observed_default_rate,total_funded_exposure,total_ecl,universe_n,universe_exposure,universe_exposure_share,funded_exposure_share,ecl_share,representation_gap_vs_universe,stress_flag,status
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,B,4,15000.0,1151.2173741285014,0.0,896375.0,93166.2904827567,75311,1144770475.0,0.2719499570191345,0.01673406777297448,0.012356587003338615,-0.25521588924616,True,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,C,147,420250.0,34521.40289782153,0.05442176870748299,896375.0,93166.2904827567,70568,1093202050.0,0.2596994393227426,0.468832798772835,0.3705353376091622,0.20913335945009243,True,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,D,120,344425.0,32823.06637216161,0.075,896375.0,93166.2904827567,45637,712287425.0,0.1692099323351434,0.384242086180449,0.35230624941793226,0.21503215384530563,True,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,E,54,101000.0,19748.826743714897,0.037037037037037035,896375.0,93166.2904827567,10828,166451725.0,0.0395420221328741,0.11267605633802817,0.2119739515374397,0.07313403420515407,False,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,F,12,12700.0,3904.2513479417407,0.08333333333333333,896375.0,93166.2904827567,1731,33011500.0,0.007842162426609716,0.014168177381118394,0.04190626596498809,0.006326014954508678,False,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,G,3,3000.0,1017.5257469884185,0.0,896375.0,93166.2904827567,406,7813600.0,0.0018561870965135689,0.003346813554594896,0.010921608467139122,0.0014906264580813273,False,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,B,4,15000.0,1151.2173741285014,0.0,894425.0,93537.88304754958,75311,1144770475.0,0.2719499570191345,0.01677055091259748,0.012307498701283255,-0.255179406106537,True,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,C,144,415100.0,34112.77770097267,0.05555555555555555,894425.0,93537.88304754958,70568,1093202050.0,0.2596994393227426,0.46409704558794757,0.36469478022751045,0.20439760626520498,True,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,D,125,352125.0,35133.68440204132,0.072,894425.0,93537.88304754958,45637,712287425.0,0.1692099323351434,0.3936886826732258,0.37560914634107406,0.22447875033808243,True,proxy_fairness_grade_distribution_stress
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,E,50,95300.0,17861.724869049092,0.04,894425.0,93537.88304754958,10828,166451725.0,0.0395420221328741,0.10654890013136932,0.19095712119087793,0.06700687799849522,False,proxy_fairness_grade_distribution_stress
