action_v293,loan_id_v293,loan_amount_v293,mean_return_v293,signed_return_contribution_v293,pool_role_v293,grade,score_decile,income_band,dti_band,period,state_top20,claim_boundary_v293
added,126788147,2000.0,-280.90595813968935,-280.90595813968935,micro_source_relief_outside_top15000,B,0,4,1,2018,NV,v293 return-gap contribution; not a promotion claim
added,134420497,1000.0,-145.73547946423722,-145.73547946423722,top15000_omitted_by_mean_return,C,0,4,2,2018,MD,v293 return-gap contribution; not a promotion claim
added,137151950,1250.0,-183.48123809685012,-183.48123809685012,micro_source_relief_outside_top15000,B,0,3,3,2018,other,v293 return-gap contribution; not a promotion claim
added,137182894,1800.0,44.22659987973943,44.22659987973943,top15000_omitted_by_mean_return,A,0,2,1,2018,TX,v293 return-gap contribution; not a promotion claim
added,137721854,1800.0,-258.7728660374641,-258.7728660374641,micro_source_relief_outside_top15000,B,0,2,1,2018,WA,v293 return-gap contribution; not a promotion claim
added,138138354,8000.0,196.18326943106774,196.18326943106774,top15000_omitted_by_mean_return,A,0,4,1,2018,MD,v293 return-gap contribution; not a promotion claim
added,139317603,2000.0,-300.47023857254743,-300.47023857254743,micro_source_relief_outside_top15000,B,0,0,0,2018,other,v293 return-gap contribution; not a promotion claim
added,140352540,1500.0,-225.35267892941064,-225.35267892941064,micro_source_relief_outside_top15000,B,0,0,1,2018,NY,v293 return-gap contribution; not a promotion claim
added,142448559,1200.0,-174.68738765590132,-174.68738765590132,micro_source_relief_outside_top15000,B,0,1,2,2018,IL,v293 return-gap contribution; not a promotion claim
added,143278940,1500.0,-223.96024592785653,-223.96024592785653,micro_source_relief_outside_top15000,B,0,4,0,2018,MD,v293 return-gap contribution; not a promotion claim
added,156433716,3000.0,71.71843238823955,71.71843238823955,top15000_omitted_by_mean_return,A,0,2,0,2019,IL,v293 return-gap contribution; not a promotion claim
added,158316010,1500.0,-220.5649967146192,-220.5649967146192,micro_source_relief_outside_top15000,B,0,3,1,2019,MD,v293 return-gap contribution; not a promotion claim
added,158523975,2500.0,59.61843314479034,59.61843314479034,top15000_omitted_by_mean_return,A,0,4,1,2019,TX,v293 return-gap contribution; not a promotion claim
added,159357211,1500.0,37.236996479670715,37.236996479670715,top15000_omitted_by_mean_return,A,0,1,0,2019,NV,v293 return-gap contribution; not a promotion claim
added,163435863,1000.0,22.968344573318117,22.968344573318117,top15000_omitted_by_mean_return,A,0,4,0,2019,NJ,v293 return-gap contribution; not a promotion claim
added,169720067,14975.0,161.50876012022306,161.50876012022306,top15000_omitted_by_mean_return,A,1,4,1,2020,GA,v293 return-gap contribution; not a promotion claim
added,170387634,3000.0,72.71865378192913,72.71865378192913,top15000_omitted_by_mean_return,A,0,1,0,2020,NY,v293 return-gap contribution; not a promotion claim
dropped,136288831,1000.0,-159.91299271774713,159.91299271774713,current_v289_selected,D,1,2,3,2018,other,v293 return-gap contribution; not a promotion claim
dropped,138239745,1000.0,-166.10731042945866,166.10731042945866,current_v289_selected,C,1,4,2,2018,MI,v293 return-gap contribution; not a promotion claim
dropped,138240169,35000.0,858.3018037609215,-858.3018037609215,current_v289_selected,A,0,4,0,2018,GA,v293 return-gap contribution; not a promotion claim
dropped,140620222,1000.0,-161.9757189883544,161.9757189883544,current_v289_selected,E,2,2,0,2018,FL,v293 return-gap contribution; not a promotion claim
dropped,141017853,1000.0,-160.86500878453754,160.86500878453754,current_v289_selected,E,2,4,0,2018,VA,v293 return-gap contribution; not a promotion claim
dropped,141665611,1600.0,-264.10266005877247,264.10266005877247,current_v289_selected,C,1,2,1,2018,other,v293 return-gap contribution; not a promotion claim
dropped,146058451,1000.0,-162.5963102886178,162.5963102886178,current_v289_selected,F,2,1,2,2019,NY,v293 return-gap contribution; not a promotion claim
dropped,146255415,1250.0,-204.78232472676117,204.78232472676117,current_v289_selected,E,2,4,0,2019,other,v293 return-gap contribution; not a promotion claim
dropped,154756272,1600.0,-260.2259489812721,260.2259489812721,current_v289_selected,C,1,2,1,2019,NC,v293 return-gap contribution; not a promotion claim
dropped,156192909,1200.0,-202.72802520962668,202.72802520962668,current_v289_selected,D,3,4,2,2019,other,v293 return-gap contribution; not a promotion claim
dropped,162083390,1000.0,-168.4682188833758,168.4682188833758,current_v289_selected,C,1,2,1,2019,other,v293 return-gap contribution; not a promotion claim
dropped,162605401,1000.0,-160.8152043628769,160.8152043628769,current_v289_selected,D,3,2,1,2019,MD,v293 return-gap contribution; not a promotion claim
dropped,165985906,1200.0,-203.72482836822385,203.72482836822385,current_v289_selected,C,1,3,4,2020,VA,v293 return-gap contribution; not a promotion claim
dropped,169095548,1200.0,-7.543263072143034,7.543263072143034,current_v289_selected,A,1,3,1,2020,other,v293 return-gap contribution; not a promotion claim
