index,period,method,method_display,mean_regret,std_regret,median_regret,n_observations
0,2018H1,cave,CaVE,0.06596588262704245,0.035060752279673146,0.0598863922059536,800
1,2018H1,crpto_robust,CRPTO robust,0.3488382523025575,0.10862893099396348,0.34365125047042966,800
2,2018H1,pairwise_ltr,Pairwise LTR,0.09579687230042054,0.04458202837942091,0.08904336951673031,800
3,2018H1,pfyl_mul,PFYL-Mul,0.3229394836002302,0.09731139976089091,0.31459921645000577,800
4,2018H1,rfyl,RFYL,0.06583468781203919,0.03391745728735328,0.06064521614462137,800
5,2018H1,spo_plus,SPO+,0.06366354421581491,0.031137616237754483,0.06093872711062431,800
6,2018H1,two_stage,Two-stage Ridge,0.13766660176847836,0.05580364441887612,0.13089133240282536,800
7,2018H2,cave,CaVE,0.06442405841225991,0.03246323332254089,0.06128841685131192,800
8,2018H2,crpto_robust,CRPTO robust,0.46051888128800783,0.12743468438725453,0.4563157355878502,800
9,2018H2,pairwise_ltr,Pairwise LTR,0.09137547113423353,0.044585946871710115,0.08346748072654009,800
10,2018H2,pfyl_mul,PFYL-Mul,0.3489267801404503,0.10335625730094052,0.34136314457282424,800
11,2018H2,rfyl,RFYL,0.0627234682822018,0.032608517738124974,0.058867570012807846,800
12,2018H2,spo_plus,SPO+,0.06093995653354796,0.0319414638346663,0.05711509473621845,800
13,2018H2,two_stage,Two-stage Ridge,0.1431350117520924,0.06016774297165071,0.1358025260269642,800
14,2019H1,cave,CaVE,0.06924373735309927,0.039143856243498476,0.06330960243940353,800
15,2019H1,crpto_robust,CRPTO robust,0.5161056577591626,0.13947811816468386,0.5169378803111613,800
16,2019H1,pairwise_ltr,Pairwise LTR,0.10043835057512297,0.049060262989961904,0.0937271798029542,800
17,2019H1,pfyl_mul,PFYL-Mul,0.3694690578118843,0.11080277166560723,0.3565877623623237,800
18,2019H1,rfyl,RFYL,0.06962426556041464,0.03988389980045331,0.06447464972734451,800
19,2019H1,spo_plus,SPO+,0.0636493003697251,0.03654692102130006,0.05882006324827671,800
20,2019H1,two_stage,Two-stage Ridge,0.1409505556034128,0.0597997661569794,0.13428273983299732,800
21,2019H2,cave,CaVE,0.07445656068797689,0.04427431848317128,0.06790648959577084,800
22,2019H2,crpto_robust,CRPTO robust,0.584340832956268,0.1623913236009948,0.5804961351677775,800
23,2019H2,pairwise_ltr,Pairwise LTR,0.10757013890011877,0.054365794201681236,0.09982136636972427,800
24,2019H2,pfyl_mul,PFYL-Mul,0.41817610605476147,0.12040554001399664,0.40980864339508116,800
25,2019H2,rfyl,RFYL,0.07226783012156375,0.04018184258538639,0.06510982103645802,800
26,2019H2,spo_plus,SPO+,0.06069094176404178,0.034949261207114286,0.05636161006987095,800
27,2019H2,two_stage,Two-stage Ridge,0.16125638400611933,0.06597498352204194,0.15576737560331821,800
28,2020,cave,CaVE,0.08733202488627284,0.044262739269484985,0.08260289020836353,800
29,2020,crpto_robust,CRPTO robust,0.6684285060220464,0.1411388568129007,0.663590207695961,800
30,2020,pairwise_ltr,Pairwise LTR,0.11462465162097941,0.05415044333010961,0.10889187641441822,800
31,2020,pfyl_mul,PFYL-Mul,0.4811404457980825,0.12669170491679513,0.4710963312536478,800
32,2020,rfyl,RFYL,0.08678831080673262,0.0425823361485491,0.08366949670016766,800
33,2020,spo_plus,SPO+,0.06023326725378866,0.03408908280362078,0.05664979852735996,800
34,2020,two_stage,Two-stage Ridge,0.2112154487404041,0.07376866131455491,0.2033931389451027,800
