policy_id,n_paths,final_state_value_mean,final_state_value_p05,final_cash_mean,cumulative_realized_loss_mean,cumulative_expected_loss_mean,cumulative_funded_exposure_mean,stored_decision_rows,unique_funded_loans,baseline_policy_id,delta_state_value_vs_static,delta_loss_vs_static,adp_scope_v12
v13_fvi_bellman_rollout,28,988009.4129696972,975926.8356568569,141226.48289615632,13049.813283771367,32815.000012219476,1438009.8214285714,26346,1018,v13_static_reference,279340.5038900678,-106323.95420746319,iterative_fitted_value_rollout_not_exact_bellman_optimality
v13_fvi_capital_guarded,28,988804.2106792659,973011.2195564691,166874.92798953716,11908.60804198919,31226.852281014046,1379685.7142857143,25874,993,v13_static_reference,280135.30159963656,-107465.15944924536,iterative_fitted_value_rollout_not_exact_bellman_optimality
v13_fvi_return_recovery,28,989740.9632626108,972393.1434738677,130275.20124189684,13172.741171057063,33661.41964014813,1460563.392857143,26041,1022,v13_static_reference,281072.0541829815,-106201.0263201775,iterative_fitted_value_rollout_not_exact_bellman_optimality
v13_static_reference,28,708668.9090796293,516087.88548216416,100305.75982605536,119373.76749123455,299034.2033087631,1257004.4642857143,1243,54,v13_static_reference,0.0,0.0,iterative_fitted_value_rollout_not_exact_bellman_optimality
