policy_id,width_weight,source_weight,ecl_weight,funded_exposure,n_funded,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,auditability_score_v8,decision_loss_proxy_v8,training_status_v8
v8_dfl_surrogate_w0p05_s0p10_e0p45,0.05,0.1,0.45,986900.0,363,123360.74673123597,131376.85249999998,0.1715859709527545,0.8132290383495058,0.39526969973317116,0.5082413179946026,38700.787172274635,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p06_e0p20,0.08,0.06,0.2,981400.0,211,117826.27460586869,111909.57500000001,0.17427009629665793,0.7436717259462485,0.4149853950139256,0.529963424997284,42890.64039317557,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p14_e0p20,0.05,0.14,0.2,983450.0,351,118029.8672077902,99108.42749999999,0.1741217767266907,0.8193273784736215,0.3773111664717745,0.5125042577818046,43824.95453359536,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p02_e0p45,0.08,0.02,0.45,986125.0,197,116711.63557198762,128557.5575,0.16354087258596722,0.7192068291643575,0.443089533950226,0.5295591088498839,43955.73978623538,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p06_e0p45,0.08,0.06,0.45,980450.0,519,117515.4552424812,122611.475,0.16498754711979205,0.7894742940515476,0.4260288642970065,0.5065298280654875,44567.39334485716,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p10_e0p20,0.08,0.1,0.2,980275.0,500,115591.75166190264,117596.63999999998,0.1652772368410831,0.7917312341619206,0.4058129946528611,0.5132639436839062,46143.20303531213,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p06_e0p70,0.05,0.06,0.7,985325.0,289,114188.46915400313,115355.55,0.13098607239481805,0.7739809404625339,0.4284457750826715,0.5121186104743206,47555.383809323175,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p02_e0p20,0.12,0.02,0.2,980800.0,441,113326.69086063348,120021.88999999998,0.16829539782971617,0.7430047870608879,0.4429122485046221,0.5196313350026707,47932.087736090696,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p14_e0p45,0.02,0.14,0.45,980725.0,101,113928.84165971968,76557.74250000001,0.16114519866033183,0.8277512989006001,0.3687408124941583,0.5122229457139679,47965.17101278802,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p02_e0p70,0.08,0.02,0.7,980025.0,438,112753.12580060124,119102.3675,0.1354929233586413,0.7645980696347411,0.4674880742838193,0.5012233425255574,49537.00137605321,transparent_surrogate_not_neural_spo_plus
