policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,bisection_floor,tested_cvar_cap
v8_cvar_bisect_floor110000_iter3_cap180000,adverse_mid,1.4,0.55,91305.15772803767,0.0,110000.0,180000.0
v8_cvar_bisect_floor110000_iter3_cap180000,adverse_high,1.65,0.58,112927.46493286015,0.0,110000.0,180000.0
v8_cvar_bisect_floor110000_iter3_cap180000,severe_mid,1.9,0.65,145015.4220779218,0.0,110000.0,180000.0
v8_cvar_bisect_floor110000_iter3_cap180000,severe_high,2.2,0.7,179999.9999999997,0.0,110000.0,180000.0
v8_cvar_bisect_floor110000_iter5_cap165000,baseline_mid,1.0,0.45,48312.14346960579,0.0,110000.0,165000.0
v8_cvar_bisect_floor110000_iter5_cap165000,baseline_high,1.12,0.48,57716.90739835573,0.0,110000.0,165000.0
v8_cvar_bisect_floor110000_iter5_cap165000,adverse_mid,1.4,0.55,82667.44549243661,0.0,110000.0,165000.0
v8_cvar_bisect_floor110000_iter5_cap165000,adverse_high,1.65,0.58,102680.71428571426,0.0,110000.0,165000.0
v8_cvar_bisect_floor110000_iter5_cap165000,severe_mid,1.9,0.65,132410.0649350649,0.0,110000.0,165000.0
v8_cvar_bisect_floor110000_iter5_cap165000,severe_high,2.2,0.7,165000.0,0.0,110000.0,165000.0
v8_cvar_bisect_floor125000_iter1_cap360000,baseline_mid,1.0,0.45,78750.00000007877,0.0,125000.0,360000.0
v8_cvar_bisect_floor125000_iter1_cap360000,baseline_high,1.12,0.48,94080.0000000941,0.0,125000.0,360000.0
v8_cvar_bisect_floor125000_iter1_cap360000,adverse_mid,1.4,0.55,134719.35804106432,0.0,125000.0,360000.0
v8_cvar_bisect_floor125000_iter1_cap360000,adverse_high,1.65,0.58,166014.12244147528,0.0,125000.0,360000.0
v8_cvar_bisect_floor125000_iter1_cap360000,severe_mid,1.9,0.65,211948.48131444427,0.0,125000.0,360000.0
v8_cvar_bisect_floor125000_iter1_cap360000,severe_high,2.2,0.7,261695.73875426492,0.0,125000.0,360000.0
v8_cvar_bisect_floor125000_iter2_cap240000,baseline_mid,1.0,0.45,78363.97930800762,0.0,125000.0,240000.0
v8_cvar_bisect_floor125000_iter2_cap240000,baseline_high,1.12,0.48,93618.8339466331,0.0,125000.0,240000.0
v8_cvar_bisect_floor125000_iter2_cap240000,adverse_mid,1.4,0.55,133930.55166211634,0.0,125000.0,240000.0
v8_cvar_bisect_floor125000_iter2_cap240000,adverse_high,1.65,0.58,159957.1792185744,0.0,125000.0,240000.0
v8_cvar_bisect_floor125000_iter2_cap240000,severe_mid,1.9,0.65,199088.66883116862,0.0,125000.0,240000.0
v8_cvar_bisect_floor125000_iter2_cap240000,severe_high,2.2,0.7,239999.99999999974,0.0,125000.0,240000.0
v8_cvar_bisect_floor125000_iter5_cap225000,baseline_mid,1.0,0.45,71704.3887976453,0.0,125000.0,225000.0
v8_cvar_bisect_floor125000_iter5_cap225000,baseline_high,1.12,0.48,85662.8431502536,0.0,125000.0,225000.0
v8_cvar_bisect_floor125000_iter5_cap225000,adverse_mid,1.4,0.55,122586.89724863366,0.0,125000.0,225000.0
v8_cvar_bisect_floor125000_iter5_cap225000,adverse_high,1.65,0.58,147545.56421300865,0.0,125000.0,225000.0
v8_cvar_bisect_floor125000_iter5_cap225000,severe_mid,1.9,0.65,185170.46261415235,0.0,125000.0,225000.0
v8_cvar_bisect_floor125000_iter5_cap225000,severe_high,2.2,0.7,224999.99999999968,0.0,125000.0,225000.0
