scenario,sicr_rule_v10,mean_ecl_proxy_v10,stage1_share_v10,stage2_share_v10,stage3_share_v10,stage2_dominates,stage2_too_low,sicr_recommendation_v10
optimistic,relative_2x_or_abs25,565.7547157767355,0.5679166666666666,0.3790833333333333,0.07341666666666667,False,False,candidate_for_mrm_review
optimistic,relative_1p5x_or_abs20,565.7547157767355,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
optimistic,absolute_pd20,565.7547157767355,0.92075,0.006333333333333333,0.07341666666666667,False,True,reject_for_stage_mix_extreme
optimistic,absolute_pd25,565.7547157767355,0.92075,0.006333333333333333,0.07341666666666667,False,True,reject_for_stage_mix_extreme
optimistic,conservative_pd15,565.7547157767355,0.5308333333333334,0.4349166666666667,0.07341666666666667,False,False,candidate_for_mrm_review
baseline,relative_2x_or_abs25,665.5937832667476,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
baseline,relative_1p5x_or_abs20,665.5937832667476,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
baseline,absolute_pd20,665.5937832667476,0.813,0.12666666666666668,0.07341666666666667,False,False,candidate_for_mrm_review
baseline,absolute_pd25,665.5937832667476,0.92075,0.006333333333333333,0.07341666666666667,False,True,reject_for_stage_mix_extreme
baseline,conservative_pd15,665.5937832667476,0.3963333333333333,0.58075,0.07341666666666667,False,False,candidate_for_mrm_review
adverse,relative_2x_or_abs25,898.5516074101093,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
adverse,relative_1p5x_or_abs20,898.5516074101093,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
adverse,absolute_pd20,898.5516074101093,0.3963333333333333,0.58075,0.07341666666666667,False,False,candidate_for_mrm_review
adverse,absolute_pd25,898.5516074101093,0.7109166666666666,0.23916666666666667,0.07341666666666667,False,False,candidate_for_mrm_review
adverse,conservative_pd15,898.5516074101093,0.28408333333333335,0.70075,0.07341666666666667,False,False,candidate_for_mrm_review
severe,relative_2x_or_abs25,1163.209314339748,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
severe,relative_1p5x_or_abs20,1163.209314339748,0.0,1.0,0.07341666666666667,True,False,reject_for_stage_mix_extreme
severe,absolute_pd20,1163.209314339748,0.2848333333333333,0.7,0.07341666666666667,False,False,candidate_for_mrm_review
severe,absolute_pd25,1163.209314339748,0.36025,0.6194166666666666,0.07341666666666667,False,False,candidate_for_mrm_review
severe,conservative_pd15,1163.209314339748,0.13791666666666666,0.85575,0.07341666666666667,True,False,reject_for_stage_mix_extreme
