policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,max_weighted_qhat,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,share_grade_dplus,cap_grade_dplus_limit,share_dti_q3,cap_dti_q3_limit,share_score_low,cap_score_low_limit,share_income_q5,cap_income_q5_limit,share_period_2018h1,cap_period_2018h1_limit,mdcp_family_gate_v8,auditability_score_v8,solver_lane_v8,caps_json
v8_mdcp_family_strict_review,TerminationCondition.optimal,1.396732315995905,0.17,0.12,0.12,0.82,214,850000.0,97201.9771455333,108337.65451905211,0.1700000000002,0.6759516738777627,0.371156862745098,0.17994117646949415,0.45,0.0035294117647058825,0.45,0.9300000000010942,0.93,0.6087058823529412,0.66,0.6000000000007059,0.6,True,0.5750606891282024,mdcp_family_caps_inside_lp,"{""cap_dti_q3"": 0.45, ""cap_grade_dplus"": 0.45, ""cap_income_q5"": 0.66, ""cap_period_2018h1"": 0.6, ""cap_score_low"": 0.93}"
v8_mdcp_family_committee,TerminationCondition.optimal,1.2136559099963051,0.1725,0.08,0.1,0.84,264,1000000.0,122986.57212787647,137778.29063940616,0.17250000000017246,0.7222083024233451,0.41506666666666664,0.27476773612521443,0.55,0.02045,0.55,0.9499822638747855,0.95,0.6572072638747856,0.68,0.44193226387478557,0.65,True,0.5389471796488619,mdcp_family_caps_inside_lp,"{""cap_dti_q3"": 0.55, ""cap_grade_dplus"": 0.55, ""cap_income_q5"": 0.68, ""cap_period_2018h1"": 0.65, ""cap_score_low"": 0.95}"
v8_mdcp_family_balanced,TerminationCondition.optimal,1.1381602239998756,0.175,0.06,0.08,0.86,301,1000000.0,130720.18132761506,147319.1829600196,0.17500000000017496,0.7694579016424159,0.45886666666666664,0.34900419931883003,0.6,0.05135,0.6,0.97624580068117,0.98,0.638825,0.7,0.31012080068117,0.7,True,0.5024583479768521,mdcp_family_caps_inside_lp,"{""cap_dti_q3"": 0.6, ""cap_grade_dplus"": 0.6, ""cap_income_q5"": 0.7, ""cap_period_2018h1"": 0.7, ""cap_score_low"": 0.98}"
v8_mdcp_family_relaxed,TerminationCondition.optimal,1.330752001995279,0.175,0.04,0.06,0.9,326,1000000.0,133829.37603021372,143376.88825661258,0.17500000000017504,0.8013202467547085,0.47710149885073244,0.3635544965521974,0.7,0.08065,0.7,0.9871,1.0,0.6497705034478026,0.75,0.2156,0.75,True,0.4821469267997442,mdcp_family_caps_inside_lp,"{""cap_dti_q3"": 0.7, ""cap_grade_dplus"": 0.7, ""cap_income_q5"": 0.75, ""cap_period_2018h1"": 0.75, ""cap_score_low"": 1.0}"
