policy_id,n_paths,final_wealth_mean,final_wealth_p05,final_wealth_p95,final_cash_mean,outstanding_principal_mean,cumulative_funded_exposure_mean,cumulative_losses_mean,cumulative_losses_p95,cumulative_defaults_mean,cumulative_recoveries_mean,cumulative_realized_return_mean,ECL_final_mean,stage2_share_proxy_final_mean,source_exposure_weak_share_final_mean,no_temporal_leakage_rate,dynamic_value_score_v15,dynamic_governance_gate_pass_v15,paper4_champion_score_v15,online_gate_pass_v15,paper4_working_only,registry_decision_v15
paper1_economic_champion,32,1070128.3645318479,991707.474420938,1144164.6774464264,1015627.6420685947,63616.96423877073,1000000.0,138663.94279514728,205467.6761014161,115.59375,128225.70224953504,217908.54910250803,9116.241775517485,0.5630424508650423,0.33,1.0,0.6571428571428571,True,0.6571428571428571,True,True,paper4_working_champion_candidate
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,32,1094119.1227753193,1012262.442040608,1139139.5950921574,1043090.4771151663,57771.8152351363,1000000.0,102721.03273333283,169753.21034794993,95.28125,90060.11182227595,203583.32508363057,6743.1695749833425,0.5969829933090476,0.522899965015041,1.0,0.5285714285714286,True,0.5285714285714286,True,True,paper4_dynamic_challenger
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,32,1094119.1227753193,1012262.442040608,1139139.5950921574,1043090.4771151663,57771.8152351363,1000000.0,102721.03273333283,169753.21034794993,95.28125,90060.11182227595,203583.32508363057,6743.169574983342,0.5969829933090476,0.522899965015041,1.0,0.5285714285714286,True,0.5285714285714286,True,True,paper4_dynamic_challenger
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,32,1077357.16076537,1024825.0137976124,1121238.9640283817,1028779.5655985791,54973.13368055551,1000000.0,97365.18681184342,139717.28006834286,96.6875,84914.35120501296,181117.886090975,6395.538513764826,0.5663304125153856,0.5080418239048602,1.0,0.45357142857142857,True,0.45357142857142857,True,True,paper4_dynamic_challenger
v13_fvi_bellman_rollout,32,1064345.0625661178,1043188.1238364327,1085600.3146292255,1064345.0625661178,0.0,998650.0,48135.26217961759,68375.07491646435,88.625,44252.78035510461,112480.32474573124,0.0,0.0,0.0,1.0,0.39999999999999997,True,0.39999999999999997,True,True,paper4_dynamic_challenger
v13_fvi_capital_guarded,32,1062562.4930292964,1043157.5799910265,1083252.0959201443,1062562.4930292964,0.0,999425.0,48368.00964359519,67502.67963282204,89.4375,44563.34886334922,110930.50267288688,0.0,0.0,0.0,1.0,0.4607142857142857,True,0.4607142857142857,True,True,paper4_dynamic_challenger
v13_fvi_return_recovery,32,1068664.7429377798,1046771.2847407404,1087733.1319134473,1068664.7429377798,0.0,998375.0,50483.546087648996,70305.43825109264,89.21875,46569.55721096209,119148.28902542587,0.0,0.0,0.0,1.0,0.3607142857142857,True,0.3607142857142857,True,True,paper4_dynamic_challenger
v13_mdcp_empirical_base,32,1045495.223985027,1014161.4139591148,1078306.9258107583,1031756.2566805601,15606.770833333292,1000000.0,83491.79340860293,109831.42260835256,78.5,73035.8901949471,130854.82092249348,1867.8035288663266,0.6971212855718226,0.38370149871458814,1.0,0.575,True,0.575,True,True,paper4_dynamic_challenger
v13_mdcp_empirical_return_recovery,32,1063549.8878017887,1016305.5147210165,1101650.3633017978,1031743.3277118152,36197.326330160104,1000000.0000000001,88546.11552254933,128647.35556545045,80.03125,79210.40945920325,156486.7695645209,4390.76624018677,0.7795778885596432,0.49978625940049354,1.0,0.5392857142857143,True,0.5392857142857143,True,True,paper4_dynamic_challenger
v13_mdcp_empirical_tight,32,1018861.1694273509,986739.1070307947,1053812.68235998,1010131.3510029442,9331.043641883964,850000.0,71203.4632329524,96902.69934634997,70.21875,60624.04000271434,90665.85787778239,601.2252174771952,1.0,0.261860740997177,1.0,0.6642857142857141,False,-1.0,True,True,paper4_dynamic_challenger
v13_spo_regret_audit_guarded,32,1067046.7827943095,1011902.0950373883,1106540.246560572,1038339.4832519162,32490.624999999927,980625.0,86771.29161606738,135187.30391809193,84.78125,79755.87852282147,157601.39986798333,3783.3254576065965,0.7493878326264578,0.37635206869224336,1.0,0.5999999999999999,True,0.5999999999999999,True,True,paper4_dynamic_challenger
v13_spo_regret_balanced,32,1074239.3800051997,1020635.094458564,1109845.5441933533,1046814.0046698616,31200.889756944387,982650.0,88479.79448920985,134520.89717376843,83.5,81117.62304551234,166494.6889160159,3775.514421606398,0.7565933561490366,0.37264798341821237,1.0,0.39285714285714285,True,0.39285714285714285,True,True,paper4_dynamic_challenger
v13_spo_regret_return_recovery,32,1071991.754752467,1013041.9254969948,1109923.4218671804,1042774.6231609047,33392.77343749993,980650.0,93549.0258395625,142048.5753915258,91.09375,85608.59134793746,169716.42243796992,4175.641845937704,0.7710117899698061,0.37676034872829745,1.0,0.5464285714285715,True,0.5464285714285715,True,True,paper4_dynamic_challenger
v13_static_reference,32,834842.881795265,740384.7891621203,952453.0246492035,828946.9023045973,11567.161458333334,976825.0,364853.86946638155,438241.4453441028,28.5,350147.38487389626,205367.93322931137,5671.181967665681,0.78125,0.3428434953973083,1.0,0.7928571428571428,False,-1.0,True,True,paper4_dynamic_challenger
