committee_profile,winning_policy_id,reference_policy_id,committee_score,final_wealth_mean,loss_p95,prob_higher_wealth_vs_reference,robustness_gate_pass,change_recommended,decision_scope,consolidated_decision
balanced,v13_spo_regret_balanced,paper1_economic_champion,0.6642857142857144,1132001.8435279336,90810.95897615288,0.064453125,False,False,Paper 4 committee memo only; no final promotion,review_challenger
wealth_first,paper1_economic_champion,paper1_economic_champion,0.8035714285714286,1171697.9976018553,143120.49702547275,0.0,False,False,Paper 4 committee memo only; no final promotion,retain_working_champion
tail_first,v13_fvi_bellman_rollout,paper1_economic_champion,0.6910714285714286,1092184.3726371606,50682.53606614495,0.0078125,False,False,Paper 4 committee memo only; no final promotion,review_challenger
auditability_first,v13_spo_regret_balanced,paper1_economic_champion,0.6803571428571428,1132001.8435279336,90810.95897615288,0.064453125,False,False,Paper 4 committee memo only; no final promotion,review_challenger
ecl_aware,v13_spo_regret_balanced,paper1_economic_champion,0.675,1132001.8435279336,90810.95897615288,0.064453125,False,False,Paper 4 committee memo only; no final promotion,review_challenger
source_governance_aware,v13_spo_regret_balanced,paper1_economic_champion,0.6803571428571428,1132001.8435279336,90810.95897615288,0.064453125,False,False,Paper 4 committee memo only; no final promotion,review_challenger
regret_aware,paper1_economic_champion,paper1_economic_champion,0.7285714285714285,1171697.9976018553,143120.49702547275,0.0,False,False,Paper 4 committee memo only; no final promotion,retain_working_champion
