policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded_x,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status,scenario,sicr_rule,n_funded_y,funded_exposure,realized_return_proxy_lgd45,ecl_v2,provision_v2,weighted_pd_scenario,stage2_lifetime_share,stage3_observed_share,net_return_after_ecl_v2,worst_source_coverage_alpha01,max_abs_representation_gap,fairness_proxy_pass,robust_satisficing_decision,mean_loss_rate_v2,cvar_95_loss_rate_v2,entropic_oce_theta5_v2,score_net_ecl_v2,score_ecl_v2,score_tail_v2,score_mdcp,score_fairness,score_auditability,selector_v2_score,selector_v2_gate_pass,selector_v2_rank,selector_v2_decision,mean_loss_rate_v2_tail,cvar_95_loss_rate_v2_tail,entropic_oce_theta5_v2_tail,tail_selector_rank
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,345,1000000.0,166269.82231927008,-7.585036793039396,0.030034,0.159714,0.0,0.030034,0.246871,0.087157,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,347,1000000.0,171272.8239004854,272644.7342206181,272644.7342206181,0.24687130685259728,0.9510086455331412,0.04899135446685879,-101371.91032013268,0.5,0.2558157201685375,False,promote_candidate_for_future_selector,0.0130725,0.022046109510086457,0.06954257536060018,0.838555230254109,0.2657296017336711,1.0,0.5,0.9728041933291421,0.7577033404275009,0.7314045242246531,False,1,park,0.0130725,0.022046109510086457,0.06954257536060018,1
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,331,1000000.0,167494.8582103625,-10.556323241059056,0.04425,0.172774,0.0,0.04425,0.260026,0.087252,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,331,849100.0,141304.6025,240857.75675269178,240857.75675269178,0.2502840600240116,0.9335347432024169,0.06646525679758308,-99553.15425269178,0.6666666666666667,0.2578173460192522,False,keep,0.018840537039217994,0.44999999999999984,0.08946717187333672,1.0,1.0,4.440892098500626e-16,0.6666666666666667,0.9450778531474564,0.24503610656817504,0.7190113959715633,False,2,park,0.018840537039217994,0.44999999999999984,0.08946717187333672,2
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,338,1000000.0,166559.14303245154,-10.811744546113133,0.04545,0.162785,0.0,0.04545,0.249532,0.086747,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,338,886300.0,149235.025,249114.50831585366,249114.50831585366,0.24154534703529645,0.9437869822485208,0.05621301775147929,-99879.48331585366,0.6666666666666667,0.2550256650186832,False,keep,0.016691582985445107,0.44999999999999996,0.07801901780706176,0.9710328826351667,0.8092713198420209,1.1102230246251565e-16,0.6666666666666667,0.983747965782586,0.30439268674135317,0.6900662721510054,False,3,park,0.016691582985445107,0.44999999999999996,0.07801901780706176,3
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,337,1000000.0,168365.23091736945,-10.535167420586996,0.040431,0.17018,0.0,0.040431,0.258599,0.088419,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,337,888675.0,152725.515,252620.23772390868,252620.23772390868,0.2510710375771631,0.9436201780415431,0.05637982195845697,-99894.72272390866,0.6666666666666667,0.2550708954949552,False,keep,0.015634230736771036,0.44999999999999996,0.07821062184502976,0.9696801323853957,0.7282899389836517,1.1102230246251565e-16,0.6666666666666667,0.9831214373176134,0.3742978736314568,0.6843734682773434,False,4,park,0.015634230736771036,0.44999999999999996,0.07821062184502976,4
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.0,conservative_proxy,336,1000000.0,168669.5041537059,-9.00000906329222,0.042149,0.173656,0.0,0.042149,0.261828,0.088172,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,336,862900.0,146033.605,246381.37347442712,246381.37347442712,0.25557912123844,0.9375,0.0625,-100347.76847442711,0.6666666666666667,0.2659795450086971,False,keep,0.01774394483717696,0.4499999999999999,0.08511673837440734,0.9294648070945667,0.8724059796427146,2.220446049250313e-16,0.6666666666666667,0.8320158112422968,0.2947822320255825,0.6688533837562934,False,5,park,0.01774394483717696,0.4499999999999999,0.08511673837440734,5
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,337,1000000.0,168244.12224854622,-10.553240027711439,0.04545,0.171708,0.0,0.04545,0.259439,0.087732,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,337,883875.0,150149.415,251285.36318025613,251285.36318025613,0.25188080711950267,0.9406528189910979,0.05934718100890208,-101135.94818025612,0.75,0.2583733766203224,False,keep,0.016635553669919388,0.4499999999999999,0.08158883254709684,0.8595007842088626,0.7591251721791432,2.220446049250313e-16,0.75,0.9373757675697777,0.22182583192503053,0.6431142102494544,False,6,park,0.016635553669919388,0.4499999999999999,0.08158883254709684,6
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,335,1000000.0,167124.6310620346,-8.934799798218227,0.04545,0.165827,0.0,0.04545,0.252914,0.087086,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,335,881300.0,147887.265,249114.35070955014,249114.35070955014,0.2466052102179111,0.9402985074626866,0.05970149253731343,-101227.08570955013,0.5,0.2583337082956578,False,keep,0.017322421422897992,0.4499999999999999,0.08198841400082026,0.8514108167330244,0.809274960504093,2.220446049250313e-16,0.5,0.9379252496139342,0.2762442644224859,0.6158019813358147,False,9,park,0.017322421422897992,0.4499999999999999,0.08198841400082026,7
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,335,1000000.0,169389.5810115051,-10.484017592046209,0.03545,0.177578,0.0,0.03545,0.267668,0.09009,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,335,879825.0,152414.13,253709.6214692587,253709.6214692587,0.2615069083108803,0.9432835820895522,0.056716417910447764,-101295.4914692587,0.6666666666666667,0.2803681087525729,False,keep,0.01655869064870855,0.44999999999999996,0.07859670360213386,0.8453386708729238,0.7031254754114185,1.1102230246251565e-16,0.6666666666666667,0.6327067281056467,0.4431279494325591,0.6089208238710566,False,12,park,0.01655869064870855,0.44999999999999996,0.07859670360213386,8
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.01,0.99,blended_uncertainty,0.05,conservative_proxy,337,1000000.0,166186.4620978511,-7.5965257566834605,0.045084,0.161059,0.0,0.045084,0.247476,0.086418,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,337,883925.0,147292.48500000002,248870.8837722011,248870.8837722011,0.2415157224010754,0.9436201780415431,0.05637982195845697,-101578.3987722011,0.6666666666666667,0.2583741445916095,False,park,0.017754617190372485,0.44999999999999996,0.07821062184502976,0.8202259549894624,0.814898979498423,1.1102230246251565e-16,0.6666666666666667,0.9373651297009927,0.3304514633316078,0.6360955904743354,False,7,park,0.017754617190372485,0.44999999999999996,0.07821062184502976,9
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,165547.8905382124,-7.677837147956425,0.042975,0.147556,0.0,0.042975,0.2314,0.083844,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,hybrid_pd_grade,343,922350.0,151054.22,253173.60409519364,253173.60409519364,0.22553000258659683,0.9475218658892128,0.052478134110787174,-102119.38409519364,0.5,0.2556871500586531,False,park,0.0165270775735892,0.44999999999999996,0.07368006200620085,0.7722045339369239,0.7155073286760001,1.1102230246251565e-16,0.5,0.9745851348585383,0.5135262544304628,0.6014088251082235,False,14,park,0.0165270775735892,0.44999999999999996,0.07368006200620085,10
